depth	age	age_unc
20.4816026781839	117082.0	1000
30.7198652226756	118629.0	1000
70.7275497004948	126773.688346883	1000
73.80358733397	127557.0	1000
76.5964951384669	127930.0	1000
80.2147983765952	128485.0	1000
82.5758132216338	128944.0	1000
87.0675	129417.877884615	1000
89.8172185085511	129788.0	1000
107.807959675319	130839.147214854	1000
116.78173561073	132282.0	1000
125.659535332928	134319.691090426	1000
126.955214211303	134790.297408829	1000
134.513341001823	139091.475335968	1000
136.370480727494	141066.679272727	1000
140.497457895651	143048.1	1000
142.345	144537.212765957	1000
145.1619018578	146214.7	1000
