depth,sulfate
14.166,67.89
14.31,53.45
14.424,44.71
14.566,48.39
14.674,52.79
14.754,59.8
14.856,42.8
15.008,64.98
15.16,68.49
15.26,84.66
15.372,64.34
15.518,65.21
15.639,83.58
15.755,61.74
15.929,66.22
16.035,124.71
16.173,163.51
16.259,199.1
16.329,55.14
16.487,64.44
16.631,44.81
16.789,70.5
16.887,45.15
17.013,68.17
17.083,68.05
17.197,36.38
17.379,60.08
17.459,72.94
17.549,64.85
17.654,73.65
17.81,46.31
17.97,49.73
18.07,45.04
18.138,47.21
18.238,45.32
18.362,50.95
18.456,61.26
18.602,55.6
18.732,87.65
18.868,92.86
18.97,88.53
19.086,68.69
19.152,67.27
19.274,57.67
19.414,84.37
19.494,81.73
19.601,60.38
19.679,63.55
19.767,73.73
19.853,66.23
19.951,63.91
20.019,46.86
20.167,61.58
20.287,63.48
20.375,54.95
20.487,52.32
20.655,70.26
20.779,67.05
20.897,67.45
21.001,58.9
21.099,74.85
21.169,71.54
21.257,101.59
21.397,79.2
21.485,79.27
21.553,91.89
21.681,141.44
21.765,81.63
21.893,51.25
22.029,89.37
22.121,100.28
22.203,79.51
22.283,43.92
22.455,59.67
22.606,77.74
22.706,45.52
22.816,66.09
22.906,66.52
23.01,95.29
23.114,90.34
23.272,82.99
23.366,76.61
23.504,73.5
23.57,73.97
23.649,204.2
23.733,287.94
23.873,276.75
23.931,67.59
24.031,55.41
24.085,62.03
24.191,47.67
24.295,80.17
24.475,285.75
24.547,148.74
24.621,44.4
24.719,54.29
24.789,49.43
24.891,46.51
25.029,72.1
25.135,50.91
25.265,53.48
25.399,59.24
25.479,53.69
25.611,43.38
25.751,69.12
25.875,50.44
25.995,52.1
26.123,81.01
26.237,55.45
26.403,59.31
26.513,74.29
26.623,71.82
26.689,94.57
26.787,65.01
26.859,61.13
26.965,73.64
27.089,58.21
27.165,54.02
27.285,79.68
27.393,63.95
27.493,65.41
27.651,61.45
27.725,56.18
27.839,58.71
27.943,56.51
28.053,70.93
28.119,41.65
28.213,52.77
28.373,72.36
28.459,63.23
28.549,74.66
28.629,77.85
28.715,51.94
28.837,52.43
28.925,54.63
29.005,84.05
29.105,52.1
29.193,57.22
29.247,53.77
29.363,67.95
29.469,91.76
29.596,71.98
29.666,54.49
29.726,50.23
29.86,45.25
29.97,54.45
30.056,47.94
30.206,52.97
30.306,72.08
30.404,74.63
30.462,48.16
30.546,46.0
30.656,55.39
30.78,63.73
30.906,46.76
30.97,59.27
31.07,52.91
31.166,59.22
31.262,57.27
31.372,54.34
31.47,53.59
31.586,42.83
31.682,66.8
31.754,69.61
31.818,56.04
31.874,56.28
31.97,62.06
32.038,65.23
32.124,59.48
32.2,61.21
32.362,48.7
32.482,38.59
32.624,60.99
32.736,57.16
32.852,52.56
32.92,65.45
33.608,56.3
33.712,65.93
33.784,52.81
33.862,47.63
33.934,40.0
34.058,75.1
34.16,79.6
34.228,75.29
34.298,78.32
34.378,74.86
34.468,49.9
34.562,52.45
34.674,65.98
34.784,66.39
34.856,59.02
34.938,56.64
35.088,60.43
35.186,68.07
35.264,68.6
35.318,62.97
35.386,51.02
35.532,73.77
35.664,102.77
35.74,135.85
35.82,185.41
35.93,161.49
36.052,68.63
36.21,59.65
36.326,85.81
36.424,140.54
36.498,55.72
36.606,56.12
36.698,36.34
36.778,42.8
36.866,62.35
36.952,67.26
37.062,56.81
37.14,43.98
37.248,53.18
37.328,66.41
37.4,51.2
37.516,63.04
37.592,73.4
37.678,77.24
37.74,130.28
37.834,80.11
37.958,84.58
38.058,67.49
38.172,47.31
38.244,33.23
38.3,86.06
38.354,57.02
38.408,49.49
38.532,41.76
38.596,56.02
38.658,65.31
38.732,74.5
38.806,56.95
38.852,59.17
38.91,83.95
39.002,75.94
39.108,73.55
39.182,77.63
39.258,38.26
39.33,71.84
39.4,80.3
39.491,64.13
39.535,66.99
39.645,55.85
39.727,53.95
39.791,40.34
39.895,55.91
39.967,52.65
40.063,62.91
40.169,66.76
40.237,79.87
40.299,42.8
40.44,68.01
40.512,66.69
40.618,124.93
40.694,204.44
40.8,120.75
40.854,93.32
40.91,75.72
41.024,51.33
41.15,50.38
41.22,57.64
41.358,54.9
41.442,50.44
41.524,52.64
41.598,59.85
41.708,65.14
41.814,60.56
41.884,67.32
41.984,70.55
42.062,69.69
42.152,60.25
42.222,53.3
42.28,83.75
42.408,111.11
42.534,164.75
42.572,91.09
42.674,58.64
42.766,65.8
42.858,56.9
42.952,61.34
43.01,53.5
43.096,57.98
43.206,55.28
43.348,47.56
43.477,65.77
43.559,61.58
43.677,58.0
43.755,69.48
43.815,80.58
43.921,46.09
43.973,54.87
44.119,81.99
44.293,132.2
44.399,113.11
44.52,82.65
44.608,78.94
44.668,141.27
44.746,129.63
44.838,147.29
44.942,55.14
45.052,77.24
45.158,113.18
45.26,62.36
45.404,74.85
45.468,78.65
45.514,87.22
45.618,62.09
45.698,58.48
45.806,73.43
45.92,79.3
45.998,55.13
46.07,54.46
46.134,62.77
46.252,49.45
46.32,80.62
46.415,67.74
46.531,66.38
46.593,54.25
46.665,94.51
46.715,81.01
46.801,53.28
46.865,33.17
46.925,39.0
47.023,56.24
47.105,41.24
47.217,66.6
47.293,57.44
47.391,51.53
47.509,76.98
47.579,65.71
47.639,47.91
47.743,46.68
47.815,50.79
47.919,48.9
47.995,76.02
48.099,58.36
48.213,74.19
48.335,104.17
48.393,80.67
48.465,55.06
48.543,62.21
48.611,63.79
48.701,54.57
48.777,54.53
48.861,53.49
48.931,47.43
49.053,52.95
49.127,61.24
49.249,50.4
49.319,55.06
49.379,88.68
49.453,68.81
49.589,100.33
49.659,81.94
49.785,59.03
49.827,74.16
49.879,63.08
49.949,45.83
50.071,65.19
50.195,48.44
50.261,43.92
50.359,53.87
50.439,67.97
50.489,62.13
50.567,40.92
50.701,66.76
50.801,74.48
50.867,64.25
50.941,54.74
51.033,49.09
51.137,59.23
51.205,64.59
51.257,56.51
51.387,54.72
51.475,63.48
51.545,52.37
51.593,65.06
51.647,60.59
51.687,41.83
51.765,91.62
51.813,72.87
51.865,117.13
51.953,53.74
52.071,68.75
52.115,44.03
52.195,79.96
52.286,55.11
52.356,84.67
52.458,57.17
52.548,52.79
52.624,102.01
52.71,122.68
52.782,55.52
52.878,71.43
53.02,57.42
53.08,57.75
53.192,72.62
53.301,60.88
53.355,63.97
53.469,48.16
53.567,71.72
53.635,68.75
53.715,57.94
53.807,72.65
53.907,60.52
53.989,76.08
54.073,77.99
54.131,88.79
54.177,59.38
54.27,45.61
54.354,39.23
54.412,28.24
54.494,39.61
54.598,66.96
54.712,74.77
54.782,52.06
54.896,79.61
54.988,77.92
55.042,69.1
55.126,83.11
55.244,108.67
55.322,77.79
55.408,74.87
55.488,61.12
55.556,45.79
55.638,56.16
55.716,74.44
55.804,82.3
55.884,54.11
55.988,50.2
56.048,59.78
56.114,63.41
56.158,50.54
56.192,47.17
56.284,122.91
56.396,114.69
56.484,97.15
56.59,77.35
56.678,141.39
56.746,453.44
56.854,307.0
56.926,86.28
57.012,71.01
57.084,98.97
57.152,101.88
57.226,110.71
57.26,84.6
57.29,87.32
57.368,42.4
57.456,50.28
57.51,62.26
57.616,77.06
57.676,96.44
57.788,46.51
57.904,67.96
57.984,81.35
58.084,65.8
58.188,49.67
58.23,60.47
58.28,71.09
58.388,53.38
58.456,72.67
58.532,56.37
58.598,95.88
58.672,53.45
58.776,68.05
58.862,57.03
58.96,59.2
59.022,38.7
59.064,80.46
59.126,62.77
59.2,75.87
59.262,63.69
59.368,102.07
59.42,68.12
59.476,68.3
59.582,64.15
59.64,60.81
59.678,56.28
59.802,76.4
59.916,51.3
59.99,56.14
60.032,68.33
60.124,56.99
60.2,67.39
60.269,66.33
60.333,55.4
60.403,62.11
60.481,80.41
60.563,70.33
60.617,55.16
60.709,66.15
60.761,45.03
60.847,51.24
60.953,64.0
61.033,50.25
61.115,98.19
61.189,59.32
61.28,46.55
61.374,48.21
61.424,81.0
61.48,62.2
61.57,61.04
61.644,47.4
61.708,51.61
61.834,48.89
61.906,57.45
61.958,47.17
62.056,48.39
62.128,78.51
62.194,59.86
62.274,73.68
62.348,145.02
62.414,93.91
62.49,63.38
62.628,55.38
62.712,57.95
62.81,58.91
62.892,62.53
62.988,55.51
63.114,99.32
63.248,65.76
63.318,78.68
63.388,90.61
63.442,102.43
63.528,58.93
63.636,59.8
63.73,51.27
63.832,54.77
63.882,47.56
63.936,53.93
64.03,55.94
64.084,41.45
64.164,54.93
64.262,65.22
64.326,84.4
64.426,68.01
64.516,68.22
64.624,104.72
64.67,72.8
64.76,71.27
64.838,95.91
64.898,66.77
65.046,56.42
65.146,70.02
65.261,71.33
65.341,72.4
65.409,58.42
65.527,83.87
65.611,47.53
65.677,48.94
65.787,77.48
65.857,146.81
65.977,149.72
66.059,68.92
66.173,66.44
66.272,62.37
66.36,56.19
66.478,59.98
66.582,71.5
66.668,85.21
66.802,68.66
66.912,71.45
66.994,57.62
67.07,47.43
67.182,61.44
67.252,51.97
67.352,47.99
67.422,73.25
67.478,64.81
67.56,34.89
67.67,40.67
67.77,63.03
67.858,43.37
67.924,33.59
67.988,45.67
68.06,51.42
68.126,60.66
68.172,64.16
68.233,66.26
68.345,70.12
68.429,64.58
68.493,57.55
68.563,60.91
68.657,64.24
68.713,70.17
68.779,60.5
68.855,80.28
68.899,74.76
68.985,102.3
69.039,81.6
69.081,71.86
69.145,61.94
69.232,54.08
69.296,49.45
69.396,59.57
69.464,80.46
69.552,60.96
69.626,59.65
69.68,59.59
69.746,61.99
69.8,65.05
69.868,64.02
69.962,60.7
70.038,79.53
70.11,91.86
70.189,88.73
70.263,78.51
70.335,75.07
70.403,119.23
70.479,219.93
70.583,234.75
70.651,68.66
70.721,12.63
70.843,68.54
70.895,62.13
70.943,66.35
71.013,59.0
71.113,139.78
71.199,318.66
71.287,91.26
71.403,90.56
71.463,63.26
71.519,65.64
71.585,55.88
71.701,103.62
71.767,266.28
71.845,165.15
71.925,69.93
71.989,69.38
72.063,65.78
72.137,80.7
72.195,95.3
72.247,74.52
72.299,60.37
72.389,164.98
72.455,425.6
72.525,601.65
72.617,313.51
72.675,59.16
72.769,66.33
72.815,44.15
72.943,58.81
73.017,35.58
73.125,73.88
73.184,50.51
73.276,50.48
73.326,50.03
73.398,62.88
73.506,48.16
73.564,61.93
73.604,58.76
73.648,72.7
73.77,69.28
73.872,79.09
73.946,67.85
73.994,70.59
74.056,53.52
74.2,90.38
74.26,117.33
74.342,62.09
74.416,81.76
74.462,60.16
74.508,78.46
74.558,86.71
74.608,119.41
74.68,219.6
74.754,136.1
74.85,60.02
74.912,50.28
74.978,50.96
75.062,69.58
75.14,87.1
75.193,52.06
75.283,61.97
75.341,54.99
75.425,47.4
75.477,77.75
75.577,42.01
75.671,62.97
75.727,69.45
75.845,71.65
75.923,50.66
75.991,54.95
76.055,51.46
76.121,49.27
76.177,55.2
76.223,57.75
76.305,65.31
76.421,56.03
76.531,78.52
76.603,65.88
76.647,60.86
76.719,60.44
76.789,63.95
76.873,87.95
76.929,65.77
77.029,50.68
77.097,53.2
77.151,54.32
77.215,50.58
77.315,65.32
77.375,55.04
77.455,69.25
77.539,101.55
77.623,144.33
77.699,143.64
77.791,111.18
77.853,63.31
77.955,59.4
78.041,67.32
78.099,84.63
78.173,48.75
78.245,39.64
78.325,57.17
78.401,111.99
78.457,56.42
78.525,56.43
78.597,60.2
78.681,66.25
78.763,58.14
78.851,50.25
78.957,52.98
78.999,73.02
79.073,141.88
79.186,213.73
79.264,55.34
79.358,90.39
79.408,54.4
79.468,62.53
79.508,77.47
79.588,77.31
79.638,55.63
79.746,61.73
79.852,46.36
79.92,47.2
79.984,65.07
80.04,104.58
80.126,46.59
80.217,57.83
80.289,46.21
80.359,47.98
80.419,52.44
80.471,45.56
80.553,53.95
80.625,69.02
80.719,47.1
80.785,46.76
80.847,48.37
80.917,48.34
80.999,43.6
81.113,56.67
81.188,71.37
81.246,63.79
81.336,56.97
81.404,58.88
81.49,51.14
81.55,62.23
81.612,57.77
81.694,66.59
81.752,71.57
81.826,48.03
81.894,49.93
81.984,57.42
82.046,91.77
82.15,56.57
82.222,38.42
82.292,55.56
82.36,45.8
82.488,83.53
82.57,99.96
82.622,81.05
82.702,63.08
82.746,55.06
82.838,60.08
82.884,69.62
82.992,75.7
83.03,55.57
83.118,51.63
83.15,118.59
83.197,80.31
83.265,60.44
83.333,62.38
83.377,69.6
83.439,74.6
83.509,133.84
83.585,113.21
83.651,54.5
83.717,88.15
83.787,129.16
