depth	LID	rel_unc
210	49.06	0.2
211	49.06	0.2
212	49.06	0.2
213	49.05	0.2
214	49.05	0.2
215	49.05	0.2
216	49.05	0.2
217	49.05	0.2
218	49.05	0.2
219	49.05	0.2
220	49.06	0.2
221	49.06	0.2
222	49.06	0.2
223	49.06	0.2
224	49.06	0.2
225	49.06	0.2
226	49.06	0.2
227	49.06	0.2
228	49.06	0.2
229	49.06	0.2
230	49.06	0.2
231	49.07	0.2
232	49.07	0.2
233	49.08	0.2
234	49.08	0.2
235	49.1	0.2
236	49.11	0.2
237	49.13	0.2
238	49.15	0.2
239	49.18	0.2
240	49.21	0.2
241	49.25	0.2
242	49.29	0.2
243	49.33	0.2
244	49.38	0.2
245	49.43	0.2
246	49.48	0.2
247	49.54	0.2
248	49.59	0.2
249	49.64	0.2
250	49.7	0.2
251	49.75	0.2
252	49.79	0.2
253	49.84	0.2
254	49.88	0.2
255	49.91	0.2
256	49.94	0.2
257	49.97	0.2
258	49.99	0.2
259	50.01	0.2
260	50.02	0.2
261	50.03	0.2
262	50.04	0.2
263	50.05	0.2
264	50.05	0.2
265	50.05	0.2
266	50.05	0.2
267	50.05	0.2
268	50.04	0.2
269	50.04	0.2
270	50.04	0.2
271	50.04	0.2
272	50.03	0.2
273	50.03	0.2
274	50.03	0.2
275	50.02	0.2
276	50.02	0.2
277	50.02	0.2
278	50.02	0.2
279	50.02	0.2
280	50.02	0.2
281	50.02	0.2
282	50.02	0.2
283	50.03	0.2
284	50.03	0.2
285	50.04	0.2
286	50.04	0.2
287	50.05	0.2
288	50.06	0.2
289	50.06	0.2
290	50.07	0.2
291	50.08	0.2
292	50.09	0.2
293	50.1	0.2
294	50.11	0.2
295	50.12	0.2
296	50.13	0.2
297	50.14	0.2
298	50.15	0.2
299	50.16	0.2
300	50.17	0.2
301	50.17	0.2
302	50.18	0.2
303	50.18	0.2
304	50.18	0.2
305	50.19	0.2
306	50.19	0.2
307	50.19	0.2
308	50.19	0.2
309	50.19	0.2
310	50.19	0.2
311	50.19	0.2
312	50.19	0.2
313	50.19	0.2
314	50.19	0.2
315	50.19	0.2
316	50.19	0.2
317	50.19	0.2
318	50.19	0.2
319	50.19	0.2
320	50.19	0.2
321	50.19	0.2
322	50.19	0.2
323	50.19	0.2
324	50.19	0.2
325	50.19	0.2
326	50.18	0.2
327	50.18	0.2
328	50.18	0.2
329	50.17	0.2
330	50.17	0.2
331	50.17	0.2
332	50.16	0.2
333	50.16	0.2
334	50.16	0.2
335	50.16	0.2
336	50.16	0.2
337	50.16	0.2
338	50.16	0.2
339	50.16	0.2
340	50.16	0.2
341	50.16	0.2
342	50.16	0.2
343	50.16	0.2
344	50.16	0.2
345	50.16	0.2
346	50.16	0.2
347	50.15	0.2
348	50.15	0.2
349	50.14	0.2
350	50.13	0.2
