depth	age	age_unc	comment
9.9	27	2.0	
10.257	28	2.0	
10.647	29	2.0	
10.919	30	2.0	
11.226	31	2.0	
11.675	32	2.0	
11.982	33	2.0	
12.254	34	2.0	
12.573	35	2.0	
12.974	36	2.0	
13.311	37	2.0	
13.609	38	2.0	
13.87	39	2.0	
14.152	40	2.0	
14.488	41	2.0	
14.814	42	2.0	
15.129	43	2.0	
15.425	44	2.0	
15.807	45	2.0	
16.198	46	2.0	
16.425	47	2.0	
16.801	48	2.0	
17.065	49	2.0	
17.365	50	2.0	
17.649	51	2.0	
17.975	52	2.0	
18.285	53	2.0	
18.625	54	2.0	
18.984	55	2.0	
19.293	56	2.0	
19.548	57	2.0	
19.735	58	2.0	
20.118	59	2.0	
20.427	60	2.0	
20.758	61	2.0	
20.975	62	2.0	
21.235	63	2.0	
21.573	64	2.0	
21.801	65	2.0	
22.075	66	2.0	
22.398	67	2.0	
22.815	68	2.0	
23.135	69	2.0	
23.375	70	2.0	
23.678	71	2.0	
24.085	72	2.0	
24.351	73	2.0	
24.601	74	2.0	
24.815	75	2.0	
25.055	76	2.0	
25.285	77	2.0	
25.575	78	2.0	
25.765	79	2.0	
26.065	80	2.0	
26.295	81	2.0	
26.575	82	2.0	
26.815	83	2.0	
27.145	84	2.0	
27.475	85	2.0	
27.755	86	2.0	
28.055	87	2.0	
28.275	88	2.0	
28.525	89	2.0	
28.765	90	2.0	
29.025	91	2.0	
29.327	92	2.0	
29.522	93	2.0	
29.826	94	2.0	
30.072	95	2.0	
30.364	96	2.0	
30.543	97	2.0	
30.944	98	2.0	
31.255	99	2.0	
31.574	100	2.0	
31.775	101	2.0	
31.995	102	2.0	
32.235	103	2.0	
32.525	104	2.0	
32.825	105	2.0	
33.121	106	2.0	
33.365	107	2.0	
33.685	108	2.0	
33.965	109	2.0	
34.195	110	2.0	
34.445	111	2.0	
34.745	112	2.0	
35.085	113	2.0	
35.387	114	2.0	
35.575	115	2.0	
35.825	116	2.0	
36.035	117	2.0	
36.299	118	2.0	
36.526	119	2.0	
36.775	120	2.0	
37.123	121	2.0	
37.465	122	2.0	
37.742	123	2.0	
38.03	124	2.0	
38.252	125	2.0	
38.573	126	2.0	
38.817	127	2.0	
39.085	128	2.0	
39.345	129	2.0	
39.653	130	2.0	
39.87	131	2.0	
40.055	132	2.0	
40.325	133	2.0	
40.543	134	2.0	
40.745	135	2.0	
41.015	136	2.0	
