depth	age	age_unc	comment
90.3	309	2.0	
90.55	310	2.0	
90.75	311	2.0	
91.0	312	2.0	
91.225	313	2.0	
91.45	314	2.0	
91.775	315	2.0	
92.0	316	2.0	
92.25	317	2.0	
92.55	318	2.0	
92.775	319	2.0	
92.975	320	2.0	
93.225	321	2.0	
93.55	322	2.0	
93.775	323	2.0	
93.975	324	2.0	
94.325	325	2.0	
94.525	326	2.0	
94.75	327	2.0	
94.95	328	2.0	
95.2	329	2.0	
95.475	330	2.0	
95.7	331	2.0	
95.875	332	2.0	
96.1	333	2.0	
96.35	334	2.0	
96.55	335	2.0	
96.775	336	2.0	
97.0	337	2.0	
97.225	338	2.0	
97.45	339	2.0	
97.775	340	2.0	
98.0	341	2.0	
98.225	342	2.0	
98.525	343	2.0	
98.8	344	2.0	
99.025	345	2.0	
99.225	346	2.0	
99.425	347	2.0	
99.65	348	2.0	
99.9	349	2.0	
100.15	350	2.0	
100.4	351	2.0	
100.6	352	2.0	
100.825	353	2.0	
101.125	354	2.0	
101.35	355	2.0	
101.575	356	2.0	
101.8	357	2.0	
102.125	358	2.0	
102.325	359	2.0	
102.55	360	2.0	
102.8	361	2.0	
103.0	362	2.0	
103.225	363	2.0	
103.425	364	2.0	
103.7	365	2.0	
103.925	366	2.0	
104.15	367	2.0	
104.35	368	2.0	
104.55	369	2.0	
104.775	370	2.0	
104.975	371	2.0	
105.2	372	2.0	
105.425	373	2.0	
105.625	374	2.0	
105.825	375	2.0	
106.025	376	2.0	
106.25	377	2.0	
106.45	378	2.0	
106.725	379	2.0	
106.975	380	2.0	
107.2	381	2.0	
107.475	382	2.0	
107.675	383	2.0	
107.875	384	2.0	
108.1	385	2.0	
108.325	386	2.0	
108.6	387	2.0	
108.825	388	2.0	
109.05	389	2.0	
109.25	390	2.0	
109.45	391	2.0	
109.675	392	2.0	
109.925	393	2.0	
110.15	394	2.0	
110.35	395	2.0	
110.55	396	2.0	
110.775	397	2.0	
110.95	398	2.0	
111.275	399	2.0	
111.5	400	2.0	
111.675	401	2.0	
111.9	402	2.0	
112.1	403	2.0	
112.325	404	2.0	
112.55	405	2.0	
112.825	406	2.0	
113.1	407	2.0	
113.325	408	2.0	
113.55	409	2.0	
113.775	410	2.0	
114.025	411	2.0	
114.275	412	2.0	
114.55	413	2.0	
114.75	414	2.0	
115.0	415	2.0	
115.225	416	2.0	
115.475	417	2.0	
115.675	418	2.0	
115.9	419	2.0	
116.125	420	2.0	
116.35	421	2.0	
116.6	422	2.0	
116.85	423	2.0	
117.05	424	2.0	
117.3	425	2.0	
117.55	426	2.0	
117.775	427	2.0	
118.0	428	2.0	
118.225	429	2.0	
118.425	430	2.0	
118.65	431	2.0	
118.85	432	2.0	
119.05	433	2.0	
119.3	434	2.0	
119.5	435	2.0	
119.725	436	2.0	
119.95	437	2.0	
120.15	438	2.0	
120.325	439	2.0	
120.525	440	2.0	
120.725	441	2.0	
120.95	442	2.0	
121.225	443	2.0	
121.45	444	2.0	
121.65	445	2.0	
121.875	446	2.0	
122.15	447	2.0	
122.35	448	2.0	
122.575	449	2.0	
122.825	450	2.0	
123.075	451	2.0	
123.325	452	2.0	
123.55	453	2.0	
123.8	454	2.0	
124.025	455	2.0	
124.225	456	2.0	
124.45	457	2.0	
124.65	458	2.0	
124.95	459	2.0	
125.125	460	2.0	
125.325	461	2.0	
125.55	462	2.0	
125.775	463	2.0	
126.025	464	2.0	
126.225	465	2.0	
126.475	466	2.0	
126.7	467	2.0	
126.95	468	2.0	
127.15	469	2.0	
127.375	470	2.0	
127.6	471	2.0	
127.875	472	2.0	
128.075	473	2.0	
128.275	474	2.0	
128.5	475	2.0	
128.775	476	2.0	
128.975	477	2.0	
129.15	478	2.0	
129.35	479	2.0	
129.6	480	2.0	
129.85	481	2.0	
130.075	482	2.0	
130.275	483	2.0	
130.475	484	2.0	
130.725	485	2.0	
130.975	486	2.0	
131.15	487	2.0	
131.375	488	2.0	
131.675	489	2.0	
131.875	490	2.0	
132.125	491	2.0	
132.375	492	2.0	
132.6	493	2.0	
132.8	494	2.0	
133.025	495	2.0	
133.3	496	2.0	
133.55	497	2.0	
133.75	498	2.0	
133.975	499	2.0	
134.25	500	2.0	
134.525	501	2.0	
134.75	502	2.0	
134.95	503	2.0	
135.15	504	2.0	
135.375	505	2.0	
135.6	506	2.0	
135.8	507	2.0	
136.0	508	2.0	
136.325	509	2.0	
136.55	510	2.0	
136.875	511	2.0	
137.075	512	2.0	
