depth1	depth2	rel_unc
139.1365	139.3839	20
142.90114	143.15456	20
182.41005	181.31995	20
188.45998	187.29059	20
208.83713	205.9964	20
223.29808	219.5368	20
264.103	256.15244	20
279.3105	269.39	20
325.77286	309.70468	20
339.464	320.86798	20
351.35205	331.87845	20
359.6614	338.89203	20
361.01752	339.8614	20
380.16846	356.2628	20
423.70557	394.24423	20
445.54684	413.21722	20
518.4427	475.05817	20
523.8032	479.29388	20
532.688	486.67575	20
541.39795	493.0477	20
568.0407	513.4398	20
583.8395	526.7442	20
593.9524	534.13794	20
619.32996	553.4706	20
747.6572	659.32324	20
765.16394	673.5012	20
799.7706	701.841	20
810.3125	709.99976	20
841.3834	733.55396	20
845.08386	736.48346	20
850.7301	740.5822	20
907.3998	784.47253	20
912.8256	788.4935	20
931.28845	802.7877	20
994.85754	849.95685	20
1057.2961	899.83575	100
1098.9819	931.807	100
1143.7565	966.1077	100
1244.02	1041.722	100
1255.5516	1050.3352	100
1285.7777	1074.6251	100
1317.8323	1100.8826	100
1340.3066	1119.7312	100
1342.235	1121.4303	100
1346.6412	1125.0488	100
1348.8064	1126.6034	100
1353.3916	1130.2767	100
1367.7133	1141.4327	100
1372.6033	1145.1074	100
1383.8218	1153.8562	100
1399.3188	1165.798	100
1421.587	1182.7148	100
1426.5767	1186.5862	100
1433.9701	1192.5775	100
1446.1354	1202.1266	100
1456.9567	1210.3097	100
1463.5116	1215.6667	100
1475.1012	1225.1112	100
1477.8752	1227.296	100
1483.47	1232.3667	100
1485.4048	1234.0825	100
1489.2062	1237.378	100
1505.6184	1252.1018	100
1524.5071	1268.2043	100
1525.9445	1269.4244	100
1607.919	1340.3931	100
1614.9736	1346.81	100
1624.0154	1354.6954	100
1629.4144	1359.5299	100
1633.229	1362.8712	100
1651.124	1378.8939	100
1652.9624	1380.4996	100
1674.9333	1399.8749	100
1679.8826	1404.4261	100
1702.9266	1425.531	100
1732.9674	1452.896	100
1741.2144	1459.9875	100
1775.345	1489.6915	100
1779.3671	1492.8092	100
1799.1902	1509.2411	100
1802.5999	1512.1714	100
1808.8666	1517.3218	100
1822.9694	1528.5948	100
1824.2096	1529.4889	100
1828.5771	1532.7993	100
1833.0356	1536.4926	100
1835.6399	1538.5718	100
1836.3109	1539.0642	100
1838.8472	1540.9186	100
1839.4426	1541.4108	100
1840.9191	1542.5576	100
1844.0787	1544.8939	100
1850.2968	1549.8325	100
1884.1968	1574.6589	100
1885.9464	1575.8278	100
1919.0813	1598.9012	100
1937.6833	1609.4066	100
1948.5011	1615.6246	100
