depth,sulfate
2.59,73.004
3.79,120.552
4.79,108.545
5.79,143.606
6.08,134.481
7.21,98.459
8.11,116.71
9.12,118.631
9.85,192.596
10.29,200.76
11.09,119.592
11.92,133.04
12.72,85.972
13.51,77.326
14.3,103.742
15.09,76.366
15.87,112.387
16.58,100.86
17.33,78.767
18.1,74.925
18.8,94.136
19.52,73.964
20.24,85.491
21.02,63.398
21.66,97.498
22.01,75.405
22.6,65.799
23.4,59.556
24.08,64.839
24.29,62.918
24.77,62.437
25.45,60.997
26.12,52.351
26.79,73.004
27.46,66.76
28.42,98.939
29.11,74.445
29.76,55.713
30.09,55.713
30.41,95.097
31.38,79.248
32.08,67.721
32.69,125.835
33.29,54.273
33.93,72.043
35.09,55.233
35.79,94.617
36.09,31.699
36.5,39.864
37.09,42.746
37.74,43.706
38.36,36.502
38.97,46.588
39.58,58.595
40.09,38.423
40.59,32.179
41.01,30.258
41.61,48.989
42.21,88.373
42.81,35.061
44.11,48.509
44.59,33.62
45.18,30.738
45.54,29.298
45.76,51.391
46.35,36.502
46.93,27.376
47.45,29.298
48.09,39.384
48.67,49.47
49.28,34.581
49.82,36.502
50.39,34.581
50.96,60.516
51.53,24.495
52.09,32.66
52.62,26.896
53.23,24.975
53.79,32.179
54.35,50.43
54.91,28.337
55.47,31.699
56.08,27.376
56.58,57.154
57.14,27.376
57.64,101.821
58.24,85.491
58.79,26.896
59.33,26.416
59.88,26.416
60.42,36.502
61.11,37.462
61.6,24.495
62.09,35.541
62.6,127.276
63.14,42.746
63.67,34.581
64.21,99.9
64.75,26.416
65.28,27.857
65.81,28.337
66.34,23.534
66.88,24.014
67.41,27.857
68.11,28.337
68.46,47.068
68.99,29.298
69.51,30.258
70.09,35.061
70.56,31.219
71.09,36.502
71.6,42.746
72.12,167.14
72.64,27.376
73.15,38.423
73.67,38.423
74.18,22.574
74.7,30.738
75.21,30.738
75.73,29.298
76.24,69.161
76.75,36.502
77.0,25.455
77.51,54.753
78.09,23.054
78.53,33.14
79.03,39.384
79.54,42.265
80.09,22.093
80.55,27.376
81.09,20.652
81.55,30.258
82.05,26.416
82.55,26.896
83.1,42.265
83.55,66.76
84.09,34.1
84.54,40.344
85.04,23.534
85.53,55.713
86.03,47.068
86.27,60.036
86.76,36.982
87.08,30.738
87.5,30.738
87.99,39.864
88.36,34.581
88.72,44.667
89.21,32.66
89.7,31.699
90.19,38.903
90.67,36.982
91.16,28.337
91.64,29.778
92.12,39.384
92.58,28.337
93.09,45.147
93.59,32.66
94.09,34.581
94.53,73.004
95.01,63.878
95.49,36.982
95.96,21.133
96.09,24.495
96.63,24.975
97.09,20.652
97.59,28.817
98.09,23.534
98.58,29.298
99.05,24.975
99.52,28.337
100.11,46.588
100.46,43.226
100.93,30.258
101.4,27.376
101.87,67.24
102.34,54.753
102.81,39.384
103.27,46.108
103.74,42.265
104.2,35.541
104.67,26.416
105.09,28.337
105.36,36.982
105.83,30.738
106.08,38.903
106.519,30.258
107.1,26.896
107.44,57.154
107.9,35.061
108.36,53.792
108.59,117.671
109.05,51.391
109.59,36.982
109.96,44.186
110.42,40.824
110.87,39.864
111.33,38.423
111.78,25.936
112.24,33.62
112.69,32.66
113.14,32.179
113.6,32.66
114.05,33.14
114.5,38.903
114.95,20.652
115.09,25.455
115.62,39.384
116.1,29.298
116.52,29.298
116.97,29.298
117.41,26.896
117.86,95.577
118.31,57.635
118.75,31.219
119.09,48.989
119.39,51.871
119.83,35.541
120.28,35.541
120.72,32.179
121.9,67.24
122.28,105.183
122.5,26.896
122.94,25.936
123.39,30.258
123.83,37.943
124.07,35.061
124.49,33.14
124.93,34.1
125.09,26.896
125.37,20.652
125.82,29.298
126.26,60.516
126.7,34.1
127.09,34.581
127.58,27.376
128.02,32.66
128.46,26.416
128.9,32.179
129.12,31.219
129.56,40.344
130.0,19.692
130.44,26.896
130.88,33.14
131.09,26.896
131.59,24.495
132.09,28.817
132.63,29.778
133.09,41.785
133.5,34.1
133.94,24.014
134.09,22.093
134.38,29.298
134.81,21.133
135.25,28.817
135.68,33.14
136.09,41.305
136.56,27.857
137.1,26.896
137.64,28.817
138.09,30.258
138.51,38.423
138.94,30.258
139.38,47.068
139.81,23.534
140.25,29.778
140.69,24.495
141.09,30.738
141.55,36.982
142.2,29.778
142.64,22.574
143.1,32.179
143.49,45.147
143.92,37.943
144.09,36.502
144.35,31.219
144.78,31.699
145.21,28.817
145.64,23.534
146.07,24.975
146.5,28.817
146.94,65.799
147.29,56.194
147.8,26.416
148.1,95.097
148.65,30.258
149.09,26.416
149.47,50.911
149.96,29.298
150.39,22.093
150.81,36.982
151.24,42.265
151.65,97.018
152.09,87.893
152.49,26.896
154.09,35.541
154.21,32.179
154.63,29.298
155.09,28.817
155.59,26.896
155.91,36.982
156.33,27.857
156.76,26.416
157.09,23.534
157.39,25.936
157.81,34.1
158.24,28.337
158.66,31.219
159.09,25.936
159.51,28.337
159.94,34.1
160.09,43.226
160.36,34.581
160.78,32.66
161.2,33.14
161.63,30.738
162.05,24.014
162.47,44.667
162.89,26.896
163.31,30.258
163.73,33.62
164.15,23.534
164.57,29.778
164.99,24.014
165.41,23.534
165.83,21.133
166.25,27.376
166.67,36.022
167.564,28.092
168.029,22.858
168.493,23.77
168.957,27.42
169.421,34.527
169.884,37.792
170.348,26.219
170.811,32.03
171.274,41.682
171.738,34.863
172.201,39.569
172.664,35.343
173.127,28.957
173.59,25.019
174.052,24.058
174.515,35.247
174.978,31.502
175.44,32.99
175.902,36.016
176.365,30.589
176.827,26.652
177.29,27.228
177.752,25.787
178.214,28.861
178.675,29.869
179.137,35.151
179.6,86.149
180.061,38.465
180.522,39.329
180.984,25.403
181.445,30.637
181.905,30.733
182.367,32.99
182.828,38.417
183.288,63.484
183.749,43.267
184.21,30.205
184.67,31.07
185.131,24.635
185.591,29.773
186.052,26.267
186.511,25.499
186.972,28.861
187.433,23.338
187.892,26.604
188.353,26.844
188.812,24.875
189.272,28.092
189.732,25.307
190.192,31.694
190.651,21.705
191.11,28.524
191.569,34.143
192.028,39.281
192.487,32.942
192.945,74.961
193.404,39.521
193.863,28.044
194.321,26.027
194.78,28.092
195.238,47.925
195.697,24.395
196.155,21.898
196.613,34.863
197.072,32.99
197.53,24.731
197.987,41.778
198.445,32.078
198.903,47.06
199.361,380.614
199.819,32.798
200.276,27.036
200.734,26.171
201.191,30.397
201.647,23.482
202.103,25.211
202.56,32.942
203.016,26.123
203.472,22.618
203.928,31.886
204.384,25.595
204.84,26.123
205.296,27.516
205.752,112.129
206.207,68.19
206.663,55.608
207.119,24.491
207.574,22.378
208.03,35.199
208.485,23.098
208.94,27.66
209.396,41.01
209.851,38.369
210.306,44.419
210.761,67.902
211.216,34.479
211.671,41.538
212.125,35.199
212.58,36.736
213.035,96.57
213.489,32.366
213.944,22.762
214.398,30.061
214.853,57.097
215.307,34.143
215.761,32.366
216.215,33.567
216.67,26.652
217.124,181.231
217.578,27.948
218.031,35.055
218.485,20.793
218.939,36.16
219.393,105.166
219.846,30.013
220.3,22.906
220.753,27.276
221.207,21.994
221.66,25.307
222.113,29.101
222.566,37.792
223.02,29.581
223.473,27.036
223.926,27.324
224.378,22.762
224.831,25.355
225.284,43.459
225.737,31.982
226.189,28.861
226.642,33.999
227.094,23.098
227.547,34.527
227.999,23.386
228.451,29.149
228.904,32.03
229.356,39.953
229.808,43.843
230.26,28.62
230.712,27.18
231.163,24.155
231.615,29.773
232.067,32.894
232.519,46.628
232.97,34.335
233.422,51.19
233.873,132.922
234.324,26.363
234.776,26.892
235.227,29.917
235.678,37.744
236.129,31.454
236.58,33.375
237.031,31.454
237.482,33.711
237.933,35.92
238.383,26.315
238.834,38.273
239.285,31.646
239.735,33.903
240.186,30.253
240.636,31.502
241.086,25.691
241.536,32.702
241.987,31.358
242.437,38.417
242.887,39.329
243.337,34.719
243.786,40.866
244.236,30.925
244.71,18.968
245.136,36.976
245.585,26.748
246.035,38.465
246.484,38.513
246.934,31.118
247.383,20.217
247.832,35.487
248.281,25.883
248.73,31.454
249.18,36.976
249.628,24.875
250.077,29.533
250.526,25.883
250.975,26.556
251.424,77.458
251.872,37.792
252.321,23.194
252.769,33.326
253.218,50.47
253.666,24.443
254.114,29.053
254.563,29.869
255.011,37.024
255.459,37.168
255.907,48.213
256.355,39.377
256.802,39.233
257.25,42.354
257.698,42.547
258.146,43.315
258.593,46.244
259.041,36.352
259.488,30.637
259.935,35.872
260.383,30.781
260.83,22.666
261.277,38.081
261.724,30.781
262.171,30.637
262.618,43.267
263.065,36.928
263.512,38.273
263.959,28.716
264.405,23.866
264.852,35.92
265.298,38.225
265.745,24.683
266.191,38.033
266.637,34.335
267.084,38.753
267.53,30.397
267.976,33.086
268.422,32.03
268.868,30.637
269.314,25.835
269.76,27.18
270.206,20.793
270.651,30.301
271.097,33.567
271.542,66.173
271.988,131.577
272.433,98.347
272.879,40.29
273.324,28.38
273.769,26.796
274.214,23.674
274.659,43.123
275.104,27.804
275.549,28.14
275.994,29.389
276.439,30.205
276.884,41.97
277.328,60.554
277.773,27.324
278.217,26.94
278.662,29.197
279.106,42.883
279.55,30.733
279.995,75.297
280.439,74.48
280.883,33.038
281.327,44.323
281.771,33.278
282.215,29.533
282.659,35.728
283.102,30.157
283.546,41.874
283.99,29.485
284.433,28.524
284.877,32.99
285.32,43.795
285.763,41.826
286.207,69.966
286.65,36.64
287.093,32.03
287.536,35.103
287.979,30.925
288.422,29.965
288.865,39.377
289.308,30.301
289.75,36.976
290.193,54.6
290.636,53.879
291.078,67.998
291.521,46.532
291.963,30.445
292.405,46.388
292.847,37.024
293.29,43.555
293.732,37.072
294.174,36.784
294.616,29.821
295.058,37.312
295.499,28.861
295.941,40.674
296.383,42.402
296.825,50.278
297.266,61.899
297.708,53.975
298.149,83.316
298.59,82.068
298.85,59.69
299.473,37.312
299.914,38.753
300.355,29.293
300.796,31.838
301.237,30.493
301.9,48.069
302.119,42.114
302.559,46.772
303.0,43.171
303.44,36.592
303.881,33.23
304.321,42.45
304.762,37.936
305.202,31.31
305.642,41.25
306.083,42.306
306.523,47.541
307.14,31.934
307.403,27.948
307.843,36.64
308.282,41.778
308.722,26.508
309.162,29.629
309.601,30.733
310.041,44.755
310.481,42.498
310.92,38.561
311.359,66.317
311.799,45.908
312.238,40.578
312.677,43.939
313.116,44.227
313.555,62.715
313.994,54.696
314.433,39.953
314.872,32.702
315.31,29.917
315.749,25.835
316.188,25.643
316.626,20.601
317.065,30.733
317.503,27.756
317.941,26.411
318.38,39.617
318.818,19.496
319.256,27.42
319.694,21.177
320.132,31.406
320.57,24.058
321.008,21.657
321.445,27.372
321.883,23.914
322.321,25.115
322.758,21.753
323.196,31.07
323.633,26.171
324.071,29.773
324.508,33.038
324.945,41.922
325.382,34.863
325.82,56.377
326.257,23.002
326.694,28.572
327.13,61.515
327.567,64.396
328.004,39.137
328.441,117.699
328.877,28.476
329.314,27.372
329.75,33.038
330.187,28.572
330.65,34.623
331.059,33.471
331.496,27.804
331.932,27.18
332.368,22.138
332.804,31.55
333.24,27.132
333.676,28.524
334.112,34.095
334.547,29.485
334.71,31.699
335.18,29.153
335.83,24.447
336.49,25.071
337.14,28.145
337.79,29.49
338.44,24.062
339.09,52.64
339.74,31.123
340.26,178.379
340.73,33.332
341.2,31.267
341.67,26.608
342.15,24.158
342.62,26.8
343.1,24.831
343.57,29.442
344.05,28.817
344.52,30.162
345.0,33.14
345.47,33.86
360.0,21.997
360.6,29.25
361.1,32.804
361.54,31.171
362.0,37.847
362.49,51.631
362.96,27.088
363.43,36.694
363.9,26.512
364.43,34.245
364.9,27.953
365.31,29.634
365.78,25.984
366.26,33.14
366.73,58.979
367.2,43.226
367.67,22.766
368.14,25.743
368.61,30.258
369.08,34.485
369.55,26.656
370.0,31.027
370.49,32.852
370.96,33.38
371.43,33.332
371.9,28.529
372.37,31.603
372.84,36.79
373.31,34.677
