#depth	age	sigma_age	deporate	sigma_deporate	deporate_model	sigma_deporate_model
6.000000000000000000e+00	3.537092934296120075e+04	2.281627028987940662e+02	1.359873386073828967e-02	2.547627544922036191e-02	1.499999999999999944e-02	2.000000000000000000e+00
6.200000000000000178e+00	3.538563659453683795e+04	2.022905199634321036e+02	1.331711446980407554e-02	2.479238407760441312e-02	1.499999999999999944e-02	2.000000000000000000e+00
6.400000000000000355e+00	3.540065486298031465e+04	1.764430425381414977e+02	1.287293420806320289e-02	2.199554049870288547e-02	1.499999999999999944e-02	2.000000000000000000e+00
6.600000000000000533e+00	3.541619133638780477e+04	1.523753281740191596e+02	1.244356917565458617e-02	1.937041832608145733e-02	1.499999999999999944e-02	2.000000000000000000e+00
6.800000000000000711e+00	3.543226389540819218e+04	1.303073032225909742e+02	1.202852522405639668e-02	1.691224084874795933e-02	1.499999999999999944e-02	2.000000000000000000e+00
7.000000000000000888e+00	3.544889103766167682e+04	1.104936060147375088e+02	1.162732468662070438e-02	1.461791277496840395e-02	1.499999999999999944e-02	2.000000000000000000e+00
7.200000000000001066e+00	3.546609189902836079e+04	9.322373710732908592e+01	1.123950582883695599e-02	1.248684655286430231e-02	1.499999999999999944e-02	2.000000000000000000e+00
7.400000000000001243e+00	3.548388627567140793e+04	7.880295320276084681e+01	1.086462231693121824e-02	1.052245187585713893e-02	1.499999999999999944e-02	2.000000000000000000e+00
7.600000000000001421e+00	3.550229464682006073e+04	6.748695980494093760e+01	1.050224270418608462e-02	8.734899638107713332e-03	1.499999999999999944e-02	2.000000000000000000e+00
7.800000000000001599e+00	3.552133819833884627e+04	5.934517201887484816e+01	1.015194993439770717e-02	7.146304752165560763e-03	1.499999999999999944e-02	2.000000000000000000e+00
8.000000000000001776e+00	3.554103884711000865e+04	5.409322664930894575e+01	9.813340861894379041e-03	5.799938986356748157e-03	1.499999999999999944e-02	2.000000000000000000e+00
8.200000000000002842e+00	3.556141926625723863e+04	5.105305183593596041e+01	9.486025787561105233e-03	4.772508086333225250e-03	1.499999999999999944e-02	2.000000000000000000e+00
8.400000000000002132e+00	3.558250291123976058e+04	4.936840299167681678e+01	9.169628010343074467e-03	4.171378336866390577e-03	1.499999999999999944e-02	2.000000000000000000e+00
8.600000000000001421e+00	3.560431404684683366e+04	4.837103776017217882e+01	8.863783393708151229e-03	4.069536534382784017e-03	1.499999999999999944e-02	2.000000000000000000e+00
8.800000000000002487e+00	3.562687777512362663e+04	4.791246781854869141e+01	8.568139946566587922e-03	4.407849965453863698e-03	1.499999999999999944e-02	2.000000000000000000e+00
9.000000000000003553e+00	3.565022006426074222e+04	4.860674061256789713e+01	8.936544259477026061e-03	4.513540481648209944e-03	1.499999999999999944e-02	2.000000000000000000e+00
9.200000000000002842e+00	3.567260007986777055e+04	5.095268844622198401e+01	9.885486494838183202e-03	4.251898180225469580e-03	1.499999999999999944e-02	2.000000000000000000e+00
9.400000000000002132e+00	3.569283175992766337e+04	5.360757204572073675e+01	1.093519378433055640e-02	4.029823427438427620e-03	1.499999999999999944e-02	2.000000000000000000e+00
9.600000000000003197e+00	3.571112133064259979e+04	5.571121660381567153e+01	1.209636603755556532e-02	3.966280037885063989e-03	1.499999999999999944e-02	2.000000000000000000e+00
9.800000000000004263e+00	3.572765522184422298e+04	5.699523445338210337e+01	1.338083935231051437e-02	4.233867020232992898e-03	1.499999999999999944e-02	2.000000000000000000e+00
1.000000000000000355e+01	3.574260196731617179e+04	5.747175431046421323e+01	1.480170666268325330e-02	4.989316540345722743e-03	1.499999999999999944e-02	2.000000000000000000e+00
1.020000000000000284e+01	3.575611392269792850e+04	5.727737319437040497e+01	1.637345119835960372e-02	6.299503364489150367e-03	1.499999999999999944e-02	2.000000000000000000e+00
1.040000000000000391e+01	3.576832881848116813e+04	5.659994551676646779e+01	1.811209411553320672e-02	8.167049606604800255e-03	1.499999999999999944e-02	2.000000000000000000e+00
1.060000000000000497e+01	3.577937116392859753e+04	5.564346105552412070e+01	2.003535780427272150e-02	1.059275909971666742e-02	1.499999999999999944e-02	2.000000000000000000e+00
1.080000000000000426e+01	3.578935351622565940e+04	5.460938433715246987e+01	2.216284653694549842e-02	1.360133090301654697e-02	1.499999999999999944e-02	2.000000000000000000e+00
1.100000000000000355e+01	3.579837762780205958e+04	5.368431350285283088e+01	2.451624629909987876e-02	1.724219729595692294e-02	1.499999999999999944e-02	2.000000000000000000e+00
1.120000000000000462e+01	3.580653548351781501e+04	5.302946399089230312e+01	2.711954583975408409e-02	2.158560015719157565e-02	1.499999999999999944e-02	2.000000000000000000e+00
1.140000000000000568e+01	3.581391023828626930e+04	5.277087524277403219e+01	2.999928119426696280e-02	2.671994228714090827e-02	1.499999999999999944e-02	2.000000000000000000e+00
1.160000000000000497e+01	3.582057706469137338e+04	5.299161598867901546e+01	3.318480617228363599e-02	3.275086345743839777e-02	1.499999999999999944e-02	2.000000000000000000e+00
1.180000000000000426e+01	3.582660391923925636e+04	5.372840496438939084e+01	3.014654533917644069e-02	2.941133852127144135e-02	1.499999999999999944e-02	2.000000000000000000e+00
1.200000000000000533e+01	3.583323817857974791e+04	5.517873225032764850e+01	2.378000555261593901e-02	2.108751295374821505e-02	1.499999999999999944e-02	2.000000000000000000e+00
1.220000000000000639e+01	3.584164860554779443e+04	5.767336495195729640e+01	1.875799225816166330e-02	1.497296671987918999e-02	1.499999999999999944e-02	2.000000000000000000e+00
1.240000000000000568e+01	3.585231072744481935e+04	6.145858437666208829e+01	1.479655977281914801e-02	1.050624203566177459e-02	1.499999999999999944e-02	2.000000000000000000e+00
1.260000000000000497e+01	3.586582738287491520e+04	6.671154590640769300e+01	1.167172787456996659e-02	7.264758128624660902e-03	1.499999999999999944e-02	2.000000000000000000e+00
1.280000000000000604e+01	3.588296280636570009e+04	7.349275371218413966e+01	9.206817913735461378e-03	4.931349185843857466e-03	1.499999999999999944e-02	2.000000000000000000e+00
1.300000000000000711e+01	3.590468583834851597e+04	8.171075276092639683e+01	7.262463365117075714e-03	3.268887682753571396e-03	1.499999999999999944e-02	2.000000000000000000e+00
1.320000000000000639e+01	3.593222470359919680e+04	9.109383215216772101e+01	5.728730015499410369e-03	2.101255113810302552e-03	1.499999999999999944e-02	2.000000000000000000e+00
1.340000000000000568e+01	3.596713645532407827e+04	1.011558295950913049e+02	4.518900260223663104e-03	1.299594259685425343e-03	1.499999999999999944e-02	2.000000000000000000e+00
1.360000000000000675e+01	3.601139501127417316e+04	1.111472690555352045e+02	3.564570071656501457e-03	7.736992786327053211e-04	1.499999999999999944e-02	2.000000000000000000e+00
1.380000000000000782e+01	3.606750275946807233e+04	1.199971838902409900e+02	2.811781421154237529e-03	4.683688382901195430e-04	1.499999999999999944e-02	2.000000000000000000e+00
1.400000000000000711e+01	3.613863204373437475e+04	1.262819742493787487e+02	2.217971480828856770e-03	3.479696537108141604e-04	1.499999999999999944e-02	2.000000000000000000e+00
1.420000000000000639e+01	3.622880452869584406e+04	1.283495561650333627e+02	1.749566112344086649e-03	3.397561604279649978e-04	1.499999999999999944e-02	2.000000000000000000e+00
1.440000000000000746e+01	3.634311858552907506e+04	1.250578446549794052e+02	1.380081578108532632e-03	3.573352673247205940e-04	1.499999999999999944e-02	2.000000000000000000e+00
1.460000000000000853e+01	3.648803755493819335e+04	1.188115597809159425e+02	1.467045939409442751e-03	3.662022874145007159e-04	1.499999999999999944e-02	2.000000000000000000e+00
1.480000000000000782e+01	3.662436593745667778e+04	1.158134042262487924e+02	1.958000389536065835e-03	3.932702767680546353e-04	1.499999999999999944e-02	2.000000000000000000e+00
1.500000000000000711e+01	3.672651096310061985e+04	1.109820337522165659e+02	2.613255265181313632e-03	5.281934570707067390e-04	1.499999999999999944e-02	2.000000000000000000e+00
1.520000000000000817e+01	3.680304386161411821e+04	1.028360257369416928e+02	3.487794546666977101e-03	8.812623190682119080e-04	1.499999999999999944e-02	2.000000000000000000e+00
1.540000000000000924e+01	3.686038668881451304e+04	9.276593574715090540e+01	4.655002885420720347e-03	1.539042231741501437e-03	1.499999999999999944e-02	2.000000000000000000e+00
1.560000000000000853e+01	3.690335121642552986e+04	8.236159320160444963e+01	6.212823482962762794e-03	2.615715791615061056e-03	1.499999999999999944e-02	2.000000000000000000e+00
1.580000000000000782e+01	3.693554269917865167e+04	7.282210723436372746e+01	8.291976735682042576e-03	4.290102142194841470e-03	1.499999999999999944e-02	2.000000000000000000e+00
1.600000000000000711e+01	3.695966240023128194e+04	6.489627988085639743e+01	1.106692929127024369e-02	6.827368046792801730e-03	1.499999999999999944e-02	2.000000000000000000e+00
1.620000000000000995e+01	3.697773426052207651e+04	5.892708297710136378e+01	1.477053395615198460e-02	1.060980718915965036e-02	1.499999999999999944e-02	2.000000000000000000e+00
1.640000000000000924e+01	3.699127473242334963e+04	5.491025671056775082e+01	1.971356892303131533e-02	1.618228889421627695e-02	1.499999999999999944e-02	2.000000000000000000e+00
1.660000000000000853e+01	3.700142002883217356e+04	5.257920019701440140e+01	2.631081590122490849e-02	2.431677140345293517e-02	1.499999999999999944e-02	2.000000000000000000e+00
1.680000000000001137e+01	3.700902146547142183e+04	5.152756454137691122e+01	3.511586542706647551e-02	3.610255296695868282e-02	1.499999999999999944e-02	2.000000000000000000e+00
