#EDC-TALDICE gas links from AICC2012.
323	553	500	#Fred
418.5	695.4	500	#Fred
443.5	736.8	500	#Fred
476.1	785.5	500	#Fred
639.1	941	500	#Fred
651.9	953	500	#Fred
688.1	990	500	#Fred
702.1	1004	500	#Fred
719.7	1025	500	#Fred
751.3	1059.2	500	#Fred
776	1085	500	#Fred
791	1098.6	500	#Fred
809.2	1125	500	#Fred
848.5	1170.7	500	#Fred
862	1183	500	#Fred
876	1192	500	#Fred
924.9	1228	500	#AICC
944.5	1239	500	#AICC
969.65	1255.5	500	#AICC
980.39	1260.5	500	#AICC
984.52	1262.67	500	#AICC
1039.51	1287.75	500	#AICC
1105.55	1306.25	800	#AICC
1141.27	1314.57	800	#AICC
1196.27	1326.14	800	#AICC
1234.77	1332.75	800	#AICC
1248.52	1335.25	800	#AICC
1302.7	1345	800	#AICC
1369.3	1356	800	#AICC
1427.27	1367.1	800	#AICC
1432.77	1368.4	800	#AICC
1471.27	1374.75	800	#AICC
1515.4	1380	1000	#AICC
1544.8	1385	1500	#AICC
1622	1394	2000	#AICC
1717.3	1410	1000	#AICC
1763.6	1420	2000	#AICC
1817.4	1428	2000	#AICC
