depth_top	depth_bot	duration	dur_unc
61.061	61.315	1.0	0.01
61.315	61.536	1.0	0.01
61.536	61.766	1.0	0.01
61.766	62.008	1.0	0.01
62.008	62.233	1.0	0.01
62.233	62.506	1.0	0.01
62.506	62.75	1.0	0.01
62.75	62.995	1.0	0.01
62.995	63.204	1.0	0.01
63.204	63.388	1.0	0.01
63.388	63.625	1.0	0.01
63.625	63.87	1.0	0.01
63.87	64.201	1.0	0.01
64.201	64.384	1.0	0.01
64.384	64.617	1.0	0.01
64.617	64.888	1.0	0.01
64.888	65.204	1.0	0.01
65.204	65.488	1.0	0.01
65.488	65.747	1.0	0.01
65.747	65.954	1.0	0.01
65.954	66.195	1.0	0.01
66.195	66.523	1.0	0.01
66.523	66.764	1.0	0.01
66.764	67.046	1.0	0.01
67.046	67.345	1.0	0.01
67.345	67.599	1.0	0.01
67.599	67.821	1.0	0.01
67.821	68.078	1.0	0.01
68.078	68.261	1.0	0.01
68.261	68.497	1.0	0.01
68.497	68.705	1.0	0.01
68.705	68.964	1.0	0.01
68.964	69.254	1.0	0.01
69.254	69.568	1.0	0.01
69.568	69.864	1.0	0.01
69.864	70.043	1.0	0.01
70.043	70.29	1.0	0.01
70.29	70.528	1.0	0.01
70.528	70.819	1.0	0.01
70.819	71.033	1.0	0.01
71.033	71.235	1.0	0.01
71.235	71.509	1.0	0.01
71.509	71.786	1.0	0.01
71.786	72.001	1.0	0.01
72.001	72.278	1.0	0.01
72.278	72.53	1.0	0.01
72.53	72.81	1.0	0.01
72.81	73.079	1.0	0.01
73.079	73.3	1.0	0.01
73.3	73.521	1.0	0.01
73.521	73.708	1.0	0.01
73.708	73.942	1.0	0.01
73.942	74.14	1.0	0.01
74.14	74.33	1.0	0.01
74.33	74.584	1.0	0.01
74.584	74.838	1.0	0.01
74.838	75.092	1.0	0.01
75.092	75.349	1.0	0.01
75.349	75.599	1.0	0.01
75.599	75.807	1.0	0.01
75.807	76.003	1.0	0.01
76.003	76.212	1.0	0.01
76.212	76.445	1.0	0.01
76.445	76.64	1.0	0.01
76.64	76.822	1.0	0.01
76.822	77.041	1.0	0.01
77.041	77.266	1.0	0.01
77.266	77.481	1.0	0.01
77.481	77.683	1.0	0.01
77.683	77.951	1.0	0.01
77.951	78.195	1.0	0.01
78.195	78.457	1.0	0.01
78.457	78.748	1.0	0.01
78.748	78.982	1.0	0.01
78.982	79.183	1.0	0.01
79.183	79.403	1.0	0.01
79.403	79.714	1.0	0.01
79.714	79.911	1.0	0.01
79.911	80.158	1.0	0.01
80.158	80.484	1.0	0.01
80.484	80.698	1.0	0.01
80.698	80.94	1.0	0.01
80.94	81.114	1.0	0.01
81.114	81.363	1.0	0.01
81.363	81.542	1.0	0.01
81.542	81.818	1.0	0.01
81.818	82.072	1.0	0.01
82.072	82.271	1.0	0.01
82.271	82.494	1.0	0.01
82.494	82.785	1.0	0.01
82.785	83.007	1.0	0.01
83.007	83.199	1.0	0.01
83.199	83.447	1.0	0.01
83.447	83.626	1.0	0.01
83.626	83.845	1.0	0.01
83.845	84.142	1.0	0.01
84.142	84.356	1.0	0.01
84.356	84.597	1.0	0.01
84.597	84.855	1.0	0.01
84.855	85.033	1.0	0.01
85.033	85.333	1.0	0.01
85.333	85.494	1.0	0.01
85.494	85.688	1.0	0.01
85.688	85.958	1.0	0.01
85.958	86.215	1.0	0.01
86.215	86.484	1.0	0.01
86.484	86.725	1.0	0.01
86.725	86.904	1.0	0.01
86.904	87.107	1.0	0.01
87.107	87.335	1.0	0.01
87.335	87.554	1.0	0.01
87.554	87.79	1.0	0.01
87.79	88.021	1.0	0.01
88.021	88.334	1.0	0.01
88.334	88.565	1.0	0.01
88.565	88.763	1.0	0.01
88.763	89.019	1.0	0.01
89.019	89.25	1.0	0.01
89.25	89.493	1.0	0.01
89.493	89.679	1.0	0.01
89.679	89.9	1.0	0.01
89.9	90.094	1.0	0.01
90.094	90.337	1.0	0.01
90.337	90.6	1.0	0.01
90.6	90.822	1.0	0.01
90.822	91.03	1.0	0.01
91.03	91.248	1.0	0.01
91.248	91.386	1.0	0.01
91.386	91.623	1.0	0.01
91.623	91.817	1.0	0.01
91.817	92.075	1.0	0.01
92.075	92.302	1.0	0.01
92.302	92.516	1.0	0.01
92.516	92.745	1.0	0.01
92.745	92.954	1.0	0.01
92.954	93.212	1.0	0.01
93.212	93.364	1.0	0.01
93.364	93.613	1.0	0.01
93.613	93.846	1.0	0.01
93.846	94.103	1.0	0.01
94.103	94.312	1.0	0.01
94.312	94.558	1.0	0.01
94.558	94.768	1.0	0.01
94.768	95.058	1.0	0.01
95.058	95.245	1.0	0.01
95.245	95.484	1.0	0.01
95.484	95.745	1.0	0.01
95.745	96.1	1.0	0.01
96.1	96.346	1.0	0.01
96.346	96.53	1.0	0.01
96.53	96.808	1.0	0.01
96.808	97.058	1.0	0.01
97.058	97.235	1.0	0.01
97.235	97.493	1.0	0.01
97.493	97.844	1.0	0.01
97.844	98.11	1.0	0.01
98.11	98.322	1.0	0.01
98.322	98.588	1.0	0.01
98.588	98.812	1.0	0.01
98.812	99.154	1.0	0.01
99.154	99.421	1.0	0.01
99.421	99.684	1.0	0.01
99.684	99.931	1.0	0.01
99.931	100.159	1.0	0.01
100.159	100.36	1.0	0.01
100.36	100.558	1.0	0.01
100.558	100.77	1.0	0.01
100.77	101.009	1.0	0.01
101.009	101.265	1.0	0.01
101.265	101.468	1.0	0.01
101.468	101.672	1.0	0.01
101.672	101.951	1.0	0.01
101.951	102.253	1.0	0.01
102.253	102.465	1.0	0.01
102.465	102.714	1.0	0.01
102.714	103.03	1.0	0.01
103.03	103.227	1.0	0.01
103.227	103.437	1.0	0.01
103.437	103.605	1.0	0.01
103.605	103.863	1.0	0.01
103.863	104.12	1.0	0.01
104.12	104.333	1.0	0.01
104.333	104.594	1.0	0.01
104.594	104.833	1.0	0.01
104.833	105.018	1.0	0.01
105.018	105.273	1.0	0.01
105.273	105.55	1.0	0.01
105.55	105.831	1.0	0.01
105.831	106.067	1.0	0.01
106.067	106.298	1.0	0.01
106.298	106.491	1.0	0.01
106.491	106.745	1.0	0.01
106.745	106.973	1.0	0.01
106.973	107.253	1.0	0.01
107.253	107.458	1.0	0.01
107.458	107.722	1.0	0.01
107.722	107.938	1.0	0.01
107.938	108.177	1.0	0.01
108.177	108.485	1.0	0.01
108.485	108.683	1.0	0.01
108.683	108.865	1.0	0.01
108.865	109.041	1.0	0.01
109.041	109.331	1.0	0.01
109.331	109.599	1.0	0.01
109.599	109.827	1.0	0.01
109.827	110.031	1.0	0.01
110.031	110.235	1.0	0.01
110.235	110.438	1.0	0.01
110.438	110.679	1.0	0.01
110.679	110.893	1.0	0.01
110.893	111.096	1.0	0.01
111.096	111.387	1.0	0.01
111.387	111.665	1.0	0.01
111.665	111.961	1.0	0.01
111.961	112.14	1.0	0.01
112.14	112.418	1.0	0.01
112.418	112.742	1.0	0.01
112.742	112.991	1.0	0.01
112.991	113.224	1.0	0.01
113.224	113.44	1.0	0.01
113.44	113.709	1.0	0.01
113.709	113.935	1.0	0.01
113.935	114.235	1.0	0.01
114.235	114.528	1.0	0.01
114.528	114.769	1.0	0.01
114.769	114.921	1.0	0.01
114.921	115.119	1.0	0.01
115.119	115.33	1.0	0.01
115.33	115.537	1.0	0.01
115.537	115.785	1.0	0.01
115.785	116.011	1.0	0.01
116.011	116.181	1.0	0.01
116.181	116.372	1.0	0.01
116.372	116.601	1.0	0.01
116.601	116.904	1.0	0.01
116.904	117.187	1.0	0.01
117.187	117.361	1.0	0.01
117.361	117.579	1.0	0.01
117.579	117.815	1.0	0.01
117.815	118.11	1.0	0.01
118.11	118.284	1.0	0.01
118.284	118.508	1.0	0.01
118.508	118.848	1.0	0.01
118.848	119.033	1.0	0.01
119.033	119.168	1.0	0.01
119.168	119.409	1.0	0.01
119.409	119.693	1.0	0.01
119.693	119.913	1.0	0.01
119.913	120.155	1.0	0.01
120.155	120.381	1.0	0.01
120.381	120.672	1.0	0.01
120.672	120.899	1.0	0.01
120.899	121.083	1.0	0.01
121.083	121.338	1.0	0.01
121.338	121.587	1.0	0.01
121.587	121.849	1.0	0.01
121.849	122.068	1.0	0.01
122.068	122.359	1.0	0.01
122.359	122.586	1.0	1.0
122.586	122.848	1.0	0.01
122.848	123.095	1.0	0.01
123.095	123.28	1.0	0.01
123.28	123.5	1.0	0.01
123.5	123.725	1.0	0.01
123.725	123.987	1.0	0.01
123.987	124.219	1.0	0.01
124.219	124.427	1.0	0.01
124.427	124.632	1.0	0.01
124.632	124.875	1.0	0.01
124.875	125.106	1.0	0.01
125.106	125.353	1.0	0.01
125.353	125.646	1.0	0.01
125.646	125.947	1.0	0.01
125.947	126.14	1.0	0.01
126.14	126.368	1.0	0.01
126.368	126.584	1.0	0.01
126.584	126.815	1.0	0.01
126.815	127.018	1.0	0.01
127.018	127.276	1.0	0.01
127.276	127.469	1.0	0.01
127.469	127.692	1.0	0.01
127.692	127.962	1.0	0.01
127.962	128.159	1.0	0.01
128.159	128.348	1.0	0.01
128.348	128.618	1.0	0.01
128.618	128.83	1.0	0.01
128.83	129.05	1.0	0.01
129.05	129.295	1.0	0.01
129.295	129.507	1.0	0.01
129.507	129.812	1.0	0.01
129.812	130.013	1.0	0.01
130.013	130.201	1.0	0.01
130.201	130.44	1.0	0.01
130.44	130.695	1.0	0.01
130.695	130.897	1.0	0.01
130.897	131.09	1.0	0.01
131.09	131.325	1.0	0.01
131.325	131.563	1.0	0.01
131.563	131.787	1.0	0.01
131.787	132.003	1.0	0.01
132.003	132.243	1.0	0.01
132.243	132.417	1.0	0.01
132.417	132.571	1.0	0.01
132.571	132.729	1.0	0.01
132.729	133.014	1.0	0.01
133.014	133.258	1.0	0.01
133.258	133.432	1.0	0.01
133.432	133.64	1.0	0.01
133.64	133.898	1.0	0.01
133.898	134.087	1.0	0.01
134.087	134.341	1.0	0.01
134.341	134.588	1.0	0.01
134.588	134.78	1.0	0.01
134.78	135.027	1.0	0.01
135.027	135.269	1.0	0.01
135.269	135.489	1.0	0.01
135.489	135.763	1.0	0.01
135.763	135.975	1.0	0.01
135.975	136.252	1.0	0.01
136.252	136.557	1.0	0.01
136.557	136.793	1.0	0.01
136.793	137.144	1.0	0.01
137.144	137.398	1.0	0.01
137.398	137.606	1.0	0.01
137.606	137.803	1.0	0.01
137.803	138.119	1.0	0.01
138.119	138.383	1.0	0.01
138.383	138.611	1.0	0.01
138.611	138.846	1.0	0.01
138.846	139.046	1.0	0.01
139.046	139.227	1.0	0.01
139.227	139.439	1.0	0.01
139.439	139.577	1.0	0.01
139.577	139.739	1.0	0.01
139.739	139.962	1.0	0.01
139.962	140.151	1.0	0.01
140.151	140.351	1.0	0.01
140.351	140.567	1.0	0.01
140.567	140.834	1.0	0.01
140.834	141.026	1.0	0.01
141.026	141.319	1.0	0.01
141.319	141.488	1.0	0.01
141.488	141.78	1.0	0.01
141.78	142.003	1.0	0.01
142.003	142.22	1.0	0.01
142.22	142.469	1.0	0.01
142.469	142.72	1.0	0.01
142.72	142.902	1.0	0.01
142.902	143.125	1.0	0.01
143.125	143.322	1.0	0.01
143.322	143.477	1.0	0.01
143.477	143.778	1.0	0.01
143.778	144.021	1.0	0.01
144.021	144.17	1.0	0.01
144.17	144.412	1.0	0.01
144.412	144.598	1.0	0.01
144.598	144.86	1.0	0.01
144.86	145.045	1.0	0.01
145.045	145.318	1.0	0.01
145.318	145.476	1.0	0.01
145.476	145.761	1.0	0.01
145.761	145.916	1.0	0.01
145.916	146.081	1.0	0.01
146.081	146.339	1.0	0.01
146.339	146.567	1.0	0.01
146.567	146.878	1.0	0.01
146.878	147.167	1.0	0.01
147.167	147.319	1.0	0.01
147.319	147.497	1.0	0.01
147.497	147.743	1.0	0.01
