#EDC delta depth made during construction of age scale for Abe-san			
418.28	62.28 	0.78	#YD-PB
476.27	56.09 	1.58	#OD-BA
639.24	53.23 	0.55	#DO3
687.31	50.05 	0.67	#DO5.2
702.96	51.27 	0.28	#DO6
719.89	50.27 	0.24	#DO7
751.24	50.24 	0.55	#DO8
848.57	50.06 	0.77	#DO12
944.89	43.62 	0.57	#DO15.2
986.15	45.26 	0.81	#DO17.2
1038.40	41.25 	0.55	#DO18
1105.55	44.45 	1.38	#DO19
1142.65	41.55 	0.68	#DO20
1236.15	37.92 	0.69	#DO21
1303.50	31.72 	2.75	#DO22
1425.90	34.40 	0.69	#DO23
1472.66	31.99 	0.68	#DO24
1721.52	25.17 	1.38	#MIS5e (AIM)
1721.52	33.57 	1.38	#MIS5e (d-ln)
1909.90	21.83 	0.6875	#MIS6-1
1926.40	22.28 	0.6875	#MIS6-2
1953.90	20.11 	0.6875	#MIS6-3
1971.77	18.37 	1.375	#MIS6-4
