#acquired from GICC file, rel_unc is 0.01% of LID. 
depth	LID	rel_unc	comment
439.04	67.08	0.6708	
441.1	67.1	0.6709999999999999	
443.05	66.85	0.6685	
445.0	66.67	0.6667000000000001	
447.015	66.58	0.6658	
449.03	66.39	0.6639	
451.065	66.41	0.6641	
453.1	66.79	0.6679	
455.09	66.63	0.6663	
457.08	66.77	0.6677	
458.965	66.71	0.6670999999999999	
460.85	66.71	0.6670999999999999	
462.815	66.76	0.6676000000000001	
464.78	66.92	0.6692	
466.63	67.0	0.67	
468.48	66.99	0.6698999999999999	
470.43	67.36	0.6736	
472.38	67.91	0.6790999999999999	
474.355	68.04	0.6804000000000001	
476.33	68.05	0.6805	
478.19	67.89	0.6789000000000001	
480.05	67.8	0.6779999999999999	
481.775	67.74	0.6774	
483.5	67.59	0.6759000000000001	
485.39	67.41	0.6741	
487.28	67.77	0.6777	
489.115	67.66	0.6766	
490.95	67.15	0.6715000000000001	
492.85	66.7	0.667	
494.75	66.7	0.667	
496.65	66.75	0.6675	
498.55	66.73	0.6673	
500.4	66.46	0.6646	
502.25	66.34	0.6634000000000001	
504.05	66.42	0.6642	
505.85	66.51	0.6651	
507.715	66.64	0.6664	
509.58	66.61	0.6661	
511.365	66.31	0.6631	
513.15	66.14	0.6614	
515.015	66.26	0.6626000000000001	
516.88	66.1	0.6609999999999999	
518.78	66.16	0.6616	
520.68	66.26	0.6626000000000001	
522.515	66.18	0.6618	
524.35	66.26	0.6626000000000001	
526.125	66.05	0.6605	
527.9	66.11	0.6611	
529.69	66.18	0.6618	
531.48	66.16	0.6616	
533.315	66.21	0.6620999999999999	
535.15	66.23	0.6623	
536.9	66.19	0.6619	
538.65	66.1	0.6609999999999999	
540.515	66.09	0.6609	
542.38	66.17	0.6617000000000001	
544.115	66.19	0.6619	
545.85	65.95	0.6595000000000001	
547.75	65.91	0.6591	
549.65	66.1	0.6609999999999999	
551.365	66.09	0.6609	
553.08	65.93	0.6593000000000001	
554.865	66.09	0.6609	
556.65	65.89	0.6589	
558.49	65.98	0.6598	
560.33	65.67	0.6567000000000001	
562.065	65.56	0.6556000000000001	
563.8	65.67	0.6567000000000001	
565.675	65.85	0.6585	
567.55	65.64	0.6564	
569.325	65.74	0.6574	
571.1	65.68	0.6568	
573.05	65.6	0.6559999999999999	
575.0	65.66	0.6566	
576.815	66.03	0.6603	
578.63	66.14	0.6614	
580.415	66.25	0.6625	
582.2	66.24	0.6624	
584.075	66.4	0.664	
585.95	66.63	0.6663	
587.7	66.6	0.6659999999999999	
589.45	66.62	0.6662	
591.29	66.52	0.6652	
593.13	66.4	0.664	
594.955	66.3	0.663	
596.78	66.29	0.6629	
598.43	66.35	0.6635	
600.08	66.51	0.6651	
601.93	66.58	0.6658	
603.78	66.6	0.6659999999999999	
605.53	66.62	0.6662	
607.28	66.69	0.6668999999999999	
609.065	66.8	0.668	
610.85	66.73	0.6673	
612.65	66.64	0.6664	
614.45	66.54	0.6654000000000001	
616.3	66.54	0.6654000000000001	
618.15	66.65	0.6665000000000001	
619.95	66.45	0.6645000000000001	
621.75	66.25	0.6625	
623.54	65.87	0.6587000000000001	
625.33	66.01	0.6601	
627.065	66.05	0.6605	
628.8	65.65	0.6565000000000001	
630.465	65.65	0.6565000000000001	
632.13	65.92	0.6592	
633.915	66.01	0.6601	
635.7	66.26	0.6626000000000001	
637.375	66.42	0.6642	
639.05	66.67	0.6667000000000001	
640.825	66.58	0.6658	
642.6	66.62	0.6662	
644.365	66.61	0.6661	
646.13	66.54	0.6654000000000001	
647.765	66.6	0.6659999999999999	
649.4	66.4	0.664	
650.99	66.52	0.6652	
652.58	66.55	0.6655	
654.205	66.49	0.6648999999999999	
655.83	66.41	0.6641	
657.48	66.42	0.6642	
659.13	66.2	0.662	
660.93	66.14	0.6614	
662.73	66.12	0.6612	
664.44	66.19	0.6619	
666.15	66.15	0.6615000000000001	
667.9	65.93	0.6593000000000001	
669.65	65.84	0.6584000000000001	
671.365	65.88	0.6587999999999999	
673.08	65.84	0.6584000000000001	
674.665	65.75	0.6575	
676.25	65.69	0.6569	
677.975	65.74	0.6574	
679.7	65.69	0.6569	
681.34	65.63	0.6563	
682.98	65.36	0.6536	
684.715	65.29	0.6529	
686.45	65.41	0.6541	
688.115	65.54	0.6554000000000001	
689.78	65.75	0.6575	
691.49	65.71	0.6570999999999999	
693.2	65.77	0.6577	
694.9	66.07	0.6607	
696.6	66.13	0.6613	
698.315	66.0	0.66	
700.03	65.9	0.659	
701.765	65.65	0.6565000000000001	
703.5	65.97	0.6597	
705.125	65.79	0.6579	
706.75	65.64	0.6564	
708.35	65.59	0.6559	
709.95	65.66	0.6566	
711.65	65.49	0.6548999999999999	
713.35	65.69	0.6569	
715.025	65.94	0.6594	
716.7	66.16	0.6616	
718.34	65.98	0.6598	
719.98	66.06	0.6606000000000001	
721.615	66.04	0.6604000000000001	
