,depth,deporate,rel_unc,comment
0,10.2,0.2148288909429508,0.2,
1,10.6,0.2185888380031858,0.2,
2,10.95,0.2217091990901424,0.2,
3,11.25,0.2227149401956048,0.2,
4,11.675,0.2242284716943692,0.2,
5,12.1,0.2211056293658053,0.2,
6,12.475,0.2252045538806462,0.2,
7,12.85,0.2283866318877197,0.2,
8,13.225,0.2275902084267526,0.2,
9,13.6,0.2262369736309327,0.2,
10,14.025,0.224338467635015,0.2,
11,14.45,0.2217829815289363,0.2,
12,14.825,0.223141122124694,0.2,
13,15.325,0.2258263455903934,0.2,
14,15.675,0.2291044358350243,0.2,
15,16.125,0.2366404377949499,0.2,
16,16.525,0.2363032806389248,0.2,
17,16.925,0.2342452050729548,0.2,
18,17.225,0.2353511428859983,0.2,
19,17.6,0.2372670026011319,0.2,
20,17.825,0.2383733312070806,0.2,
21,18.225,0.2372078530181799,0.2,
22,18.625,0.2368105515516785,0.2,
23,19.0,0.2378541624525116,0.2,
24,19.625,0.2335482358105961,0.2,
25,20.0,0.2361127904467851,0.2,
26,20.275,0.2315936991866042,0.2,
27,20.65,0.2350697017093056,0.2,
28,21.05,0.2377570430840685,0.2,
29,21.425,0.2393804436937139,0.2,
30,21.775,0.2354243517503679,0.2,
31,22.15,0.2418534590989467,0.2,
32,22.525,0.2412731033507563,0.2,
33,22.85,0.238979153037688,0.2,
34,23.25,0.2399231190761636,0.2,
35,23.525,0.2322344375253275,0.2,
36,24.0,0.2272673654147018,0.2,
37,24.45,0.2296590968197749,0.2,
38,24.775,0.2288759945565232,0.2,
39,25.0,0.2247011217089748,0.2,
40,25.4,0.2247147693720878,0.2,
41,25.75,0.2246503552932255,0.2,
42,26.05,0.2237837750582426,0.2,
43,26.425,0.2185924268729093,0.2,
44,26.775,0.2254113242603204,0.2,
45,26.975,0.2237214614933166,0.2,
46,27.3,0.2269448249435019,0.2,
47,27.625,0.2210172305224021,0.2,
48,27.875,0.216732218813787,0.2,
49,28.225,0.2209541000176425,0.2,
50,28.55,0.2240897044295247,0.2,
51,28.875,0.2231764123782626,0.2,
52,29.075,0.2194829329485085,0.2,
53,29.575,0.2228079958413039,0.2,
54,29.9,0.2173823420129847,0.2,
55,30.25,0.2181039147155484,0.2,
56,30.525,0.2238989474210453,0.2,
57,30.825,0.2191704149962215,0.2,
58,31.25,0.2216076235159058,0.2,
59,31.55,0.2266205965815665,0.2,
60,31.9,0.227352088219178,0.2,
61,32.125,0.2253103635206471,0.2,
62,32.5,0.2268867710279671,0.2,
63,32.7,0.232775663368623,0.2,
64,33.05,0.2282628988100738,0.2,
65,33.4,0.2298196493628063,0.2,
66,33.575,0.2277839931689626,0.2,
67,33.95,0.2302132092303956,0.2,
68,34.325,0.228981368603933,0.2,
69,34.675,0.2270395504071358,0.2,
70,34.925,0.2276415659483424,0.2,
71,35.275,0.2320760832175581,0.2,
72,35.625,0.2390781957770453,0.2,
73,35.975,0.2341742104358713,0.2,
74,36.325,0.2345644480273389,0.2,
75,36.6,0.2352570349302306,0.2,
76,36.925,0.2359394922497042,0.2,
77,37.175,0.2381719804482398,0.2,
78,37.525,0.2360756028276482,0.2,
79,37.825,0.2349269216374639,0.2,
80,38.275,0.2327310867359014,0.2,
81,38.675,0.2341497473318654,0.2,
82,38.9,0.2357814670098808,0.2,
83,39.1,0.2287643867651267,0.2,
84,39.45,0.2313614641413152,0.2,
85,39.8,0.2320287146697588,0.2,
86,40.025,0.231557958581602,0.2,
87,40.325,0.2282441994062158,0.2,
88,40.65,0.23645736276817,0.2,
89,40.925,0.2341559310010033,0.2,
90,41.2,0.2366067055320684,0.2,
91,41.575,0.2295620526196208,0.2,
92,41.725,0.2224124414153855,0.2,
93,42.125,0.2277095960602121,0.2,
94,42.475,0.228054820678658,0.2,
95,42.725,0.2266645780956581,0.2,
96,42.95,0.224266588242225,0.2,
97,43.4,0.2276008897292668,0.2,
98,43.675,0.2300869702188898,0.2,
99,44.025,0.2276369917786114,0.2,
100,44.275,0.2290917667634865,0.2,
101,44.475,0.230545903206811,0.2,
102,44.825,0.2271404241536205,0.2,
103,45.025,0.2333748792874351,0.2,
104,45.325,0.2320032366910001,0.2,
105,45.6,0.2285409469115946,0.2,
106,45.9,0.2299555354135387,0.2,
107,46.25,0.2323466018764698,0.2,
108,46.5,0.2280010380325599,0.2,
109,46.8,0.2264010567168324,0.2,
110,47.1,0.2269400184106946,0.2,
111,47.375,0.2293448547347678,0.2,
112,47.675,0.2306552235246003,0.2,
113,48.025,0.2311591248323632,0.2,
114,48.275,0.231453266320997,0.2,
115,48.55,0.2319222157274865,0.2,
116,48.825,0.2313256466580219,0.2,
117,49.15,0.2307386630899284,0.2,
118,49.375,0.2250672878801644,0.2,
119,49.725,0.2243819649554143,0.2,
120,50.025,0.2268651434606093,0.2,
121,50.25,0.22421011719679,0.2,
122,50.6,0.2277364590170157,0.2,
123,50.8,0.2261046699740983,0.2,
124,51.1,0.2193312341262031,0.2,
125,51.35,0.21967641234894,0.2,
126,51.625,0.2210996871480221,0.2,
127,51.825,0.2204428931997487,0.2,
128,52.05,0.2209141654111201,0.2,
129,52.4,0.2275312373603691,0.2,
130,52.625,0.2228003623805559,0.2,
131,52.975,0.2221774053744842,0.2,
132,53.225,0.2203920473853753,0.2,
133,53.4,0.2230114294086194,0.2,
134,53.65,0.2285763327344029,0.2,
135,53.95,0.2268578650615894,0.2,
136,54.2,0.2293076251524656,0.2,
137,54.525,0.2265101776671171,0.2,
138,54.9,0.2289070983711937,0.2,
