#depth	age	sigma_age	air_age	sigma_air_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
1.600000000000000000e+01	4.652797619011727193e+01	6.186336814591906652e+00	nan	nan	8.554802115518606032e-02	1.051138092623802580e-03	9.957267176433333145e-01	6.427639231454869775e-03	nan	nan	nan	nan	8.067328724500044679e-02	1.999999999999985123e-01	9.974293701080879648e-01	6.158311750360124376e-03	5.490676117999999661e+01	9.999999999999998890e-01	1.625435632313979861e-01	1.604742032168789915e-03	nan	nan
1.700000000000000000e+01	5.268017305426742780e+01	6.166947393475341599e+00	nan	nan	8.726447294528032195e-02	1.034840007224639485e-03	9.954640293272463136e-01	6.804764973733046056e-03	nan	nan	nan	nan	8.201220265000186416e-02	1.999999999999984568e-01	9.972735743570629863e-01	6.530954314653825837e-03	5.490676117999999661e+01	9.999999999999998890e-01	1.630421103420575946e-01	1.482997730124748425e-03	nan	nan
1.800000000000000000e+01	5.881355784609837656e+01	6.149585292827186578e+00	nan	nan	8.774584480629726846e-02	1.006716468432416285e-03	9.952013860243525967e-01	7.188331947208326592e-03	nan	nan	nan	nan	8.218223510000033372e-02	1.999999999999983735e-01	9.971177786060380077e-01	6.903596878947527299e-03	5.490676117999999661e+01	9.999999999999998890e-01	1.612591442289210142e-01	1.342000374834108941e-03	nan	nan
1.900000000000000000e+01	6.501475657365962491e+01	6.133918355255316257e+00	nan	nan	8.789403183687288790e-02	9.785701696524795688e-04	9.949387877280058134e-01	7.576869277973794989e-03	nan	nan	nan	nan	8.203458007499997429e-02	1.999999999999983180e-01	9.969619828550130292e-01	7.276239443241228760e-03	5.490676117999999661e+01	9.999999999999998890e-01	1.589370937448759125e-01	1.199588632688729445e-03	nan	nan
2.000000000000000000e+01	7.130655401652207104e+01	6.119854986766304350e+00	nan	nan	9.112702482636653167e-02	9.888588380627704507e-04	9.946804360804714085e-01	7.952890021930088607e-03	nan	nan	nan	nan	8.475594631000005208e-02	1.999999999999982347e-01	9.968061871039880506e-01	7.648882007534930222e-03	5.490676117999999661e+01	9.999999999999998890e-01	1.621866810666530434e-01	1.098085380970808015e-03	nan	nan
2.100000000000000000e+01	7.747228842469480981e+01	6.107781285140886141e+00	nan	nan	9.368555429313217553e-02	9.962540207284495755e-04	9.944230909708017263e-01	8.332094751771872143e-03	nan	nan	nan	nan	8.683610813499997860e-02	1.999999999999981792e-01	9.966503913529630720e-01	8.021524571828629949e-03	5.490676117999999661e+01	1.000000000000000000e+00	1.641628362042546752e-01	9.874908204837874043e-04	nan	nan
2.200000000000000000e+01	8.356380111491040452e+01	6.097434539675483656e+00	nan	nan	8.982786468347286890e-02	9.412000258150664484e-04	9.941657881486380965e-01	8.717989400028668817e-03	nan	nan	nan	nan	8.296663181500107953e-02	1.999999999999981237e-01	9.964945956019380935e-01	8.394167136122331410e-03	5.490676117999999661e+01	1.000000000000000000e+00	1.550167458240552243e-01	8.160619779522239542e-04	nan	nan
2.300000000000000000e+01	9.001471707682205192e+01	6.088111784685299455e+00	nan	nan	8.988934747773824618e-02	9.340193060309516819e-04	9.939071832247736715e-01	9.095581479350496948e-03	nan	nan	nan	nan	8.271883099500043635e-02	1.999999999999980405e-01	9.963387998509131149e-01	8.766809700416031137e-03	5.490676117999999661e+01	1.000000000000000000e+00	1.528167459625056901e-01	6.871074485458328069e-04	nan	nan
2.400000000000000000e+01	9.655850253502933356e+01	6.080305500972266408e+00	nan	nan	9.043698456351242920e-02	9.389954787806345819e-04	9.936474910082612189e-01	9.469758954347496857e-03	nan	nan	nan	nan	8.291284966500112041e-02	1.999999999999979849e-01	9.961830040998881364e-01	9.139452264709732598e-03	5.490676117999999661e+01	1.000000000000000000e+00	1.515071713781181162e-01	5.673528207719378538e-04	nan	nan
2.500000000000000000e+01	1.031588501681079606e+02	6.074056687331188975e+00	nan	nan	8.832770762579769674e-02	9.238423616806126738e-04	9.933878423482617182e-01	9.852386220526180086e-03	nan	nan	nan	nan	8.066948221499958827e-02	1.999999999999979017e-01	9.960272083488631578e-01	9.512094829003434060e-03	5.490676117999999661e+01	1.000000000000000000e+00	1.461288979427044776e-01	4.468471763144084936e-04	nan	nan
2.600000000000000000e+01	1.100021235663107575e+02	6.069247476704448196e+00	nan	nan	8.632053681352312713e-02	9.173575517418271858e-04	9.931219182934932777e-01	1.023395027916116327e-02	nan	nan	nan	nan	7.852323451499820806e-02	1.999999999999978184e-01	9.958714125978382903e-01	9.884737393297135521e-03	5.490676117999999661e+01	1.000000000000000000e+00	1.414193768467280621e-01	3.512218919510793247e-04	nan	nan
2.700000000000000000e+01	1.170732903490905414e+02	6.066020747982770800e+00	nan	nan	8.735645431608345113e-02	9.510677428613290843e-04	9.928394807244512732e-01	1.060243032613595454e-02	nan	nan	nan	nan	7.914406003500085163e-02	1.999999999999977351e-01	9.957156168468133117e-01	1.025737995759083698e-02	5.490676117999999661e+01	1.000000000000000000e+00	1.418448771439533296e-01	3.011987965348044490e-04	nan	nan
