#acquired by dividing col 4 by column 3 of the accumulation dataset from 1999. Uncertainty set as 1%.
depth	thinning	rel_unc	comment
0.0	0.9270682730923694	0.009270682730923694	
0.55	0.9995238095238095	0.009995238095238095	
1.1	0.9975355450236967	0.009975355450236967	
1.65	0.9997021276595746	0.009997021276595746	
2.2	0.9995045045045045	0.009995045045045045	
2.75	0.9999615384615385	0.009999615384615385	
3.3	1.0	0.01	
3.85	1.000349344978166	0.01000349344978166	
4.4	0.9991497975708502	0.009991497975708502	
4.95	0.9974568965517241	0.00997456896551724	
5.5	0.9990163934426229	0.009990163934426229	
6.05	0.9970491803278688	0.009970491803278688	
6.6	1.0	0.01	
7.15	0.9964628820960698	0.009964628820960698	
7.7	0.9994240837696335	0.009994240837696336	
8.25	0.9985840707964602	0.009985840707964601	
8.8	0.996968085106383	0.00996968085106383	
9.35	0.9980081300813008	0.009980081300813008	
9.9	0.9966929133858268	0.009966929133858268	
10.45	0.997658536585366	0.00997658536585366	
11.0	0.9990272373540855	0.009990272373540856	
11.55	0.9982017543859648	0.009982017543859648	
12.1	0.99570281124498	0.0099570281124498	
12.65	0.9990756302521009	0.00999075630252101	
13.2	0.99935960591133	0.0099935960591133	
13.75	0.9988235294117647	0.009988235294117647	
14.3	0.9984313725490197	0.009984313725490197	
14.85	0.9958108108108108	0.009958108108108108	
15.4	0.9957201646090535	0.009957201646090536	
15.95	0.9964757709251102	0.009964757709251102	
16.5	0.9947136563876652	0.009947136563876652	
17.05	0.9956768558951964	0.009956768558951964	
17.6	0.9977348066298343	0.009977348066298342	
18.15	0.9972807017543859	0.009972807017543859	
18.7	0.99604	0.009960400000000001	
19.25	0.9939688715953308	0.009939688715953307	
19.8	0.9962173913043478	0.009962173913043479	
20.35	0.99668	0.0099668	
20.9	0.993177966101695	0.00993177966101695	
21.45	0.9942687747035572	0.009942687747035573	
22.0	0.9946445497630332	0.009946445497630333	
22.55	0.9943333333333333	0.009943333333333334	
23.1	0.9948062015503876	0.009948062015503877	
23.65	0.9963223140495868	0.009963223140495869	
24.2	0.9960546874999999	0.009960546875	
24.75	0.9949339207048458	0.009949339207048458	
25.3	0.9934716981132075	0.009934716981132075	
25.85	0.9929741379310344	0.009929741379310344	
26.4	0.995576923076923	0.00995576923076923	
26.95	0.9914592274678111	0.009914592274678112	
27.5	0.9917821782178217	0.009917821782178217	
28.05	0.9923043478260869	0.00992304347826087	
28.6	0.9945739910313901	0.009945739910313901	
29.15	0.9923552123552124	0.009923552123552124	
29.7	0.9909389671361503	0.009909389671361502	
30.25	0.9944811320754717	0.009944811320754718	
30.8	0.9938695652173912	0.009938695652173913	
31.35	0.9919367588932807	0.009919367588932807	
31.9	0.9920247933884299	0.009920247933884298	
32.45	0.9902185792349728	0.009902185792349728	
33.0	0.9907727272727272	0.009907727272727273	
33.55	0.9900851063829788	0.009900851063829787	
34.1	0.9932743362831858	0.009932743362831859	
34.65	0.9907296137339054	0.009907296137339055	
35.2	0.9914666666666666	0.009914666666666667	
35.75	0.9912184873949581	0.009912184873949582	
36.3	0.9922173913043477	0.009922173913043477	
36.85	0.9892703862660944	0.009892703862660944	
37.4	0.9903448275862068	0.009903448275862068	
37.95	0.988177966101695	0.00988177966101695	
38.5	0.9903347280334729	0.00990334728033473	
39.05	0.9891063829787234	0.009891063829787234	
39.6	0.988	0.00988	
40.15	0.989212962962963	0.009892129629629631	
40.7	0.9873305084745763	0.009873305084745763	
41.25	0.990042372881356	0.00990042372881356	
41.8	0.9872268907563025	0.009872268907563026	
42.35	0.9873191489361702	0.009873191489361702	
42.9	0.9896234309623432	0.009896234309623431	
43.45	0.9883333333333334	0.009883333333333334	
44.0	0.9899547511312217	0.009899547511312216	
44.55	0.9872727272727273	0.009872727272727273	
45.1	0.9863636363636363	0.009863636363636364	
45.65	0.9882478632478633	0.009882478632478634	
46.2	0.9866960352422908	0.009866960352422908	
46.75	0.9858024691358025	0.009858024691358025	
47.3	0.9884	0.009884	
47.85	0.9868807339449541	0.009868807339449542	
48.4	0.9861946902654867	0.009861946902654867	
48.95	0.9860956175298805	0.009860956175298806	
49.5	0.9881512605042018	0.009881512605042019	
50.05	0.9876785714285714	0.009876785714285715	
50.6	0.9875348837209302	0.009875348837209303	
51.15	0.9843103448275862	0.009843103448275861	
51.7	0.9873839662447258	0.009873839662447257	
52.25	0.9860483870967742	0.009860483870967742	
52.8	0.9841295546558704	0.009841295546558704	
53.35	0.9848484848484849	0.00984848484848485	
53.9	0.9842561983471075	0.009842561983471075	
54.45	0.9828508771929825	0.009828508771929825	
55.0	0.9837004405286344	0.009837004405286344	
55.55	0.9842276422764228	0.009842276422764229	
56.1	0.9822831050228311	0.009822831050228312	
56.65	0.9837668161434977	0.009837668161434977	
57.2	0.9840506329113925	0.009840506329113926	
57.75	0.9838912133891213	0.009838912133891214	
58.3	0.9815837104072399	0.0098158371040724	
58.85	0.9828451882845188	0.009828451882845188	
59.4	0.981140350877193	0.00981140350877193	
59.95	0.9829661016949153	0.009829661016949152	
60.5	0.9835416666666668	0.009835416666666668	
61.05	0.982	0.00982	
61.6	0.9837349397590361	0.009837349397590362	
62.15	0.9834439834024896	0.009834439834024896	
62.7	0.9800833333333334	0.009800833333333335	
63.25	0.9815909090909091	0.00981590909090909	
63.8	0.9822171945701358	0.009822171945701359	
64.35	0.9817408906882592	0.009817408906882593	
64.9	0.9799166666666667	0.009799166666666666	
65.45	0.9824166666666666	0.009824166666666667	
66.0	0.979308943089431	0.00979308943089431	
66.55	0.9814341085271318	0.009814341085271319	
