depth,dep
1757.31,1.43678e-05
1757.315,1.51906e-05
1757.32,1.60084e-05
1757.325,1.65158e-05
1757.33,1.66983e-05
1757.335,1.6603e-05
1757.34,1.61079e-05
1757.345,1.50981e-05
1757.35,1.35089e-05
1757.355,1.1633e-05
1757.36,1.00674e-05
1757.365,8.86497e-06
1757.37,7.91468e-06
1757.375,7.26461e-06
1757.38,6.86222e-06
1757.385,6.65395e-06
1757.39,6.50023e-06
1757.395,6.29782e-06
1757.4,6.07209e-06
1757.405,5.96892e-06
1757.41,5.9347e-06
1757.415,5.90435e-06
1757.42,5.90857e-06
1757.425,5.99009e-06
1757.43,6.10395e-06
1757.435,6.1331e-06
1757.44,6.24182e-06
1757.445,6.41614e-06
1757.45,6.77586e-06
1757.455,7.18667e-06
1757.46,7.78284e-06
1757.465,8.65544e-06
1757.47,9.68164e-06
1757.475,1.03909e-05
1757.48,1.05802e-05
1757.485,1.03266e-05
1757.49,9.88791e-06
1757.495,9.62311e-06
1757.5,9.438e-06
1757.505,9.27988e-06
1757.51,9.20911e-06
1757.515,9.30264e-06
1757.52,9.4589e-06
1757.525,9.59612e-06
1757.53,9.71701e-06
1757.535,9.90688e-06
1757.54,1.0101e-05
1757.545,1.02142e-05
1757.55,1.0085e-05
1757.555,9.88468e-06
1757.56,9.81933e-06
1757.565,9.99849e-06
1757.57,1.02999e-05
1757.575,1.05615e-05
1757.58,1.09197e-05
1757.585,1.10948e-05
1757.59,1.10462e-05
1757.595,1.09951e-05
1757.6,1.11377e-05
1757.605,1.12338e-05
1757.61,1.11244e-05
1757.615,1.08558e-05
1757.62,1.04748e-05
1757.625,1.00729e-05
1757.905,4.99428e-06
1757.91,4.93457e-06
1757.915,4.90308e-06
1757.92,4.92097e-06
1757.925,4.99974e-06
1757.93,5.09854e-06
1757.935,5.10851e-06
1757.94,5.03894e-06
1757.945,5.01151e-06
1757.95,5.02168e-06
1757.955,5.05389e-06
1757.96,5.05506e-06
1757.965,5.07629e-06
1757.97,5.16156e-06
1757.975,5.25808e-06
1757.98,5.28588e-06
1757.985,5.39073e-06
1757.99,5.44588e-06
1757.995,5.31122e-06
1758.0,5.21414e-06
1758.005,5.18115e-06
1758.01,5.10601e-06
1758.015,5.01784e-06
1758.02,5.02681e-06
1758.025,5.02484e-06
1758.03,4.99259e-06
1758.035,4.96392e-06
1758.04,5.02565e-06
1758.045,5.07769e-06
1758.05,5.17187e-06
1758.055,5.25323e-06
1758.06,5.3001e-06
1758.065,5.19319e-06
1758.07,5.08429e-06
1758.075,5.05347e-06
1758.08,5.03955e-06
1758.085,5.09227e-06
1758.09,5.1202e-06
1758.095,5.22245e-06
1758.1,5.30492e-06
1758.105,5.35276e-06
1758.11,5.40323e-06
1758.115,5.52475e-06
1758.12,5.68607e-06
1758.125,5.72336e-06
1758.13,5.61278e-06
1758.135,5.52645e-06
1758.14,5.46963e-06
1758.145,5.36793e-06
1758.15,5.2634e-06
1758.155,5.24828e-06
1758.16,5.30122e-06
1758.165,5.34565e-06
1758.17,5.36987e-06
1758.175,5.40599e-06
1758.18,5.40978e-06
1758.185,5.33702e-06
1758.19,5.27308e-06
1758.195,5.20711e-06
1758.2,5.14686e-06
1758.205,5.14626e-06
1758.21,5.11963e-06
