#from EDML LC as of Sep 24, 2025. Unc from the original MCE / 5 to account for volcanic alignment.
depth	age	age_unc	comment
121.738	1327.0	5.5	
121.789	1328.0	5.5	
121.851	1329.0	5.5	
121.919	1330.0	5.5	
121.958	1331.0	5.5	
122.013	1332.0	5.5	
122.104	1333.0	5.5	
122.184	1334.0	5.5	
122.225	1335.0	5.5	
122.31	1336.0	5.5	
122.392	1337.0	5.5	
122.449	1338.0	5.5	
122.539	1339.0	5.5	
122.594	1340.0	5.6	
122.659	1341.0	5.6	
122.716	1342.0	5.6	
122.782	1343.0	5.6	
122.867	1344.0	5.6	
122.977	1345.0	5.7	
123.069	1346.0	5.7	
123.17	1347.0	5.7	
123.215	1348.0	5.7	
123.282	1349.0	5.7	
123.372	1350.0	5.7	
123.463	1351.0	5.7	
123.569	1352.0	5.7	
123.628	1353.0	5.7	
123.703	1354.0	5.7	
123.775	1355.0	5.7	
123.837	1356.0	5.8	
123.883	1357.0	5.8	
123.957	1358.0	5.8	
124.003	1359.0	5.8	
124.064	1360.0	5.8	
124.114	1361.0	5.8	
124.244	1362.0	5.8	
124.311	1363.0	5.8	
124.425	1364.0	5.8	
124.463	1365.0	5.8	
124.534	1366.0	5.8	
124.614	1367.0	5.8	
124.73	1368.0	5.9	
124.818	1369.0	5.9	
124.895	1370.0	5.9	
124.96	1371.0	5.9	
125.027	1372.0	5.9	
125.057	1373.0	5.9	
125.106	1374.0	5.9	
125.182	1375.0	5.9	
125.269	1376.0	5.9	
125.335	1377.0	5.9	
125.396	1378.0	5.9	
125.474	1379.0	5.9	
125.513	1380.0	5.9	
125.614	1381.0	5.9	
125.68	1382.0	5.9	
125.742	1383.0	5.9	
125.811	1384.0	5.9	
125.89	1385.0	5.9	
125.94	1386.0	5.9	
126.009	1387.0	5.9	
126.107	1388.0	5.9	
126.177	1389.0	5.9	
126.219	1390.0	5.9	
126.26	1391.0	6.0	
126.304	1392.0	6.0	
126.408	1393.0	6.0	
126.459	1394.0	6.0	
126.592	1395.0	6.1	
126.638	1396.0	6.1	
126.709	1397.0	6.1	
126.797	1398.0	6.1	
126.843	1399.0	6.1	
126.918	1400.0	6.1	
127.004	1401.0	6.1	
127.102	1402.0	6.1	
127.164	1403.0	6.1	
127.214	1404.0	6.1	
127.257	1405.0	6.1	
127.305	1406.0	6.1	
127.386	1407.0	6.1	
127.438	1408.0	6.1	
127.493	1409.0	6.1	
127.553	1410.0	6.1	
127.674	1411.0	6.2	
127.737	1412.0	6.2	
127.782	1413.0	6.3	
127.868	1414.0	6.3	
127.92	1415.0	6.3	
127.991	1416.0	6.3	
128.063	1417.0	6.3	
128.129	1418.0	6.3	
128.174	1419.0	6.3	
128.238	1420.0	6.3	
128.299	1421.0	6.3	
128.379	1422.0	6.3	
128.427	1423.0	6.3	
128.464	1424.0	6.3	
128.572	1425.0	6.3	
128.684	1426.0	6.3	
128.758	1427.0	6.3	
128.8	1428.0	6.3	
128.842	1429.0	6.3	
128.906	1430.0	6.3	
128.958	1431.0	6.3	
129.028	1432.0	6.4	
129.057	1433.0	6.4	
129.111	1434.0	6.4	
129.192	1435.0	6.4	
129.238	1436.0	6.4	
129.31	1437.0	6.4	
129.395	1438.0	6.4	
129.489	1439.0	6.4	
129.546	1440.0	6.4	
129.597	1441.0	6.4	
129.681	1442.0	6.4	
129.725	1443.0	6.4	
129.822	1444.0	6.4	
129.865	1445.0	6.4	
129.921	1446.0	6.4	
130.004	1447.0	6.4	
130.072	1448.0	6.4	
130.151	1449.0	6.4	
130.206	1450.0	6.4	
130.284	1451.0	6.4	
130.329	1452.0	6.4	
130.414	1453.0	6.4	
130.457	1454.0	6.4	
130.49	1455.0	6.4	
130.535	1456.0	6.4	
130.601	1457.0	6.5	
130.678	1458.0	6.5	
130.743	1459.0	6.5	
130.822	1460.0	6.5	
130.889	1461.0	6.5	
130.94	1462.0	6.5	
130.984	1463.0	6.5	
131.055	1464.0	6.5	
131.153	1465.0	6.5	
131.236	1466.0	6.5	
131.273	1467.0	6.5	
131.34	1468.0	6.5	
131.477	1469.0	6.5	
131.544	1470.0	6.5	
131.589	1471.0	6.6	
131.649	1472.0	6.6	
131.754	1473.0	6.6	
131.807	1474.0	6.6	
131.864	1475.0	6.6	
131.907	1476.0	6.6	
131.943	1477.0	6.6	
132.042	1478.0	6.6	
132.1	1479.0	6.6	
132.206	1480.0	6.6	
132.269	1481.0	6.6	
132.342	1482.0	6.6	
132.415	1483.0	6.6	
132.475	1484.0	6.6	
132.547	1485.0	6.6	
132.618	1486.0	6.6	
132.704	1487.0	6.6	
132.793	1488.0	6.6	
132.859	1489.0	6.6	
132.952	1490.0	6.6	
133.011	1491.0	6.6	
133.08	1492.0	6.6	
133.163	1493.0	6.6	
133.209	1494.0	6.6	
133.272	1495.0	6.6	
133.364	1496.0	6.6	
133.439	1497.0	6.6	
133.514	1498.0	6.6	
133.56	1499.0	6.6	
133.608	1500.0	6.6	
133.662	1501.0	6.6	
133.725	1502.0	6.6	
133.783	1503.0	6.6	
133.846	1504.0	6.6	
133.91	1505.0	6.6	
134.044	1506.0	6.6	
134.1	1507.0	6.6	
134.218	1508.0	6.6	
134.275	1509.0	6.6	
134.355	1510.0	6.6	
134.427	1511.0	6.6	
134.492	1512.0	6.6	
134.553	1513.0	6.6	
134.637	1514.0	6.6	
134.707	1515.0	6.6	
134.754	1516.0	6.6	
134.827	1517.0	6.6	
134.868	1518.0	6.7	
134.954	1519.0	6.7	
135.027	1520.0	6.7	
135.097	1521.0	6.7	
135.161	1522.0	6.7	
135.244	1523.0	6.7	
135.287	1524.0	6.7	
135.376	1525.0	6.7	
135.459	1526.0	6.7	
135.532	1527.0	6.7	
135.589	1528.0	6.7	
135.659	1529.0	6.7	
135.739	1530.0	6.7	
135.804	1531.0	6.7	
135.874	1532.0	6.7	
135.928	1533.0	6.7	
135.975	1534.0	6.8	
136.041	1535.0	6.8	
136.094	1536.0	6.8	
136.186	1537.0	6.8	
136.286	1538.0	6.8	
136.346	1539.0	6.8	
136.42	1540.0	6.8	
136.471	1541.0	6.8	
136.522	1542.0	6.8	
136.578	1543.0	6.8	
136.636	1544.0	6.8	
136.721	1545.0	6.8	
136.766	1546.0	6.8	
136.838	1547.0	6.8	
136.942	1548.0	6.8	
136.988	1549.0	6.9	
137.051	1550.0	6.9	
137.102	1551.0	6.9	
137.152	1552.0	6.9	
137.212	1553.0	6.9	
137.27	1554.0	6.9	
137.321	1555.0	6.9	
137.389	1556.0	6.9	
137.477	1557.0	7.0	
137.536	1558.0	7.0	
137.604	1559.0	7.0	
137.66	1560.0	7.0	
137.719	1561.0	7.0	
137.765	1562.0	7.0	
137.846	1563.0	7.0	
137.91	1564.0	7.0	
138.025	1565.0	7.0	
138.09	1566.0	7.0	
138.161	1567.0	7.0	
138.233	1568.0	7.0	
138.293	1569.0	7.0	
138.363	1570.0	7.0	
138.449	1571.0	7.0	
138.504	1572.0	7.0	
138.619	1573.0	7.0	
138.787	1574.0	7.0	
138.874	1575.0	7.0	
138.92	1576.0	7.0	
139.01	1577.0	7.0	
139.081	1578.0	7.0	
139.166	1579.0	7.0	
139.209	1580.0	7.1	
139.274	1581.0	7.1	
139.36	1582.0	7.1	
139.432	1583.0	7.1	
139.509	1584.0	7.1	
139.575	1585.0	7.2	
139.614	1586.0	7.2	
139.657	1587.0	7.2	
139.708	1588.0	7.2	
139.791	1589.0	7.2	
139.845	1590.0	7.2	
139.923	1591.0	7.2	
139.978	1592.0	7.2	
140.062	1593.0	7.2	
140.124	1594.0	7.2	
140.207	1595.0	7.2	
140.267	1596.0	7.2	
140.336	1597.0	7.2	
140.391	1598.0	7.2	
140.44	1599.0	7.2	
140.5	1600.0	7.2	
140.579	1601.0	7.2	
140.631	1602.0	7.2	
140.72	1603.0	7.2	
140.798	1604.0	7.3	
140.851	1605.0	7.3	
140.891	1606.0	7.3	
140.955	1607.0	7.3	
141.011	1608.0	7.3	
141.081	1609.0	7.3	
141.143	1610.0	7.3	
141.187	1611.0	7.4	
141.275	1612.0	7.4	
141.355	1613.0	7.4	
141.405	1614.0	7.4	
141.449	1615.0	7.4	
141.5	1616.0	7.4	
141.562	1617.0	7.4	
141.611	1618.0	7.4	
141.671	1619.0	7.4	
141.77	1620.0	7.4	
141.832	1621.0	7.4	
141.914	1622.0	7.4	
142.006	1623.0	7.4	
142.083	1624.0	7.4	
142.144	1625.0	7.4	
142.225	1626.0	7.4	
142.293	1627.0	7.4	
142.383	1628.0	7.5	
142.471	1629.0	7.5	
142.562	1630.0	7.5	
142.605	1631.0	7.5	
142.697	1632.0	7.5	
142.773	1633.0	7.6	
142.833	1634.0	7.6	
142.922	1635.0	7.6	
142.957	1636.0	7.6	
142.988	1637.0	7.6	
143.053	1638.0	7.6	
143.122	1639.0	7.6	
143.197	1640.0	7.6	
143.278	1641.0	7.6	
143.353	1642.0	7.6	
143.398	1643.0	7.6	
143.451	1644.0	7.6	
143.513	1645.0	7.6	
143.614	1646.0	7.6	
143.664	1647.0	7.6	
143.759	1648.0	7.6	
143.822	1649.0	7.6	
143.904	1650.0	7.6	
143.957	1651.0	7.6	
144.034	1652.0	7.6	
144.093	1653.0	7.6	
144.16	1654.0	7.6	
144.263	1655.0	7.6	
144.341	1656.0	7.6	
144.423	1657.0	7.6	
144.488	1658.0	7.6	
144.557	1659.0	7.6	
144.609	1660.0	7.6	
144.693	1661.0	7.6	
144.735	1662.0	7.6	
144.833	1663.0	7.6	
144.903	1664.0	7.6	
145.004	1665.0	7.6	
145.08	1666.0	7.6	
145.125	1667.0	7.6	
145.191	1668.0	7.6	
145.29	1669.0	7.6	
145.368	1670.0	7.6	
145.443	1671.0	7.6	
145.569	1672.0	7.6	
145.614	1673.0	7.6	
145.683	1674.0	7.6	
145.737	1675.0	7.7	
145.791	1676.0	7.7	
145.837	1677.0	7.7	
145.907	1678.0	7.8	
145.962	1679.0	7.8	
146.025	1680.0	7.8	
146.075	1681.0	7.8	
146.129	1682.0	7.8	
146.182	1683.0	7.8	
146.279	1684.0	7.8	
146.347	1685.0	7.8	
146.412	1686.0	7.8	
146.513	1687.0	7.8	
146.59	1688.0	7.8	
146.686	1689.0	7.8	
146.745	1690.0	7.8	
146.796	1691.0	7.8	
146.863	1692.0	7.8	
146.937	1693.0	7.8	
147.047	1694.0	7.8	
147.097	1695.0	7.8	
147.142	1696.0	7.8	
147.24	1697.0	7.8	
147.295	1698.0	7.8	
147.35	1699.0	7.8	
147.408	1700.0	7.8	
147.511	1701.0	7.8	
147.566	1702.0	7.8	
147.625	1703.0	7.8	
147.738	1704.0	7.8	
147.829	1705.0	7.8	
147.898	1706.0	7.8	
147.945	1707.0	7.8	
148.005	1708.0	7.8	
148.055	1709.0	7.8	
148.137	1710.0	7.8	
148.209	1711.0	7.8	
148.333	1712.0	7.8	
148.407	1713.0	7.8	
148.507	1714.0	7.8	
148.567	1715.0	7.8	
148.623	1716.0	7.8	
148.68	1717.0	7.8	
148.709	1718.0	7.8	
148.785	1719.0	7.9	
148.843	1720.0	7.9	
148.916	1721.0	7.9	
148.981	1722.0	7.9	
