depth,dep
145.95,18.08
145.97,17.7
145.99,17.98
146.01,16.79
146.03,17.03
146.05,16.79
146.07,14.87
146.09,17.97
146.11,18.38
146.13,19.65
146.15,19.2
146.17,19.35
146.19,19.03
146.21,19.39
146.23,19.55
146.25,19.34
146.27,19.1
146.3,17.77
146.32,20.59
146.34,22.74
146.36,22.21
146.38,19.03
146.4,21.57
146.42,21.15
146.44,19.81
146.46,19.44
146.48,17.27
146.5,15.29
146.52,15.28
146.54,16.66
146.56,18.44
146.58,17.92
146.6,17.32
146.62,16.82
146.64,17.59
146.66,17.82
146.68,18.12
146.7,17.23
146.72,18.44
146.74,18.05
146.76,18.66
146.78,19.13
146.8,17.69
146.82,19.81
146.84,20.88
146.86,22.23
146.88,22.36
146.9,20.21
146.92,19.99
146.94,18.88
146.96,18.8
146.98,18.77
147.0,19.05
147.02,19.35
147.04,21.38
147.06,22.48
147.08,23.76
147.1,23.47
147.12,21.37
147.14,19.66
147.16,20.59
147.18,19.65
147.2,20.9
147.22,22.34
147.24,24.06
147.26,23.12
147.28,23.03
147.3,21.38
147.32,24.13
147.34,23.06
147.36,21.9
147.38,20.17
147.4,18.7
147.42,18.23
147.44,16.74
147.46,18.26
147.48,19.96
147.5,21.51
147.52,20.53
147.54,18.73
147.56,18.76
147.58,17.96
147.6,17.77
147.62,18.84
147.64,19.02
147.66,19.39
147.68,16.59
147.7,18.39
147.72,20.93
147.74,21.29
147.76,18.72
147.78,18.42
147.8,18.63
147.82,18.35
147.84,18.58
147.86,18.16
147.88,18.39
147.9,18.67
147.92,21.39
147.94,22.86
147.96,21.72
147.98,23.31
148.0,23.12
148.02,20.35
148.045,15.67
148.065,20.11
148.085,21.6
148.105,19.77
148.125,19.79
148.145,24.73
148.165,21.95
148.185,19.92
148.205,19.56
148.225,19.28
148.245,19.03
148.265,17.88
148.285,17.96
148.305,19.07
148.325,18.0
148.345,13.14
148.365,13.94
148.385,18.28
148.405,19.11
148.425,20.07
148.445,17.95
148.465,18.5
148.485,18.16
148.505,18.03
148.525,19.15
148.545,20.42
148.565,20.67
148.585,21.02
148.605,22.99
148.625,21.84
148.645,19.69
148.665,18.8
148.685,17.96
148.705,17.6
148.725,16.88
148.745,17.85
148.765,17.85
148.785,18.57
148.805,19.62
148.825,19.46
148.845,16.9
148.865,17.8
148.885,18.46
148.905,18.65
148.925,18.46
148.945,18.44
148.965,18.73
148.985,18.62
149.005,18.21
149.025,18.62
149.045,18.87
149.065,21.09
149.085,21.88
149.105,23.35
149.125,21.45
149.145,20.71
149.165,22.03
149.185,20.0
149.205,19.53
149.225,17.93
149.245,14.41
149.265,12.94
149.285,12.34
149.305,16.31
149.325,17.33
149.345,18.41
149.365,20.83
149.385,21.14
149.405,21.39
149.425,20.9
149.445,20.09
149.465,20.46
149.485,20.59
149.505,20.68
149.525,21.64
149.545,22.6
149.565,22.3
149.585,23.65
149.605,21.63
149.625,21.61
149.645,19.64
149.665,22.81
149.685,21.08
149.705,20.57
149.725,20.28
149.745,19.47
149.765,21.19
149.785,15.22
149.805,23.15
149.825,22.23
149.845,20.23
149.865,19.74
149.885,17.98
149.885,15.83
149.905,18.79
149.925,19.55
149.945,16.53
149.965,18.51
149.985,21.12
150.005,21.33
150.025,21.76
150.045,21.39
150.065,21.24
150.085,19.24
