depth,dep
138.05,18.987
138.6,20.4664
139.15,22.133
139.7,20.6
140.25,20.4737
140.8,20.2581
141.35,17.0175
141.9,19.637
142.45,21.705
143.0,23.3347
143.55,20.4211
144.1,20.2968
144.65,17.9725
145.2,15.6663
145.75,18.5141
146.3,18.6689
146.85,21.3367
147.4,19.0632
147.95,19.3322
148.5,18.9343
149.05,19.8511
149.6,19.7528
150.15,19.4496
150.7,19.4757
151.25,19.2878
151.8,19.7
152.35,20.1722
152.9,19.1725
153.45,18.8359
154.0,20.5914
154.55,20.2907
155.1,20.1378
155.65,19.0914
156.2,19.4652
156.75,19.08
157.3,18.6768
157.85,19.0715
158.4,19.5019
158.95,22.3982
159.5,20.8315
160.05,21.7914
160.6,19.9873
161.15,19.9882
161.7,19.8264
162.25,18.5533
162.8,18.9182
163.35,19.2326
163.9,18.8471
164.45,18.1207
165.0,19.3082
165.55,18.1368
166.1,19.1852
166.65,18.353
167.2,18.2582
167.75,18.8411
168.3,21.5229
168.85,21.1259
169.4,20.4229
169.95,18.4469
170.5,20.2943
171.05,18.3196
171.6,20.9682
172.15,20.6679
172.7,20.657
173.25,19.7432
173.8,18.1119
174.35,19.1239
174.9,19.7907
175.45,19.2389
176.0,18.0948
176.55,19.5243
177.1,17.3222
177.65,20.5796
178.2,19.5996
178.75,18.2859
179.3,18.6204
179.85,19.3764
180.4,20.8526
180.95,23.0407
181.5,20.4962
182.05,18.3147
182.6,17.9963
183.15,19.3579
183.7,17.017
184.25,19.2414
184.8,21.0111
185.35,18.8989
185.9,18.9975
186.45,19.5326
187.0,36.6682
187.55,17.1707
188.1,19.7368
188.65,19.5456
189.2,17.7157
189.75,18.0482
190.3,16.7896
190.85,16.5396
191.4,17.7443
191.95,19.3737
192.5,18.9275
193.05,20.414
194.7,17.361
195.25,20.2678
195.8,20.4532
196.35,17.2626
196.9,17.9456
197.45,18.2196
198.0,20.1078
198.55,20.4043
199.1,19.0067
199.65,22.635
200.2,18.0626
200.75,15.8891
201.3,13.223
201.85,14.3029
202.4,16.8496
202.95,19.4641
203.5,25.05
204.05,18.5874
204.6,18.1714
205.15,20.4152
205.7,22.5929
206.25,18.3074
206.8,17.4721
207.35,17.8122
207.9,17.59
208.45,17.8152
209.0,17.4085
209.55,19.0925
210.1,18.2533
210.65,19.2511
211.2,19.9646
211.75,21.2754
212.3,20.8263
212.85,19.5856
213.4,20.3022
213.95,20.3189
214.5,21.2171
215.05,21.9722
215.6,20.695
216.15,21.4767
216.7,19.9659
217.25,19.2226
217.8,20.5843
218.35,20.4048
218.9,22.6414
