GISP2 Electrical Conductivity Measurements

REFERENCES: 

Taylor, K.C., R.B. Alley, G.W. Lamorey, and P.A. Mayewski. 1997. Electrical
measurements on the Greenland Ice Sheet Project 2 core. Journal of
Geophysical Research 102:26511-26517.

Taylor, K.C., P.A. Mayewski, M.S. Twickler, and S.I. Whitlow. 1996. Biomass
burning recorded in the GISP2 ice core: A record from eastern Canada? The
Holocene 6(1):1-6.

Chylek, P., B. Johnson, P.A. Damiano, K.C. Taylor, and P. Clement. 1995.
Biomass burning record and black carbon in the GISP2 ice core. Geophysical
Research Letters 22:89-92.

Taylor, K.C., G.W. Lamorey, G.A. Doyle, R.B. Alley, P.M. Grootes, P.A.
Mayewski, J.W.C. White, and L.K. Barlow. 1993. The 'flickering switch' of
late Pleistocene climate change. Nature 361:432-436.

Taylor, K.C., R.B. Alley, R.J. Fiacco, P.M. Grootes, G.W. Lamorey, P.A.
Mayewski, and M.J. Spencer. 1992. Ice core dating and chemistry by direct
current electrical conductivity. Journal of Glaciology 38:325-332.

DATA DESCRIPTION: 

The ECM file ECMage.dat represents 0.5 meter averages of the data in the
b****.dat and d****.dat files.  The GISP2 B core was used for the first
100 meters; the D core thereafter.  All depths are D core depths, ages are
on the Meese/Sowers timescale.  See ECMinfo.txt and depthage.dat for
further information. 

DATA: 

Depth	ECM	Age
Top (m)	microamps	Top (yr BP 1950)
		
90.8	29.83	238.3
91.45	33.899	240.9
92.11	27.901	243.7
92.77	18.188	246.5
93.37	27.289	249.4
93.98	27.997	251.4
94.55	35.59	253.3
95.12	42.411	255.1
95.72	35.517	257.7
96.31	34.237	259.8
96.92	28.271	261.9
97.59	31.794	264.7
98.25	30.964	266.9
98.87	31.24	269.3
99.47	24.342	271.5
100.24	37.907	274.2
101.25	14.0752	278.3
102.21	17.9514	282.0
102.75	14.2412	283.8
103.3	15.5106	287.0
103.89	17.4024	289.5
104.44	16.7	291.8
104.98	13.2782	293.6
105.53	15.9384	295.7
106.1	14.694	298.0
106.65	14.2864	300.3
107.2	13.1844	302.3
107.8	14.0034	304.3
108.35	16.7708	306.8
108.9	20.4744	309.0
109.47	14.1326	311.6
110.02	12.1354	313.4
110.6	12.4274	315.0
111.16	11.2408	317.5
111.71	12.1656	319.5
112.25	13.4634	321.3
112.8	15.2246	323.7
113.35	14.3672	326.4
113.9	13.755	328.3
114.5	14.926	330.7
115.09	16.6358	333.0
115.64	14.859	334.8
116.19	15.2486	337.0
116.76	15.9492	339.3
117.47	16.8238	342.7
118.25	20.9246	346.2
118.89	15.4436	348.5
119.46	19.8294	350.9
120.02	17.7896	353.1
120.59	14.3244	355.5
121.14	18.784	358.5
121.7	15.8988	360.3
122.25	18.172	362.2
122.8	16.0224	364.0
123.36	15.116	366.6
123.91	23.202	368.6
124.46	27.8364	371.2
125.01	27.2874	372.8
125.58	21.1812	375.4
126.14	12.9056	377.7
126.71	20.0728	380.4
127.3	16.5902	382.7
127.86	19.6702	385.3
128.41	16.2052	387.7
129	13.7764	390.5
129.8	18.5354	394.5
130.59	17.3	397.6
131.16	15.105	399.9
131.75	12.2252	402.3
132.33	11.6394	404.8
132.88	10.9604	406.9
133.43	12.2584	409.1
134	14.8704	411.3
134.57	9.4006	413.6
135.13	9.9296	416.1
135.71	11.8178	418.1
136.26	16.7232	420.3
136.81	21.3622	422.6
137.38	12.843	424.9
137.93	11.5282	427.2
138.48	13.2662	429.9
139.04	11.635	432.8
139.61	12.2492	435.6
140.17	9.6438	437.9
140.72	12.426	439.7
141.27	13.2366	442.2
141.82	12.4324	444.6
142.37	13.7142	446.9
142.92	14.2238	448.7
143.5	17.8794	451.0
144.1	19.8648	453.5
144.66	19.7994	456.6
145.21	22.8534	458.4
145.78	23.1714	460.4
146.33	25.4586	463.1
146.88	19.1552	465.3
147.46	19.4358	467.9
148.03	20.2466	470.3
148.58	23.267	472.9
149.15	17.8396	475.8
149.75	13.7842	478.5
150.33	16.7428	482.3
150.89	13.0274	485.0
151.44	11.1258	487.4
152	21.5796	489.7
152.56	22.7936	491.8
153.11	18.0188	493.7
153.67	19.6978	496.4
154.22	20.9016	498.7
154.8	12.3498	501.7
155.35	10.3708	503.8
155.9	17.3076	506.0
156.46	18.3234	508.9
157.01	19.6306	510.7
157.59	20.622	513.6
158.14	20.465	515.8
158.7	19.577	518.0
159.26	25.4128	520.2
159.81	17.6432	522.1
160.36	19.2298	524.5
160.91	19.2436	526.6
161.46	22.4348	528.9
162.01	15.9098	531.1
162.56	18.403	533.2
163.11	20.9914	535.6
163.68	20.3236	537.9
164.23	21.3032	540.1
164.78	19.433	542.4
165.35	18.6646	545.3
165.92	14.784	547.6
166.47	11.7498	550.2
167.02	11.4666	552.1
167.64	12.5224	555.1
168.29	11.685	557.5
168.89	14.9892	559.3
169.48	18.4376	561.9
170.07	21.0558	564.7
170.63	24.4202	567.1
171.18	19.974	569.6
171.73	24.3714	571.7
172.28	26.76	573.6
172.83	30.213	575.8
173.38	30.1696	578.4
173.93	20.8262	580.8
174.49	21.0098	583.3
175.06	22.259	585.2
175.62	24.0684	587.4
176.17	24.0102	589.9
176.72	16.9462	592.6
177.27	18.082	594.9
177.82	19.0368	597.1
178.39	16.818	599.5
178.94	21.02	602.2
179.49	26.334	604.3
180.05	24.5704	606.5
180.61	24.378	609.0
181.19	23.2056	611.5
181.77	23.6656	613.9
182.33	16.3312	616.1
182.89	22.3078	618.9
183.44	21.4218	621.2
184	21.628	623.3
