#calculate with T of -30 and d15N from GICC05
depth	LID	rel_unc	comment
82.37	66.01302254897561	0.15	
85.35	66.3395370293226	0.15	
89.69	65.24499273134795	0.15	
90.21	65.8056137101201	0.15	
94.44	64.95126162770245	0.15	
95.65	66.58123348192295	0.15	
96.85	65.23986539667305	0.15	
98.85	66.76917621485603	0.15	
101.39	64.85736625708772	0.15	
103.19	65.0531895776077	0.15	
105.65	66.37136469920698	0.15	
108.15	64.89755527488634	0.15	
110.75	65.03926249156123	0.15	
112.64	65.50215189610108	0.15	
115.43	63.384686397115445	0.15	
118.15	66.10041124747943	0.15	
120.85	63.93585515796883	0.15	
122.35	65.36085444494282	0.15	
124.29	64.76666806300545	0.15	
127.19	65.0772898947973	0.15	
129.46	65.3605692399588	0.15	
131.82	66.22041321637549	0.15	
134.52	65.9304795867161	0.15	
136.85	65.10172370297002	0.15	
139.25	64.90377243808467	0.15	
140.55	64.639133597205	0.15	
144.15	64.33633786276786	0.15	
146.15	66.18447292395619	0.15	
148.85	65.76543176509873	0.15	
150.86	66.0354648369807	0.15	
152.69	65.94542732677154	0.15	
155.33	64.34087191684328	0.15	
157.85	64.04400050444715	0.15	
160.25	63.92384302089223	0.15	
162.58	66.1296858839925	0.15	
164.54	66.49339796060555	0.15	
166.55	66.1990756507038	0.15	
168.58	66.77245615161195	0.15	
171.15	65.50399071686061	0.15	
173.84	66.6590488987076	0.15	
176.4	65.43514490562143	0.15	
178.64	65.80546020012605	0.15	
181.15	63.782181218082144	0.15	
183.22	66.17622015973407	0.15	
185.45	66.70196970610776	0.15	
187.15	67.69818918607983	0.15	
190.27	65.49985618461824	0.15	
192.78	65.66660299305774	0.15	
195.6	63.712499362247875	0.15	
198.18	64.66625711772147	0.15	
201.25	65.73892947698627	0.15	
203.29	66.22814932092624	0.15	
205.49	67.9396691947306	0.15	
207.39	67.29844393079979	0.15	
209.24	67.28498751239873	0.15	
211.15	66.41454782436259	0.15	
213.54	66.90559637561942	0.15	
215.85	64.8689263021819	0.15	
218.25	64.72047738178046	0.15	
221.15	65.0669239495154	0.15	
223.45	63.46751487005039	0.15	
225.54	64.81052032482096	0.15	
227.38	64.37089381602743	0.15	
229.84	65.4354217209515	0.15	
231.15	64.99594764686373	0.15	
233.2	63.51380787439744	0.15	
235.49	63.67880761227321	0.15	
237.15	63.92865406761764	0.15	
240.84	63.36471680657523	0.15	
243.16	64.96574955812893	0.15	
245.51	65.98823714909267	0.15	
247.41	64.72965861310176	0.15	
249.66	64.89775771465918	0.15	
251.15	64.8995370740658	0.15	
253.15	64.67032076159803	0.15	
254.74	63.95693564867936	0.15	
256.44	63.3682225550912	0.15	
259.15	65.02729565843126	0.15	
260.25	65.25162272888905	0.15	
261.85	67.13598129368252	0.15	
265.85	66.25409115041504	0.15	
267.74	65.60800770807303	0.15	
269.84	65.04929628195092	0.15	
271.4	65.79525952538366	0.15	
273.38	65.97175395541647	0.15	
275.66	66.98672997213663	0.15	
277.19	65.96949123838209	0.15	
279.16	66.0589336608651	0.15	
281.41	66.54960006871397	0.15	
284.72	65.34982695322883	0.15	
288.56	66.17281560106592	0.15	
291.21	68.12815746155496	0.15	
293.74	64.94864561866402	0.15	
295.84	65.15962842484305	0.15	
298.17	64.89555966093573	0.15	
301.21	65.37750152136317	0.15	
