depth1	depth2	age_unc
640.93	736.527	40
641.64	737.28	40
643.97	739.728	40
644.67	740.531	40
645.15	741.016	40
647.38	743.424	40
648.83	745.06	40
655.01	751.995	40
655.88	752.836	40
661.03	758.26	40
666.38	764.078	40
670.28	768.423	40
670.515	768.638	40
674.31	772.741	40
680.452	779.447	40
680.726	779.778	40
688.777	788.494	40
702.069	802.761	40
731.983	835.012	40
733.155	836.316	40
777.104	882.653	40
777.544	883.104	40
786.003	891.88	40
788.046	894.091	40
793.232	899.532	40
824.166	931.785	40
857.206	966.075	40
898.241	1007.837	40
899.734	1009.26	40
901.323	1010.761	40
907.488	1016.868	40
944.459	1054.615	40
947.109	1057.3	40
947.599	1057.813	40
956.65	1066.996	40
958.136	1068.542	40
960.832	1071.26	40
964.082	1074.603	40
967.655	1078.332	40
1011.647	1122.099	100
1016.17	1126.512	100
1031.229	1141.405	100
1034.891	1145.09	100
1038.893	1148.964	100
1043.909	1153.779	100
1056.372	1165.756	100
1078.266	1186.592	100
1092.65	1200.504	100
1097.685	1205.299	100
1102.538	1209.958	100
1102.883	1210.288	100
1108.487	1215.664	100
1118.329	1225.086	100
1125.773	1232.34	100
1126.43	1233.044	100
1137.88	1244.305	100
1139.082	1245.477	100
1142.398	1248.674	100
1145.892	1252.09	100
1151.69	1257.677	100
1163.639	1269.433	100
1165.036	1270.842	100
1169.959	1275.675	100
1170.744	1276.43	100
1171.713	1277.359	100
1172.165	1277.805	100
1175.605	1281.033	100
1183.789	1289.342	100
1184.441	1289.999	100
1185.75	1291.291	100
1186.394	1291.906	100
1187.369	1292.837	100
1190.376	1295.798	100
1191.41	1296.807	100
1192.531	1297.89	100
1195.052	1300.498	100
1196.278	1301.705	100
1199.612	1305.126	100
1200.79	1306.285	100
1201.651	1307.126	100
1208.451	1313.695	100
1210.258	1315.464	100
1210.798	1316.103	100
1217.246	1322.74	100
1219.606	1325.024	100
1220.032	1325.412	100
1220.862	1326.232	100
1222.284	1327.615	100
1223.167	1328.447	100
1225.923	1331.248	100
1226.264	1331.612	100
1226.439	1331.806	100
1227.197	1332.575	100
1228.619	1334.012	100
1230.365	1335.716	100
1234.929	1340.395	100
1237.185	1342.654	100
1238.173	1343.771	100
1238.944	1344.622	100
1239.959	1345.634	100
1241.069	1346.787	100
1241.695	1347.463	100
1242.289	1348.063	100
1242.465	1348.254	100
1244.262	1350.138	100
1245.211	1351.09	100
1248.266	1354.21	100
1248.711	1354.683	100
1256.557	1362.841	100
1257.002	1363.329	100
1257.173	1363.492	100
1257.818	1364.152	100
1259.639	1366.036	100
1261.357	1367.811	100
1261.732	1368.187	100
1262.529	1368.96	100
1263.265	1369.766	100
1264.024	1370.591	100
1266.256	1372.949	100
1267.231	1373.966	100
1268.079	1374.861	100
1268.388	1375.25	100
1269.451	1376.324	100
1270.891	1377.85	100
1271.926	1378.896	100
1272.284	1379.253	100
1273.438	1380.488	100
1274.253	1381.3	100
1274.723	1381.794	100
1275.289	1382.418	100
1276.952	1384.144	100
1277.664	1384.938	100
1278.035	1385.333	100
1278.911	1386.236	100
1279.635	1386.981	100
1280.002	1387.374	100
1280.848	1388.306	100
1282.627	1390.144	100
1283.299	1390.859	100
1283.525	1391.105	100
1284.022	1391.595	100
1285.495	1393.08	100
1288.003	1395.693	100
1288.271	1395.976	100
1289.885	1397.667	100
1292.061	1399.868	100
1292.336	1400.116	100
1293.623	1401.593	100
1293.842	1401.833	100
1295.285	1403.376	100
1296.245	1404.403	100
1300.025	1408.295	100
1301.09	1409.348	100
1301.944	1410.311	100
1302.36	1410.718	100
1303.234	1411.58	100
1305.682	1414.162	100
1306.379	1414.89	100
1308.566	1417.34	100
1309.944	1418.715	100
1310.732	1419.496	100
1311.307	1420.09	100
1311.562	1420.391	100
1312.907	1421.83	100
1314.318	1423.376	100
1315.174	1424.376	100
1316.233	1425.504	100
1317.339	1426.643	100
1317.552	1426.865	100
1318.811	1428.204	100
1319.061	1428.478	100
1319.499	1428.953	100
1323.713	1433.403	100
1327.963	1438.04	100
1328.477	1438.606	100
1331.404	1441.839	100
1331.652	1442.106	100
1332.518	1443.027	100
1333.073	1443.659	100
1335.323	1446.154	100
1338.051	1449.259	100
1338.404	1449.632	100
1339.273	1450.604	100
1341.282	1452.82	100
1342.221	1453.855	100
1342.623	1454.322	100
1342.943	1454.672	100
1344.124	1456.003	100
1344.365	1456.274	100
1345.803	1457.846	100
1347.301	1460.029	100
1347.572	1460.314	100
1347.982	1460.771	100
1348.622	1461.446	100
1348.91	1461.741	100
1352.313	1465.38	100
1354.108	1467.339	100
1354.471	1467.713	100
1355.647	1469.113	100
1356.152	1469.637	100
1356.942	1470.514	100
1360.44	1474.384	100
1360.809	1474.803	100
1361.85	1476.004	100
1362.292	1476.512	100
1363.283	1477.551	100
1365.587	1480.062	100
1366.183	1480.723	100
1368.942	1483.665	100
1369.947	1484.822	100
1371.582	1486.612	100
1373.277	1488.498	100
1374.067	1489.309	100
1374.411	1489.677	100
1375.911	1491.386	100
1377.255	1492.823	100
1378.674	1494.453	100
1380.094	1496.02	100
1380.564	1496.46	100
1381.106	1497.089	100
1381.892	1497.875	100
1382.516	1498.562	100
1383.761	1499.965	100
1384.466	1500.755	100
1386.425	1502.978	100
1386.683	1503.227	100
1386.748	1503.322	100
1388.287	1505.063	100
1388.887	1505.682	100
1389.313	1506.19	100
1389.81	1506.759	100
1390.366	1507.353	100
1391.359	1508.402	100
1392.143	1509.238	100
1393.092	1510.343	100
1393.478	1510.77	100
1394.674	1512.179	100
1397.144	1514.736	100
1397.728	1515.417	100
1398.341	1516.076	100
1398.991	1516.792	100
1399.381	1517.287	100
1401.406	1519.377	100
1401.735	1519.717	100
1402.992	1521.072	100
1403.983	1522.093	100
1406.929	1525.311	100
1409.82	1528.585	100
1410.627	1529.472	100
1412.266	1531.273	100
1413.64	1532.805	100
1414.993	1534.333	100
1416.066	1535.577	100
1416.837	1536.464	100
1418.076	1537.873	100
1419.082	1539.055	100
1421.185	1541.405	100
1423.593	1544.169	100
1424.195	1544.888	100
1425.268	1546.086	100
1426.16	1547.066	100
1427.027	1548.124	100
1427.862	1549.089	100
1428.496	1549.828	100
1431.246	1553.043	100
1434.5	1556.84	100
1441.926	1565.482	100
1444.479	1568.322	100
1445.091	1569.01	100
1446.405	1570.574	100
1447.28	1571.599	100
1448.17	1572.716	100
1450.593	1575.657	100
1450.749	1575.845	100
1455.97	1581.884	100
1456.768	1582.771	100
1457.7	1583.863	100
1458.709	1585.109	100
1461.967	1588.857	100
1464.205	1591.454	100
1465.562	1592.965	100
1465.768	1593.195	100
1466.13	1593.606	100
1468.415	1596.267	100
1469.15	1597.178	100
1470.627	1598.9	100
1471.126	1599.467	100
1472.231	1600.751	100
1472.639	1601.213	100
1474.171	1603.025	100
1475.59	1604.748	100
1476.458	1605.694	100
1477.841	1607.202	100
1477.998	1607.38	100
1479.487	1609.156	100
1479.72	1609.4	100
1479.873	1609.565	100
1480.91	1610.739	100
1481.502	1611.405	100
1481.764	1611.736	100
1482.282	1612.372	100
1483.132	1613.454	100
1483.722	1614.064	100
1484.243	1614.686	100
1485.087	1615.618	100
1485.262	1615.825	100
1485.496	1616.125	100
1485.813	1616.486	100
1486.093	1616.821	100
1486.196	1616.973	100
1486.374	1617.201	100
1486.619	1617.481	100
1487.396	1618.466	100
1487.852	1618.985	100
1488.447	1619.709	100
1488.766	1620.031	100
1489.03	1620.366	100
1489.416	1620.808	100
1490.08	1621.569	100
1490.432	1621.972	100
1490.74	1622.299	100
1491.298	1622.973	100
1491.813	1623.553	100
1492.61	1624.449	100
1493.636	1625.651	100
1493.801	1625.816	100
1494.431	1626.516	100
1495.381	1627.543	100
1495.785	1628.029	100
1496.112	1628.338	100
1500.734	1633.481	100
1501.85	1634.636	100
1503.499	1636.505	100
1504.02	1637.1	100
1506.108	1639.543	100
1507.008	1640.521	100
1508.05	1641.7	100
1511.357	1645.339	100
1512.004	1646.133	100
1513.462	1647.815	100
1517.98	1652.898	100
1522.206	1657.511	100
1524.185	1659.829	100
1524.77	1660.462	100
1525.454	1661.219	100
1525.862	1661.702	100
1526.497	1662.378	100
1527.317	1663.325	100
1529.023	1665.26	100
1530.485	1667.001	100
1531.776	1668.483	100
1532.38	1669.26	100
1533.16	1670.131	100
1535.687	1673.107	100
1536.035	1673.501	100
1538.39	1676.25	100
1538.676	1676.545	100
1539.366	1677.337	100
1540.037	1678.13	100
1540.676	1678.816	100
1541.622	1679.975	100
1541.958	1680.369	100
1543.069	1681.628	100
1543.528	1682.139	100
1544.236	1683.012	100
1545.612	1684.632	100
1547.86	1687.271	100
1549.426	1689.134	100
1555.457	1696.121	100
1556.83	1697.69	100
1557.272	1698.208	100
1558.465	1699.546	100
1560.159	1701.589	100
1561.495	1703.137	100
1562.416	1704.203	100
1563.139	1705.074	100
1564.5	1706.598	100
1566.528	1708.951	100
1567.573	1710.171	100
1568.246	1710.953	100
1568.989	1711.774	100
1569.543	1712.438	100
1571.39	1714.47	100
1573.661	1717.198	100
1574.903	1718.537	100
1575.999	1719.855	100
1576.651	1720.576	100
1577.573	1721.672	100
1578.605	1722.902	100
1579.77	1724.264	100
1580.71	1725.4	100
1581.848	1726.675	100
1582.623	1727.586	100
1583.582	1728.708	100
1584.505	1729.813	100
1585.306	1730.729	100
1588.09	1733.961	100
1588.937	1734.935	100
1590.265	1736.485	100
1590.85	1737.255	100
1592.197	1738.837	100
1594.59	1741.723	100
1595.1	1742.31	100
1595.798	1743.074	100
1596.278	1743.617	100
1597.519	1745.166	100
1599.069	1746.981	100
1601.074	1749.324	100
1601.546	1749.86	100
1602.033	1750.351	100
1602.444	1750.88	100
1602.962	1751.496	100
1604.968	1753.773	100
1605.737	1754.605	100
1606.57	1755.5	100
1607.468	1756.53	100
1609.45	1758.71	100
1610.802	1760.193	100
1611.996	1761.459	100
1614.724	1764.346	100
1619.573	1769.52	100
