# DOI: 10.5194/cp-7-1-2011
# Depth	Age	CH4	CH4_err
765.975	13981	629.7	10.0
766.985	14024	626.0	10.0
769.985	14150	613.0	10.0
771.975	14221	629.0	10.0
772.975	14264	609.3	10.0
775.985	14382	631.0	10.0
777.985	14455	622.0	10.0
779.975	14530	613.6	10.0
781.375	14578	607.1	10.0
784.435	14688	526.5	10.0
784.475	14689	567.0	10.0
785.625	14733	529.8	10.0
785.925	14744	522.0	10.0
787.625	14818	479.7	10.0
787.975	14832	475.4	10.0
788.975	14878	471.3	10.0
792.985	15056	471.0	10.0
793.985	15101	484.0	10.0
794.875	15144	459.1	10.0
797.975	15283	434.6	10.0
798.985	15326	477.0	10.0
802.985	15507	471.0	10.0
804.575	15583	473.2	10.0
804.905	15599	487.0	10.0
804.935	15600	457.0	10.0
805.875	15647	458.6	10.0
805.935	15650	463.0	10.0
806.985	15701	454.0	10.0
809.955	15851	450.0	10.0
811.905	15947	463.0	10.0
811.975	15950	444.8	10.0
813.855	16048	445.0	10.0
813.875	16049	446.7	10.0
815.985	16161	470.0	10.0
817.345	16237	450.0	10.0
819.905	16384	434.7	10.0
819.975	16388	425.9	13.4
822.905	16549	428.7	10.0
822.975	16552	416.6	12.5
824.415	16627	433.0	10.0
826.385	16726	424.0	10.0
828.805	16839	419.0	10.0
828.975	16847	408.8	10.0
830.905	16949	418.7	10.0
830.975	16953	411.1	10.0
831.985	17008	413.0	10.0
833.985	17111	411.0	10.0
835.905	17227	392.0	10.0
835.935	17229	391.7	10.0
835.975	17231	389.2	10.0
837.905	17327	384.0	10.0
837.975	17331	392.6	10.0
839.985	17444	389.0	10.0
841.385	17526	375.0	10.0
842.905	17618	372.7	10.0
842.975	17623	367.8	14.2
845.905	17821	381.7	10.0
845.975	17827	363.9	10.0
847.395	17956	382.0	10.0
848.985	18096	374.0	10.0
850.575	18239	405.7	10.0
850.905	18269	375.0	10.0
851.905	18370	385.0	10.0
851.935	18373	379.3	10.0
851.975	18377	368.4	10.0
854.515	18610	376.0	10.0
856.985	18844	375.0	10.0
858.575	18994	384.0	10.0
858.905	19026	393.0	10.0
861.905	19302	369.3	10.0
861.975	19309	359.2	10.0
864.985	19588	369.0	10.0
865.985	19686	366.0	10.0
866.655	19748	369.0	10.0
866.725	19755	374.3	10.0
868.935	19974	364.3	10.0
868.975	19978	366.8	10.0
869.985	20081	368.0	10.0
873.985	20495	373.0	10.0
875.905	20703	375.3	10.0
875.975	20710	380.3	10.0
876.905	20814	375.3	10.0
876.975	20822	363.4	14.5
879.985	21160	358.0	10.0
881.985	21393	362.0	10.0
883.905	21627	364.0	10.0
883.975	21635	367.9	14.8
886.890	22014	366.3	10.0
886.965	22024	360.0	10.0
887.985	22157	368.0	10.0
889.985	22418	373.0	10.0
890.905	22526	378.7	10.0
890.975	22534	377.8	10.0
892.905	22776	373.0	10.0
892.975	22785	379.3	10.0
894.985	23030	382.0	10.0
896.985	23287	394.0	10.0
899.905	23651	393.0	10.0
899.975	23660	394.7	10.0
902.905	24015	393.7	10.0
902.935	24019	399.3	10.0
902.975	24024	396.4	10.0
903.395	24071	402.0	10.0
905.985	24356	394.0	10.0
906.855	24455	384.3	10.0
906.975	24469	380.4	10.0
907.875	24569	387.8	10.0
907.935	24575	376.7	10.0
910.985	24922	380.0	10.0
912.985	25149	395.0	10.0
915.905	25466	375.7	10.0
915.975	25474	375.3	10.0
916.905	25569	369.7	10.0
916.975	25577	375.5	10.0
919.985	25884	376.0	10.0
922.985	26200	381.0	10.0
924.905	26412	364.0	10.0
924.975	26420	374.1	10.0
926.905	26634	373.0	10.0
926.975	26642	374.0	10.0
928.975	26847	365.0	10.0
929.925	26952	374.0	10.0
929.985	26958	378.0	10.0
931.905	27177	383.3	10.0
931.975	27185	380.6	10.0
933.905	27389	385.3	10.0
933.975	27397	372.7	10.0
934.985	27506	397.0	10.0
937.865	27772	418.0	10.0
937.895	27774	393.0	10.0
937.955	27779	408.0	10.0
937.985	27781	388.0	10.0
940.575	27980	431.9	11.7
940.905	28005	426.0	10.0
941.375	28035	378.0	10.0
941.905	28066	417.0	10.0
943.955	28188	372.0	10.0
943.985	28189	374.0	10.0
944.985	28248	388.0	10.0
949.890	28630	422.3	10.0
949.975	28637	427.6	10.0
952.925	28894	445.3	10.0
952.955	28896	444.0	10.0
952.985	28899	398.0	10.0
956.885	29333	391.7	10.0
956.915	29336	392.0	10.0
956.965	29342	411.3	10.0
957.905	29439	397.3	10.0
957.935	29442	388.7	10.0
957.975	29446	382.2	10.0
958.970	29553	398.0	10.0
959.000	29557	392.0	10.0
959.925	29652	385.0	10.0
959.955	29655	397.0	10.0
961.905	29836	397.7	10.0
961.975	29843	386.8	10.0
963.905	30010	393.0	10.0
963.975	30015	388.0	10.0
965.955	30195	401.0	10.0
965.985	30198	401.0	10.0
967.955	30387	395.3	10.0
967.985	30390	415.0	10.0
968.905	30483	396.7	10.0
968.935	30486	411.7	10.0
968.975	30490	399.9	10.0
971.905	30807	402.7	10.0
971.935	30811	421.7	10.0
971.975	30815	406.7	10.0
973.985	31037	391.0	10.0
975.985	31253	399.0	10.0
977.775	31429	397.1	10.0
978.905	31544	425.7	10.0
978.975	31552	408.7	10.0
981.985	31826	410.0	10.0
982.985	31920	425.0	10.0
985.905	32193	474.0	10.0
985.935	32195	465.3	10.0
985.975	32199	473.0	18.2
986.905	32326	490.7	10.0
986.935	32331	482.0	10.0
986.975	32336	484.7	14.1
987.955	32475	497.0	10.0
987.985	32479	512.0	10.0
990.985	32841	415.0	10.0
993.905	33188	410.3	10.0
993.975	33196	411.9	12.3
996.975	33429	483.8	10.0
997.985	33486	439.0	10.0
999.985	33598	485.0	10.0
1001.905	33685	494.7	10.0
1001.935	33686	488.3	10.0
1001.975	33688	486.2	10.0
1003.305	33749	484.3	10.0
1003.335	33750	436.0	10.0
1003.575	33760	468.3	10.0
1005.280	33825	426.7	10.0
1005.975	33851	426.0	10.0
1009.615	34164	429.0	10.0
1009.675	34170	421.0	10.0
1009.975	34201	422.3	11.0
1011.015	34318	434.7	10.0
1011.045	34321	437.0	10.0
1011.075	34324	424.0	10.0
1011.105	34328	436.0	10.0
1013.280	34572	453.0	10.0
1013.975	34655	435.2	10.0
1015.305	34803	499.0	10.0
