,depth,deporate,rel_unc,comment
200,483.775,0.2437,0.2,
201,485.974,0.242,0.2,
202,488.118,0.2531,0.2,
203,490.35,0.2532,0.2,
204,492.768,0.2577,0.2,
205,495.055,0.2634,0.2,
206,497.374,0.2646,0.2,
207,499.803,0.2639,0.2,
208,502.21,0.2628,0.2,
209,504.442,0.2606,0.2,
210,506.838,0.256,0.2,
211,509.125,0.2528,0.2,
212,511.313,0.2481,0.2,
213,513.479,0.2485,0.2,
214,515.788,0.258,0.2,
215,518.009,0.2632,0.2,
216,520.492,0.2591,0.2,
217,522.768,0.2537,0.2,
218,524.891,0.2482,0.2,
219,527.232,0.2464,0.2,
220,529.289,0.252,0.2,
221,531.576,0.2597,0.2,
222,533.939,0.2628,0.2,
223,536.28,0.2697,0.2,
224,538.676,0.2813,0.2,
225,541.039,0.2797,0.2,
226,543.764,0.2818,0.2,
227,546.094,0.2779,0.2,
228,548.556,0.2638,0.2,
229,550.93,0.2692,0.2,
230,553.129,0.2703,0.2,
231,555.602,0.2745,0.2,
232,558.096,0.2821,0.2,
233,560.7,0.2788,0.2,
234,563.053,0.2699,0.2,
235,565.438,0.2583,0.2,
236,567.582,0.254,0.2,
237,569.792,0.2615,0.2,
238,572.155,0.27,0.2,
239,574.537,0.2766,0.2,
240,576.928,0.2712,0.2,
241,579.395,0.2663,0.2,
242,581.659,0.2612,0.2,
243,583.897,0.258,0.2,
244,586.059,0.2643,0.2,
245,588.511,0.2664,0.2,
246,590.878,0.2712,0.2,
247,593.333,0.2671,0.2,
248,595.524,0.2698,0.2,
249,597.985,0.2601,0.2,
250,600.236,0.2569,0.2,
251,602.431,0.2474,0.2,
252,604.5,0.2574,0.2,
253,606.861,0.2639,0.2,
254,609.322,0.2695,0.2,
255,611.513,0.2685,0.2,
256,613.912,0.2599,0.2,
257,616.089,0.2598,0.2,
258,618.358,0.2581,0.2,
259,620.555,0.2637,0.2,
260,622.981,0.2685,0.2,
261,625.313,0.2678,0.2,
262,627.609,0.2595,0.2,
263,629.879,0.265,0.2,
264,632.09,0.2685,0.2,
265,634.723,0.2741,0.2,
266,636.998,0.272,0.2,
267,639.183,0.2647,0.2,
268,641.454,0.2599,0.2,
269,643.862,0.2613,0.2,
270,645.977,0.2556,0.2,
271,648.158,0.2593,0.2,
272,650.459,0.2602,0.2,
273,652.795,0.2613,0.2,
274,654.991,0.2571,0.2,
275,657.174,0.2646,0.2,
276,659.442,0.2644,0.2,
277,661.806,0.2623,0.2,
278,663.91,0.2519,0.2,
279,666.145,0.2477,0.2,
280,668.154,0.247,0.2,
281,670.309,0.2503,0.2,
282,672.496,0.2505,0.2,
283,674.637,0.2505,0.2,
284,676.762,0.25,0.2,
285,678.97,0.2513,0.2,
286,681.063,0.2488,0.2,
287,683.24,0.2483,0.2,
288,685.279,0.2546,0.2,
289,687.634,0.2498,0.2,
290,689.756,0.251,0.2,
291,691.659,0.2492,0.2,
292,693.813,0.2501,0.2,
293,696.014,0.2521,0.2,
294,698.265,0.2442,0.2,
295,700.191,0.2475,0.2,
296,702.191,0.2434,0.2,
297,704.336,0.2466,0.2,
298,706.554,0.2497,0.2,
299,708.612,0.2518,0.2,
300,710.667,0.2493,0.2,
301,712.838,0.2516,0.2,
302,715.013,0.2553,0.2,
303,717.102,0.2569,0.2,
304,719.405,0.2583,0.2,
305,721.427,0.2506,0.2,
306,723.598,0.2508,0.2,
307,725.704,0.2454,0.2,
308,727.793,0.2473,0.2,
309,729.869,0.247,0.2,
310,731.873,0.2461,0.2,
311,733.965,0.2453,0.2,
312,735.987,0.2469,0.2,
313,738.171,0.2543,0.2,
314,740.309,0.2521,0.2,
315,742.469,0.2443,0.2,
316,744.41,0.2437,0.2,
317,746.35,0.2434,0.2,
318,748.498,0.2581,0.2,
319,750.751,0.2625,0.2,
320,753.047,0.2598,0.2,
321,755.185,0.2493,0.2,
322,757.224,0.2444,0.2,
323,759.187,0.2513,0.2,
324,761.296,0.2525,0.2,
325,763.544,0.257,0.2,
326,765.617,0.2535,0.2,
327,767.636,0.2532,0.2,
328,769.806,0.2542,0.2,
329,771.999,0.255,0.2,
330,774.053,0.2574,0.2,
331,776.214,0.2577,0.2,
332,778.429,0.2654,0.2,
333,780.608,0.2659,0.2,
334,782.826,0.2677,0.2,
335,785.067,0.2698,0.2,
336,787.306,0.2713,0.2,
337,789.527,0.2654,0.2,
338,791.765,0.2524,0.2,
339,793.777,0.2474,0.2,
340,795.796,0.2486,0.2,
341,797.788,0.2491,0.2,
342,799.961,0.2539,0.2,
343,802.038,0.2528,0.2,
344,804.118,0.2541,0.2,
345,806.127,0.2561,0.2,
346,808.341,0.2592,0.2,
347,810.49,0.2592,0.2,
348,812.696,0.2588,0.2,
349,814.697,0.2557,0.2,
350,816.856,0.2521,0.2,
351,818.872,0.2605,0.2,
352,821.038,0.2626,0.2,
353,823.25,0.2593,0.2,
354,825.372,0.258,0.2,
355,827.447,0.2608,0.2,
356,829.609,0.2565,0.2,
