depth,ecm2
294.8,2.359
295.35,2.681
295.9,1.9358
296.45,1.5796
297.0,1.3622
297.55,1.2456
298.1,1.4084
298.65,1.7321
299.2,1.7944
299.75,2.215
300.3,1.1453
300.85,1.049
301.4,1.0542
301.95,1.0403
302.5,1.1063
303.05,0.9091
303.6,0.9301
304.15,0.9722
304.7,0.9861
305.25,0.884
305.8,1.8221
306.35,1.6174
306.9,1.6816
307.45,1.3399
308.0,0.6835
308.55,1.3285
309.1,2.0879
309.65,1.5718
310.2,1.3849
310.75,1.636
311.3,1.6948
311.85,1.0298
312.4,1.3341
312.95,1.0531
313.5,1.7633
314.05,1.109
314.6,1.2793
315.15,0.9325
315.7,1.7442
316.25,2.2817
316.8,1.0702
317.35,0.9821
317.9,1.2555
318.45,0.9742
319.0,0.4678
319.55,2.0101
320.1,1.1724
320.65,2.6528
321.2,1.4314
321.75,0.798
322.3,0.6625
322.85,1.3369
323.4,1.3787
323.95,0.9234
324.5,0.8936
325.05,1.532
325.6,1.4592
326.15,1.8865
326.7,1.7298
327.25,1.6732
327.8,2.0808
328.35,1.5932
328.9,1.7092
329.45,1.4884
330.0,2.0731
330.55,1.2177
331.1,2.1566
331.65,2.0179
332.2,1.2457
332.75,2.0744
333.3,1.6478
333.85,1.2278
334.4,1.0435
334.95,1.3534
335.5,1.1162
336.05,0.528
336.6,0.9039
337.15,1.5371
337.7,2.1194
338.25,2.3626
338.8,2.6306
339.35,4.2959
339.9,1.6398
340.45,1.9491
341.0,0.9191
341.55,1.3509
342.1,2.6315
342.65,2.0008
343.2,1.7013
343.75,1.3879
344.3,1.2269
344.85,1.7405
345.4,1.36
345.95,1.3869
346.5,1.7344
347.05,1.7178
347.6,1.654
348.15,1.4878
348.7,1.5327
349.25,1.8104
349.8,1.739
350.35,1.4098
350.9,1.925
351.45,1.2219
352.0,1.0685
352.55,0.8972
353.1,1.4221
353.65,2.0621
354.2,0.9553
354.75,1.2169
355.3,1.3764
355.85,1.4973
356.4,1.8141
356.95,1.8502
357.5,1.5336
358.05,0.8129
358.6,1.4715
359.15,1.612
359.7,1.6495
360.25,1.5796
360.8,1.3423
361.35,1.6037
361.9,0.9936
362.45,1.3168
363.0,1.193
363.55,1.3771
364.1,1.5048
364.65,1.2909
365.2,1.449
365.75,1.3894
366.3,1.6232
366.85,1.2976
367.4,0.9687
367.95,0.7656
368.5,1.1187
369.05,1.5371
369.6,1.6503
370.15,1.363
370.7,0.9973
371.25,1.2598
371.8,0.8613
372.35,1.1581
372.9,1.2371
373.45,1.1416
374.0,1.3594
374.55,0.9294
375.1,1.2546
375.65,1.3902
376.2,1.0208
376.75,0.9229
377.3,0.9965
377.85,1.1384
378.4,1.1902
378.95,0.9329
379.5,1.2771
380.6,1.3104
