depth	deporate	rel_unc	comment
328.350000	0.030000	0.200000	
330.000000	0.030300	0.200000	
331.650000	0.031100	0.200000	
333.300000	0.029500	0.200000	
334.950000	0.030500	0.200000	
336.600000	0.030700	0.200000	
338.250000	0.030300	0.200000	
339.900000	0.029100	0.200000	
341.550000	0.031500	0.200000	
343.200000	0.030000	0.200000	
344.850000	0.028500	0.200000	
346.500000	0.031600	0.200000	
348.150000	0.030300	0.200000	
349.800000	0.030700	0.200000	
351.450000	0.031100	0.200000	
353.100000	0.028900	0.200000	
354.750000	0.031900	0.200000	
356.400000	0.031800	0.200000	
358.050000	0.028600	0.200000	
359.700000	0.029600	0.200000	
361.350000	0.030400	0.200000	
363.000000	0.029400	0.200000	
364.650000	0.028100	0.200000	
366.300000	0.026100	0.200000	
367.950000	0.025600	0.200000	
369.600000	0.025700	0.200000	
371.250000	0.024600	0.200000	
372.900000	0.022900	0.200000	
374.550000	0.023700	0.200000	
376.200000	0.024000	0.200000	
377.850000	0.021500	0.200000	
379.500000	0.022100	0.200000	
381.150000	0.021600	0.200000	
382.800000	0.019400	0.200000	
384.450000	0.020300	0.200000	
386.100000	0.020100	0.200000	
387.750000	0.020200	0.200000	
389.400000	0.020400	0.200000	
391.050000	0.020300	0.200000	
392.700000	0.020100	0.200000	
394.350000	0.020700	0.200000	
396.000000	0.021100	0.200000	
397.650000	0.021100	0.200000	
399.300000	0.019300	0.200000	
400.950000	0.020900	0.200000	
402.600000	0.020700	0.200000	
404.250000	0.019300	0.200000	
405.900000	0.020100	0.200000	
407.550000	0.021300	0.200000	
409.200000	0.020600	0.200000	
410.850000	0.023000	0.200000	
412.500000	0.021500	0.200000	
414.150000	0.022100	0.200000	
415.800000	0.022400	0.200000	
417.450000	0.025600	0.200000	
419.100000	0.023900	0.200000	
420.750000	0.021500	0.200000	
422.400000	0.021300	0.200000	
424.050000	0.020600	0.200000	
425.700000	0.019200	0.200000	
427.350000	0.020200	0.200000	
429.000000	0.020900	0.200000	
430.650000	0.019900	0.200000	
432.300000	0.020800	0.200000	
433.950000	0.019900	0.200000	
435.600000	0.019800	0.200000	
437.250000	0.018300	0.200000	
438.900000	0.018000	0.200000	
440.550000	0.018700	0.200000	
442.200000	0.018200	0.200000	
443.850000	0.018200	0.200000	
445.500000	0.018400	0.200000	
447.150000	0.017700	0.200000	
448.800000	0.017500	0.200000	
450.450000	0.016900	0.200000	
452.100000	0.017100	0.200000	
453.750000	0.016800	0.200000	
455.400000	0.016700	0.200000	
457.050000	0.016300	0.200000	
458.700000	0.015400	0.200000	
460.350000	0.015400	0.200000	
462.000000	0.014700	0.200000	
463.650000	0.014400	0.200000	
465.300000	0.015100	0.200000	
466.950000	0.014400	0.200000	
468.600000	0.014100	0.200000	
470.250000	0.013700	0.200000	
471.900000	0.013200	0.200000	
473.550000	0.014100	0.200000	
475.200000	0.013800	0.200000	
476.850000	0.013500	0.200000	
478.500000	0.014100	0.200000	
480.150000	0.013900	0.200000	
481.800000	0.013500	0.200000	
483.450000	0.014600	0.200000	
485.100000	0.014000	0.200000	
486.750000	0.014300	0.200000	
488.400000	0.014100	0.200000	
490.050000	0.014000	0.200000	
491.700000	0.014600	0.200000	
