depth	thinning	rel_unc	comment
328.350000	0.935400	0.096965	
330.000000	0.935300	0.097510	
331.650000	0.934600	0.098055	
333.300000	0.934400	0.098600	
334.950000	0.934000	0.099145	
336.600000	0.933600	0.099690	
338.250000	0.933100	0.100234	
339.900000	0.932500	0.100779	
341.550000	0.932400	0.101324	
343.200000	0.931600	0.101869	
344.850000	0.930500	0.102414	
346.500000	0.929900	0.102959	
348.150000	0.929300	0.103504	
349.800000	0.928800	0.104049	
351.450000	0.928600	0.104594	
353.100000	0.928100	0.105139	
354.750000	0.927700	0.105684	
356.400000	0.927300	0.106229	
358.050000	0.926900	0.106773	
359.700000	0.926800	0.107318	
361.350000	0.926100	0.107863	
363.000000	0.925600	0.108408	
364.650000	0.925100	0.108953	
366.300000	0.924500	0.109498	
367.950000	0.924000	0.110043	
369.600000	0.923600	0.110588	
371.250000	0.922800	0.111133	
372.900000	0.922400	0.111678	
374.550000	0.922100	0.112223	
376.200000	0.921900	0.112768	
377.850000	0.921600	0.113312	
379.500000	0.921300	0.113857	
381.150000	0.921100	0.114402	
382.800000	0.921000	0.114947	
384.450000	0.921000	0.115492	
386.100000	0.921000	0.116037	
387.750000	0.920800	0.116582	
389.400000	0.920700	0.117127	
391.050000	0.920700	0.117672	
392.700000	0.920800	0.118217	
394.350000	0.920700	0.118762	
396.000000	0.920700	0.119306	
397.650000	0.920700	0.119851	
399.300000	0.920900	0.120396	
400.950000	0.921100	0.120941	
402.600000	0.921200	0.121486	
404.250000	0.921200	0.122031	
405.900000	0.921500	0.122576	
407.550000	0.921800	0.123121	
409.200000	0.922000	0.123666	
410.850000	0.922200	0.124211	
412.500000	0.922400	0.124756	
414.150000	0.922600	0.125301	
415.800000	0.923000	0.125845	
417.450000	0.922800	0.126390	
419.100000	0.922100	0.126935	
420.750000	0.921400	0.127480	
422.400000	0.920600	0.128025	
424.050000	0.919700	0.128570	
425.700000	0.918700	0.129115	
427.350000	0.917700	0.129660	
429.000000	0.916800	0.130205	
430.650000	0.915700	0.130750	
432.300000	0.915000	0.131295	
433.950000	0.914200	0.131839	
435.600000	0.913300	0.132384	
437.250000	0.912500	0.132929	
438.900000	0.911700	0.133474	
440.550000	0.910800	0.134019	
442.200000	0.910100	0.134564	
443.850000	0.909300	0.135109	
445.500000	0.908400	0.135654	
447.150000	0.907500	0.136199	
448.800000	0.906700	0.136744	
450.450000	0.905700	0.137289	
452.100000	0.905000	0.137834	
453.750000	0.904200	0.138378	
455.400000	0.903500	0.138923	
457.050000	0.902600	0.139468	
458.700000	0.901700	0.140013	
460.350000	0.901000	0.140558	
462.000000	0.900200	0.141103	
463.650000	0.899500	0.141648	
465.300000	0.898700	0.142193	
466.950000	0.897900	0.142738	
468.600000	0.897100	0.143283	
470.250000	0.896200	0.143828	
471.900000	0.895200	0.144373	
