depth	deporate	rel_unc	comment
7.62	0.2480396294020646	0.2	
8.22	0.2493333523177482	0.2	
8.75	0.2455531150128407	0.2	
9.23	0.2433666492543737	0.2	
9.5	0.2412690469025559	0.2	
9.91	0.2381839614060406	0.2	
10.43	0.2402626767736304	0.2	
10.83	0.2453089308744146	0.2	
11.28	0.2420963843436691	0.2	
11.72	0.242351480241396	0.2	
12.14	0.2455359794933518	0.2	
12.57	0.2428184968101983	0.2	
12.86	0.2404330089983838	0.2	
13.29	0.2375291400551233	0.2	
13.74	0.2400939670371654	0.2	
14.18	0.2476348566744704	0.2	
14.62	0.2501697274800581	0.2	
14.93	0.2496624751073278	0.2	
15.42	0.2474035486924105	0.2	
15.84	0.2449250198155935	0.2	
16.26	0.2435649120812792	0.2	
16.69	0.2493338543217619	0.2	
17.05	0.2488398186156696	0.2	
17.55	0.2504206662458441	0.2	
18.03	0.2537068637219344	0.2	
18.47	0.2531682772925206	0.2	
18.91	0.2544975812454426	0.2	
19.19	0.2583833599722088	0.2	
19.51	0.2605728226585541	0.2	
19.86	0.2580174205370608	0.2	
20.42	0.2595028934832191	0.2	
20.79	0.2576804883643885	0.2	
21.1	0.2532109609602884	0.2	
21.59	0.254168617133524	0.2	
21.98	0.2528616456787501	0.2	
22.42	0.2534815587986334	0.2	
22.94	0.2509309267684332	0.2	
23.29	0.2463167966472848	0.2	
23.66	0.2548225033825063	0.2	
24.09	0.2580448144685035	0.2	
24.42	0.2600051512839005	0.2	
24.68	0.2549764678785858	0.2	
25.04	0.2517817034609543	0.2	
25.46	0.2559752667073722	0.2	
25.92	0.2478827239927354	0.2	
26.25	0.2478070802001259	0.2	
26.52	0.2422879972975461	0.2	
27.03	0.237585278482132	0.2	
27.42	0.2415128551878558	0.2	
27.8	0.2367795871215738	0.2	
28.17	0.2310962023508302	0.2	
28.42	0.2339430668226295	0.2	
28.83	0.2401669429839728	0.2	
29.05	0.2399132021901139	0.2	
29.41	0.2429901454632044	0.2	
29.66	0.2383026396772882	0.2	
30.01	0.2411816366425097	0.2	
30.45	0.2439361579959184	0.2	
30.66	0.2395878135602021	0.2	
30.9	0.2396397792115994	0.2	
31.29	0.2400485552531228	0.2	
31.71	0.2375368195926611	0.2	
32.04	0.2445666081318269	0.2	
32.52	0.2363081378971641	0.2	
32.82	0.2370943658552526	0.2	
33.21	0.2384861792099829	0.2	
33.54	0.2382075512638838	0.2	
33.9	0.2326444631708234	0.2	
34.27	0.2290798909910731	0.2	
34.64	0.2382912031889851	0.2	
34.92	0.240217107574244	0.2	
35.35	0.2376121206583776	0.2	
35.51	0.232805382831577	0.2	
35.74	0.2385505833294885	0.2	
36.12	0.2293006995871063	0.2	
36.35	0.2305260643632577	0.2	
36.53	0.2311526473825536	0.2	
36.85	0.2327849752692638	0.2	
37.3	0.2318585277363681	0.2	
37.58	0.2301995055636405	0.2	
37.88	0.2330032132508167	0.2	
38.15	0.2364155787322279	0.2	
38.62	0.2340403401686643	0.2	
38.83	0.2391947496758172	0.2	
39.15	0.2467384575260939	0.2	
39.54	0.2446495459535184	0.2	
39.9	0.2461182471193922	0.2	
40.22	0.248654041746677	0.2	
40.53	0.2483349300149813	0.2	
40.96	0.2462779790352003	0.2	
41.32	0.2516377855168932	0.2	
41.67	0.256296568833579	0.2	
41.96	0.2551617459744485	0.2	
42.38	0.2485523352036077	0.2	
42.69	0.2534985439554421	0.2	
42.95	0.2551505171273751	0.2	
43.19	0.2553802771211265	0.2	
43.49	0.2536367972731146	0.2	
43.87	0.2537893345330276	0.2	
44.28	0.2554752707486663	0.2	
44.69	0.2479595275518894	0.2	
44.92	0.2458443371095403	0.2	
45.2	0.2425108373831034	0.2	
45.53	0.243026064695349	0.2	
45.88	0.2382319929028593	0.2	
46.26	0.2400137141811809	0.2	
46.56	0.2425061030599768	0.2	
46.87	0.2425612657192188	0.2	
47.21	0.2451266994944994	0.2	
47.43	0.2450680911035919	0.2	
47.72	0.2426367624455656	0.2	
47.97	0.2373520625416317	0.2	
48.26	0.2369676853465156	0.2	
48.54	0.2439412712507637	0.2	
48.88	0.2445254401818659	0.2	
49.19	0.2455421477677428	0.2	
49.42	0.240903957148553	0.2	
49.77	0.2430236753890154	0.2	
50.13	0.2431188945934478	0.2	
50.46	0.2420356277059064	0.2	
50.72	0.2448329977066516	0.2	
50.93	0.2481436671976678	0.2	
51.37	0.249344614725768	0.2	
51.7	0.2485481560152231	0.2	
52.06	0.2448423890313807	0.2	
52.31	0.2440769471644449	0.2	
52.65	0.2436814928998671	0.2	
52.95	0.2448286725703175	0.2	
53.25	0.2387004992323049	0.2	
53.53	0.2404581231357875	0.2	
53.89	0.2359395414362102	0.2	
54.16	0.2416988342230558	0.2	
54.42	0.2461455376870718	0.2	
54.6	0.2375539135194438	0.2	
54.91	0.2350933833166001	0.2	
55.2	0.2322429425357635	0.2	
55.45	0.2372255150938708	0.2	
55.64	0.2377252022042585	0.2	
56.03	0.2415371094505131	0.2	
56.24	0.2483586281496995	0.2	
56.63	0.2517765540438145	0.2	
56.94	0.2523348322414868	0.2	
57.16	0.2506183879267333	0.2	
57.42	0.2548341285121631	0.2	
57.7	0.2589496960689348	0.2	
58.06	0.2560217796559351	0.2	
58.4	0.2568999231541026	0.2	
58.78	0.2572805980528146	0.2	
59.23	0.2618529565020517	0.2	
59.58	0.259844795689234	0.2	
59.94	0.2614536520211946	0.2	
60.16	0.2564614675648698	0.2	
60.51	0.2513242828175674	0.2	
60.78	0.2538120244117061	0.2	
61.01	0.2515952784902298	0.2	
