#created from Kadens firn model
depth	LID	rel_unc
81.15	69.61061743923655	0.2
86.36	69.83346915430903	0.2
91.49	70.01888345909101	0.2
96.63	70.10632364041506	0.2
101.92	70.12674056617567	0.2
106.88	70.11590261740326	0.2
112.21	70.1238461535883	0.2
117.22	70.09365935219675	0.2
121.91	70.00338608857817	0.2
126.94	69.87080401128878	0.2
131.45	69.78673977248013	0.2
136.44	69.72863471173979	0.2
141.07	69.70620497132671	0.2
145.97	69.77490981269531	0.2
150.19	69.80735565852807	0.2
154.68	69.7653082459228	0.2
159.6	69.81984446631094	0.2
164.57	69.84798492491225	0.2
169.28	69.8428833376484	0.2
174.01	69.92159742842946	0.2
178.75	69.98421285061251	0.2
183.47	69.97987332256719	0.2
188.12	69.98921044144353	0.2
192.63	69.98886438019034	0.2
197.27	70.0255414686823	0.2
201.62	70.04530773004075	0.2
206.19	69.98790870315113	0.2
210.33	69.80591110461641	0.2
214.59	69.57608522807209	0.2
218.91	69.4275540383282	0.2
223.38	69.45242606902536	0.2
228.27	69.58745468166573	0.2
232.89	69.66528070841936	0.2
237.69	69.65775297370219	0.2
241.75	69.59186053340504	0.2
246.51	69.54626974312066	0.2
251.14	69.55024712559357	0.2
255.99	69.40747299470615	0.2
260.57	69.20597071272428	0.2
265.22	69.17808037073537	0.2
269.78	69.2017049136394	0.2
274.5	69.02700846627309	0.2
278.87	68.86642939081813	0.2
283.51	68.84226504425527	0.2
288.03	68.90256654691561	0.2
292.68	69.07089315058568	0.2
297.27	69.31071010449928	0.2
302.12	69.56529675156715	0.2
306.76	69.76855014651684	0.2
311.25	69.8559293175868	0.2
315.92	69.8340052121292	0.2
320.55	69.54580392681054	0.2
324.88	69.27099269564454	0.2
329.18	69.0863442595938	0.2
333.98	69.00950780444887	0.2
338.48	69.0971203124892	0.2
342.9	69.21421337937261	0.2
346.78	69.32293351224187	0.2
350.78	69.45036148827228	0.2
354.78	69.46637158132586	0.2
358.78	69.3887605642392	0.2
362.9	69.20484447878704	0.2
366.93	69.09879520380073	0.2
370.95	69.11760093919979	0.2
375.33	69.15435803114158	0.2
379.6	69.13365309086097	0.2
383.76	69.06616101851016	0.2
387.82	68.95667892126869	0.2
391.82	68.78096562285428	0.2
396.13	68.6470499332806	0.2
400.1	68.56781949990969	0.2
404.26	68.57749904865295	0.2
408.22	68.62943903356374	0.2
412.06	68.75957914979006	0.2
416.27	68.91249013074138	0.2
420.05	69.00357620975359	0.2
424.09	69.07367881627772	0.2
427.93	68.97707302569923	0.2
431.84	68.89663354912165	0.2
435.16	68.87710868033709	0.2
439.42	68.88488183558286	0.2
443.48	68.91245114256762	0.2
447.62	68.9189696670171	0.2
451.57	68.8093786546195	0.2
455.57	68.48487117852363	0.2
459.93	68.14430267758166	0.2
464.23	67.91179553691674	0.2
468.45	67.76209464642609	0.2
472.57	67.73695604173302	0.2
476.65	67.83953203919371	0.2
480.68	67.92989019580651	0.2
484.43	67.98888978450623	0.2
488.29	68.12929798562863	0.2
492.16	68.25812166465556	0.2
496.27	68.20146433618532	0.2
500.12	68.0754263616807	0.2
504.03	68.04642106280906	0.2
507.54	68.1784442543669	0.2
511.49	68.25219775368451	0.2
515.39	68.20560541676367	0.2
519.44	68.21051195087091	0.2
523.4	68.29087313565404	0.2
527.28	68.331690826923	0.2
531.31	68.22240690863062	0.2
535.25	68.12922224639195	0.2
539.19	67.95129550956796	0.2
543.03	67.87699220869573	0.2
547.02	67.9705635636217	0.2
550.72	68.0406266873398	0.2
554.67	68.09276838977041	0.2
558.64	68.03371944591055	0.2
562.49	67.8615551340953	0.2
566.23	67.70806212667169	0.2
569.87	67.79017912130601	0.2
573.88	67.97418288396634	0.2
577.34	68.02966004313383	0.2
581.11	68.1464490875197	0.2
584.71	68.15161055934678	0.2
588.3	67.96930795012821	0.2
591.92	67.72243642966951	0.2
595.66	67.64194965636744	0.2
599.56	67.69009123736366	0.2
603.41	67.89437014971354	0.2
607.05	68.18770190381228	0.2
610.77	68.29248202897287	0.2
614.39	68.37078029762377	0.2
617.9	68.3682917506722	0.2
621.12	68.34543802455327	0.2
624.97	68.30265560252123	0.2
