depth,sulfate
72.0156044,34.43525128
72.03758242,42.79722933
72.05956044,47.47573889
72.08153846,35.63819872
72.10351648,27.84481078
72.12549451,21.66121139
72.14747253,39.06083742
72.16945055,31.57245316
72.19142857,42.82009839
72.21340659,44.92995994
72.23538462,39.6405266
72.25736264,34.99374536
72.27934066,39.53680853
72.30131868,35.31103183
72.3232967,38.39523638
72.34527473,44.58557006
72.36725275,39.17842336
72.38923077,35.68913555
72.41120879,46.21920137
72.43318681,50.80376359
72.45516484,59.94952158
72.47714286,65.77879968
72.49912088,70.32233152
72.5210989,63.93385702
72.54307692,61.90959172
72.56505495,60.4975587
72.58703297,47.82550642
72.60901099,37.97341046
72.63098901,38.19226836
72.65296703,38.52260241
72.67494505,42.36003385
72.69692308,39.135186
72.7189011,44.50316906
72.74087912,47.22288499
72.76285714,51.29192154
72.78483516,43.66093136
72.80681319,38.93459288
72.82879121,33.43415934
72.85076923,47.07163309
72.87274725,49.83312842
72.89472527,55.50947367
72.9167033,45.27696402
72.93868132,52.74741113
72.96065934,64.33358222
72.98263736,62.24369251
73.01910776,57.6505518
73.03965374,57.65432963
73.06019971,61.70132977
73.08074569,62.98379602
73.10129167,71.54415782
73.12183764,67.0277563
73.14238362,61.34107895
73.1779296,47.1096244
73.19847557,46.07885354
73.21902155,46.6952452
73.23956753,68.65312369
73.26011351,71.90424657
73.28065948,83.14751585
73.30120546,80.5930974
73.32175144,85.13009243
73.34229741,80.63170344
73.36284339,95.57184091
73.38338937,61.17136496
73.40393534,54.59136525
73.42448132,45.36782875
73.4450273,41.5807528
73.46557328,30.13347655
73.48611925,39.2157555
73.50666523,44.12426851
73.52721121,48.47571827
73.54775718,42.50756279
73.56830316,43.76488785
73.58884914,42.1181327
73.61539511,54.80173783
73.63594109,67.08585113
73.65648707,94.06563209
73.67703305,64.69842034
73.69757902,77.57214126
73.718125,71.06160256
73.73867098,76.4408377
73.75921695,54.76618819
73.77976293,61.74748642
73.80030891,58.12542349
73.82085489,66.88140466
73.84140086,60.56407304
73.86194684,76.77439572
73.88249282,65.9093469
73.90303879,75.18114439
73.92358477,56.9206284
73.94413075,53.95531576
73.96467672,29.77301509
73.9852227,35.40110831
74.00576868,40.47363194
74.04720385,23.20776852
74.0674077,25.87963761
74.08761155,25.43316969
74.1078154,23.14044954
74.12801925,25.43907058
74.1482231,40.06172426
74.16842695,56.24230766
74.1886308,52.47328466
74.20883465,34.19312803
74.22903851,18.97730939
74.24924236,30.47714395
74.26944621,39.58065104
74.28965006,32.3204765
74.30985391,30.5382682
74.34005776,37.24082844
74.36026161,34.63336973
74.38046546,39.1770669
74.40066931,37.72146816
74.42087316,34.09672702
74.44107701,33.51626559
74.46128086,38.90411215
74.48148471,35.17184032
74.50168856,31.48789517
74.52189241,19.31059998
74.54209626,20.34111141
74.56230011,19.49390951
74.58250396,40.88195557
74.60270781,81.48341885
74.67791166,116.0745469
74.69811552,115.7831788
74.71831937,119.8455213
74.73852322,98.21834667
74.75872707,84.49716791
74.77893092,53.67880215
74.79913477,63.22664023
74.81933862,52.73835789
74.83954247,56.98729369
74.85974632,53.13395976
74.87995017,55.2970038
74.90015402,50.40155194
74.92035787,58.40755907
74.94856172,52.90067962
74.96876557,54.64430966
75.01560269,47.5942643
75.03373189,70.31606173
75.05186109,65.89301107
75.06999029,59.21636464
75.08811949,63.00517852
75.10624869,99.61128105
75.12437789,68.74438484
75.14250709,63.04483494
75.1606363,81.95080543
75.1787655,72.60685964
75.1968947,86.82721582
75.2150239,84.48376173
75.2331531,90.00476885
75.2672823,69.16303564
75.2854115,73.23861169
75.3035407,66.77687413
75.3216699,83.40756657
75.3397991,69.255753
75.3579283,61.00733244
75.37605751,48.84595695
75.39418671,52.09099309
75.41231591,45.15324934
75.43444511,51.27691198
75.45257431,64.07230414
75.47070351,48.34703092
75.48883271,26.60223313
75.50696191,30.6318597
75.52509111,31.58496981
75.54322031,32.22858688
75.56134951,40.41550429
75.57947872,45.56494318
75.59760792,39.48231359
75.61573712,39.53876402
