#depth	age	sigma_age	deporate	sigma_deporate	deporate_model	sigma_deporate_model
0.000000000000000000e+00	1.851936834874557462e+04	6.928315167192050694e+01	1.869447232874806714e-02	2.275700121002981191e-02	1.170000000000000033e-02	2.000000000000000000e+00
2.000000000000000111e-01	1.853006669831559338e+04	5.803834900290929966e+01	1.869447232874806714e-02	2.275700121002981191e-02	1.170000000000000033e-02	2.000000000000000000e+00
4.000000000000000222e-01	1.854076504788561215e+04	4.770695630527461617e+01	1.869447232874806714e-02	2.275700121002981191e-02	1.170000000000000033e-02	2.000000000000000000e+00
6.000000000000000888e-01	1.855146339745563091e+04	3.902135672146697942e+01	1.869447232874806714e-02	2.275700121002981191e-02	1.170000000000000033e-02	2.000000000000000000e+00
8.000000000000000444e-01	1.856216174702565331e+04	3.329546149845781855e+01	1.869447232874806714e-02	2.275700121002981191e-02	1.170000000000000033e-02	2.000000000000000000e+00
1.000000000000000000e+00	1.857286009659567208e+04	3.215148686993050120e+01	1.869447232874806714e-02	2.275700121002981191e-02	1.170000000000000033e-02	2.000000000000000000e+00
1.200000000000000178e+00	1.858355844616569084e+04	3.602856276678347314e+01	1.868946754812707278e-02	2.264537447812418891e-02	1.170000000000000033e-02	2.000000000000000000e+00
1.400000000000000133e+00	1.859425966060558858e+04	4.356090456103736130e+01	1.846015780673707432e-02	1.763784478410357348e-02	1.170000000000000033e-02	2.000000000000000000e+00
1.600000000000000089e+00	1.860509380417542343e+04	5.082508119912011324e+01	1.823366157286738717e-02	1.300493666757474888e-02	1.170000000000000033e-02	2.000000000000000000e+00
1.800000000000000044e+00	1.861606252810400474e+04	5.647020167532531332e+01	1.800994432628985967e-02	9.104833342641380223e-03	1.170000000000000033e-02	2.000000000000000000e+00
2.000000000000000000e+00	1.862716750413150294e+04	5.995161920903744601e+01	1.778897197032123026e-02	6.969459610201608757e-03	1.170000000000000033e-02	2.000000000000000000e+00
2.200000000000000178e+00	1.863841042476422081e+04	6.106185198169167450e+01	1.757071082662608683e-02	7.906214621631893480e-03	1.170000000000000033e-02	2.000000000000000000e+00
