depth,sulfate
33.935,63.81
34.001,101.98
34.07,88.96
34.143,104.06
34.211,84.69
34.279,85.19
34.347,65.8
34.415,66.61
34.483,135.42
34.551,211.36
34.619,175.19
34.687,114.67
34.755,113.98
34.823,118.2
34.891,114.02
34.969,83.82
35.037,105.16
35.105,80.94
35.173,93.95
35.276,128.34
35.34,78.73
35.404,90.36
35.468,62.74
35.532,72.39
35.596,54.58
35.66,91.52
35.724,115.35
35.788,88.34
35.852,106.3
35.927,89.0
35.991,75.5
36.055,88.17
36.119,111.56
36.183,105.48
36.247,91.07
36.345,114.43
36.413,88.3
36.481,79.31
36.549,80.02
36.617,94.73
36.685,117.04
36.753,144.18
36.821,152.7
36.889,211.76
36.957,257.48
37.025,133.77
37.093,120.29
37.161,132.03
37.234,160.49
37.302,133.65
37.37,102.92
37.435,78.31
37.503,90.49
37.571,213.59
37.64,304.2
37.708,205.81
37.777,103.45
37.845,85.56
37.913,68.6
37.982,204.41
38.05,327.88
38.118,637.11
38.187,516.43
38.255,154.05
38.326,110.35
38.394,94.07
38.462,91.23
38.525,118.08
38.588,114.83
38.652,104.67
38.715,77.81
38.778,76.09
38.842,103.49
38.905,116.36
38.969,111.36
39.032,66.48
39.095,106.95
39.159,153.97
39.222,336.89
39.286,319.33
39.366,132.94
39.43,104.18
39.493,67.29
39.556,66.61
39.626,87.34
39.69,81.86
39.753,82.86
39.817,96.74
39.881,109.18
39.945,101.04
40.009,94.77
40.072,94.12
40.136,100.43
40.2,93.25
40.264,81.23
40.327,71.59
40.391,72.44
40.455,95.96
40.522,95.72
40.585,95.55
40.649,88.67
40.732,157.1
40.792,226.84
40.852,176.82
40.912,169.15
40.976,120.45
41.037,110.31
41.097,71.85
41.157,109.94
41.217,127.98
41.277,94.61
41.337,80.44
41.397,100.72
41.457,136.53
41.521,310.78
41.582,250.65
41.642,149.09
41.702,93.37
41.762,62.62
41.825,64.53
41.886,77.14
41.947,69.65
42.008,105.12
42.069,96.91
42.13,127.55
42.191,125.36
42.252,106.7
42.313,105.44
42.374,118.48
42.435,93.58
42.496,130.17
42.557,121.05
42.624,112.01
42.685,98.42
42.746,58.82
42.807,89.79
42.868,87.14
42.925,74.83
42.985,94.69
43.045,85.81
43.105,75.8
43.166,82.36
43.226,105.48
43.286,120.25
43.347,91.31
43.407,83.9
43.467,75.63
43.527,82.4
43.588,97.48
43.648,83.94
43.714,89.5
43.774,93.91
43.835,98.79
43.895,128.18
43.955,94.69
44.028,84.44
44.085,154.44
44.142,103.08
44.199,81.86
44.256,76.64
44.313,69.44
44.37,78.35
44.427,95.06
44.484,97.44
44.541,106.9
44.598,76.22
44.655,73.91
44.728,84.07
44.785,106.34
44.842,86.23
44.899,83.36
44.956,101.37
45.013,80.61
45.07,80.9
45.124,94.28
45.183,97.52
45.241,60.83
45.3,63.0
45.359,65.59
45.417,79.27
45.476,98.59
45.535,82.98
45.593,67.24
45.652,121.89
45.71,105.2
45.769,83.77
45.828,91.36
45.892,70.71
45.951,70.16
46.01,62.74
46.068,101.08
46.127,89.91
46.263,86.56
46.321,87.47
46.378,86.68
46.435,118.6
46.493,65.08
46.55,101.65
46.607,111.36
46.67,74.24
46.727,102.71
46.789,121.21
46.847,96.54
46.904,94.4
46.961,74.2
47.019,71.97
47.076,86.72
47.133,132.46
47.191,116.8
47.248,78.77
47.368,77.68
47.427,70.58
47.485,106.17
47.544,75.63
47.603,122.97
47.662,103.57
47.72,124.8
47.779,109.66
47.838,90.41
47.896,88.79
47.962,98.75
48.021,128.86
48.079,126.47
48.138,81.69
48.197,93.33
48.256,79.86
48.314,119.29
48.373,97.93
48.468,68.22
48.526,87.59
48.585,103.29
48.643,124.52
48.702,93.0
48.76,58.52
48.819,71.76
48.877,107.72
48.936,102.96
48.994,88.71
49.053,74.79
49.125,105.24
49.184,122.21
49.242,142.22
49.301,147.3
49.359,119.25
49.418,84.52
49.476,66.73
49.558,42.7
49.616,77.52
49.673,65.59
49.73,76.22
49.788,77.52
49.845,90.57
49.902,98.47
49.96,113.01
50.017,95.14
50.08,83.23
50.137,67.58
50.195,75.29
50.252,60.79
50.309,68.3
50.367,89.83
50.424,79.82
50.481,85.89
50.539,71.42
50.6624,96.23
50.7169,118.22
50.7713,148.41
50.8258,128.31
50.8802,93.13
50.9347,89.78
50.9891,80.02
51.0436,112.61
51.098,113.2
51.1525,101.97
51.2069,130.38
51.2664,96.47
51.3208,90.06
51.3753,109.17
51.4297,104.3
51.4842,154.72
51.5386,173.54
51.5931,165.68
51.6475,130.61
51.7228,91.14
51.7784,88.1
51.8339,77.23
51.8894,97.78
51.945,117.48
52.0005,117.6
52.0561,102.61
52.1116,95.6
52.1761,86.74
52.2317,130.42
52.2872,141.07
