#IGOR SMB Depth (m)	SMB_ie	error
380.81	0.027788208	0.2
385.01	0.022772424	0.2
388.31	0.021803841	0.2
389.11	0.019137792	0.2
389.75	0.020697947	0.2
390.37	0.023765194	0.2
394.33	0.023353921	0.2
399.73	0.021644384	0.2
402.35	0.020559482	0.2
404.45	0.023850737	0.2
406.46	0.02184316	0.2
407.8	0.022508977	0.2
408.44	0.020015371	0.2
410.02	0.021890168	0.2
414.06	0.021151034	0.2
417.95	0.023017461	0.2
419.68	0.025114329	0.2
422.21	0.026172846	0.2
424.41	0.027665463	0.2
425.14	0.020675855	0.2
425.59	0.024100492	0.2
427.59	0.019047942	0.2
427.86	0.025215309	0.2
428.78	0.025954124	0.2
430.06	0.025153444	0.2
430.83	0.020430158	0.2
431.18	0.021447104	0.2
431.78	0.024780475	0.2
432.29	0.026920458	0.2
432.92	0.022921393	0.2
433.6	0.020479834	0.2
434.35	0.021976412	0.2
435.23	0.022290441	0.2
436.67	0.022140727	0.2
437.16	0.023969395	0.2
437.45	0.022244432	0.2
441.9	0.02360871	0.2
452.55	0.019309173	0.2
455.46	0.020835246	0.2
455.98	0.021075408	0.2
457.2	0.021467976	0.2
458.66	0.021581891	0.2
459.03	0.022090352	0.2
459.83	0.020797667	0.2
464.53	0.017599571	0.2
464.81	0.018018614	0.2
472.67	0.017626316	0.2
482.92	0.016907939	0.2
484.42	0.016336074	0.2
485.07	0.020796201	0.2
485.42	0.015218005	0.2
485.96	0.015478318	0.2
488.82	0.015924795	0.2
489.08	0.016399225	0.2
491.7	0.016786585	0.2
492.55	0.01633972	0.2
493.14	0.015832682	0.2
493.39	0.017480656	0.2
496.95	0.015246346	0.2
500.15	0.015343484	0.2
504.06	0.014364148	0.2
505.75	0.014485838	0.2
506.33	0.014373649	0.2
511.51	0.014644337	0.2
515.06	0.022025661	0.2
515.29	0.014354852	0.2
515.5	0.015122386	0.2
515.81	0.014770683	0.2
517.21	0.014352605	0.2
519.6	0.016100775	0.2
523.73	0.017291292	0.2
523.93	0.015185465	0.2
525.14	0.014942478	0.2
526.36	0.014879176	0.2
528.69	0.015725653	0.2
531.08	0.014307406	0.2
532.12	0.015499812	0.2
536.09	0.016302323	0.2
539.54	0.015503456	0.2
542.1	0.015483205	0.2
544.2	0.017596605	0.2
545.21	0.016045631	0.2
548.78	0.016626017	0.2
550.42	0.016854138	0.2
551.02	0.016929206	0.2
554.98	0.016858012	0.2
557.89	0.016056036	0.2
559.11	0.017111674	0.2
559.79	0.015429458	0.2
560.24	0.016951273	0.2
562.19	0.016962275	0.2
563.02	0.015523207	0.2
564.82	0.017356871	0.2
565.9	0.015245069	0.2
571.65	0.013579574	0.2
572.6	0.013278288	0.2
572.82	0.018543438	0.2
572.97	0.015545373	0.2
573.74	0.014225237	0.2
575.87	0.013405278	0.2
576.44	0.014658112	0.2
577.18	0.014890144	0.2
577.91	0.014774867	0.2
578.55	0.013317723	0.2
579.65	0.016824613	0.2
580.4	0.013850059	0.2
580.58	0.014015544	0.2
580.8	0.014181546	0.2
582.09	0.01075334	0.2
582.23	0.018285944	0.2
582.65	0.015266121	0.2
583.26	0.014375563	0.2
583.76	0.015434719	0.2
585.42	0.014742232	0.2
586.02	0.013934445	0.2
586.85	0.014420379	0.2
588.03	0.009592963	0.2
588.11	0.015025288	0.2
589.26	0.015482035	0.2
589.63	0.016175682	0.2
589.97	0.022502496	0.2
590.12	0.012489415	0.2
590.41	0.014476888	0.2
590.87	0.01602437	0.2
592.45	0.015753917	0.2
594	0.015885534	0.2
594.91	0.015196507	0.2
596.46	0.016181082	0.2
598.05	0.015185634	0.2
599.76	0.0149144	0.2
601.89	0.018116064	0.2
602.06	0.013271656	0.2
603.07	0.014093794	0.2
603.43	0.015475989	0.2
609.46	0.01722215	0.2
610.86	0.014726835	0.2
611.42	0.015552809	0.2
612.99	0.015879044	0.2
615.03	0.016651144	0.2
616.68	0.016941887	0.2
618.18	0.015877312	0.2
619.2	0.013693131	0.2
619.88	0.015256454	0.2
621.67	0.017793016	0.2
623.93	0.017726592	0.2
626.03	0.013846136	0.2
626.42	0.015761827	0.2
627.29	0.016350602	0.2
636.03	0.016427153	0.2
636.57	0.017009284	0.2
643.66	0.016614086	0.2
646.85	0.016127594	0.2
647.13	0.017511168	0.2
656.23	0.017905246	0.2
659.63	0.015501026	0.2
661.91	0.013161668	0.2
666.43	0.014881557	0.2
671.19	0.013874447	0.2
671.95	0.01433054	0.2
672.38	0.014478809	0.2
674.21	0.017847804	0.2
675.11	0.017931322	0.2
681.39	0.015156056	0.2
681.76	0.015974062	0.2
681.95	0.015163778	0.2
682.73	0.017665312	0.2
692.39	0.016638767	0.2
694.81	0.015979345	0.2
698.63	0.024917357	0.2
699.3	0.016247743	0.2
700.07	0.018502209	0.2
701.25	0.014260031	0.2
701.43	0.016076117	0.2
702.61	0.015892227	0.2
703.24	0.015887909	0.2
706.43	0.015873868	0.2
707.94	0.017658412	0.2
709.11	0.017511578	0.2
711.79	0.019728087	0.2
712.92	0.017545253	0.2
714.39	0.019007636	0.2
715.11	0.021309082	0.2
715.92	0.013447558	0.2
716.31	0.01792052	0.2
716.73	0.020465664	0.2
717.05	0.01784152	0.2
717.44	0.018569644	0.2
718.47	0.018504034	0.2
719.13	0.017925804	0.2
721.93	0.018207868	0.2
724.43	0.019487252	0.2
