#IGOR SMB Depth (m)	mm ie	error
0	0.091508081	0.2
20.37	0.091246194	0.2
29.56	0.120894591	0.2
30.37	0.084138502	0.2
36.14	0.084841038	0.2
48.82	0.088034535	0.2
67.36	0.088526702	0.2
77.96	0.094647091	0.2
83.49	0.079163221	0.2
85.94	0.08421081	0.2
88.27	0.080346552	0.2
91.55	0.087611499	0.2
93.12	0.087066941	0.2
128.6	0.077770204	0.2
133.52	0.085756508	0.2
142.17	0.083352724	0.2
152.84	0.08282093	0.2
162.54	0.083453712	0.2
167.45	0.080692862	0.2
172.32	0.084386303	0.2
182.82	0.074788125	0.2
186.19	0.097144315	0.2
188.31	0.081746092	0.2
215.33	0.078223932	0.2
264.63	0.077459313	0.2
276.55	0.081024003	0.2
280.07	0.075586075	0.2
288.48	0.07561914	0.2
294.93	0.078377453	0.2
298.8	0.07437494	0.2
308.21	0.072569819	0.2
310.73	0.075121323	0.2
317.32	0.073138862	0.2
335.05	0.076778749	0.2
340.77	0.073226196	0.2
353.04	0.06506485	0.2
354.84	0.073538129	0.2
365.04	0.071296475	0.2
419.21	0.07179806	0.2
437.33	0.068762289	0.2
439.3	0.072818877	0.2
450.03	0.071107538	0.2
450.54	0.071574296	0.2
455.95	0.070938185	0.2
509.25	0.074749604	0.2
512.89	0.07109832	0.2
526.24	0.070539585	0.2
544.06	0.076470628	0.2
562.84	0.079860517	0.2
594.22	0.076549177	0.2
596.32	0.078531996	0.2
604.1	0.076669258	0.2
605.92	0.070126699	0.2
606.62	0.078882049	0.2
608.07	0.080668558	0.2
611.38	0.080206527	0.2
613.51	0.064870953	0.2
613.62	0.087289101	0.2
615.69	0.07720637	0.2
616.43	0.046388466	0.2
617.77	0.040620224	0.2
619.24	0.030993184	0.2
619.38	0.045326362	0.2
620.48	0.072065497	0.2
621.09	0.078677986	0.2
622.42	0.075616577	0.2
625.18	0.073899539	0.2
627.45	0.075531546	0.2
628.92	0.080778099	0.2
632.63	0.08153836	0.2
632.72	0.078519067	0.2
635.14	0.080317482	0.2
636.55	0.082426598	0.2
638.76	0.082405598	0.2
642.49	0.076882757	0.2
645.21	0.077596076	0.2
646.35	0.081635145	0.2
647.95	0.081271397	0.2
648.88	0.076742631	0.2
650.89	0.08236701	0.2
651.34	0.091465882	0.2
651.59	0.0778448	0.2
652.74	0.094523447	0.2
653.62	0.082140041	0.2
654.07	0.070722924	0.2
654.38	0.070716542	0.2
654.69	0.091246094	0.2
655.39	0.081911592	0.2
660.18	0.087926475	0.2
662.2	0.091960412	0.2
663.3	0.102782904	0.2
663.78	0.089889776	0.2
665.5	0.089256736	0.2
666.74	0.085484828	0.2
692.8	0.082014744	0.2
695.51	0.079820231	0.2
701.1	0.079784373	0.2
702.6	0.078567514	0.2
704.37	0.07337752	0.2
706.17	0.070445186	0.2
713.17	0.055520169	0.2
717.18	0.064341434	0.2
720.4	0.059800929	0.2
721.12	0.066565643	0.2
723.23	0.056135845	0.2
723.65	0.062480286	0.2
724.09	0.064500965	0.2
725.68	0.059848427	0.2
726.69	0.05793035	0.2
727.32	0.058720513	0.2
731.9	0.053960936	0.2
732.41	0.064417474	0.2
733.11	0.060569027	0.2
735.6	0.061107731	0.2
736.12	0.059388342	0.2
737.44	0.065135306	0.2
738.58	0.05548493	0.2
739.21	0.053803992	0.2
739.77	0.053640076	0.2
740.76	0.054320981	0.2
741.48	0.066194092	0.2
742.73	0.060429797	0.2
743.44	0.054853437	0.2
743.8	0.062808387	0.2
744.27	0.052206724	0.2
745.17	0.060196929	0.2
746.48	0.062486489	0.2
750.84	0.063030115	0.2
757.47	0.063707383	0.2
759.61	0.078749396	0.2
763.2	0.077771793	0.2
766.09	0.076605486	0.2
767.7	0.070129053	0.2
773.23	0.067081077	0.2
774.1	0.050029659	0.2
774.48	0.067898188	0.2
775.86	0.061025734	0.2
777.24	0.068107397	0.2
778.29	0.058996968	0.2
779.29	0.059865975	0.2
781.45	0.060470614	0.2
784.05	0.05630982	0.2
785.73	0.055224998	0.2
786.56	0.053936179	0.2
788.35	0.056418557	0.2
798.1	0.056457682	0.2
799.44	0.050249463	0.2
800.18	0.050760987	0.2
800.69	0.05103376	0.2
803.68	0.054166558	0.2
804.48	0.039944315	0.2
822.21	0.031205742	0.2
822.96	0.040487999	0.2
823.55	0.03469345	0.2
832.68	0.036143458	0.2
833.45	0.035083059	0.2
837.17	0.031762762	0.2
843.27	0.031066172	0.2
844.78	0.029982185	0.2
847.12	0.027896989	0.2
849.47	0.030193824	0.2
851.8	0.031488398	0.2
852.41	0.034409231	0.2
852.55	0.026048554	0.2
852.7	0.034483005	0.2
852.98	0.032125513	0.2
854.17	0.031546043	0.2
855.97	0.031529338	0.2
856.2	0.037070272	0.2
857.18	0.032233754	0.2
859.5	0.03348508	0.2
863.65	0.033420505	0.2
865.53	0.032403478	0.2
866.41	0.036289481	0.2
886.95	0.037859502	0.2
887.93	0.036696648	0.2
888.78	0.03816412	0.2
890.9	0.03629023	0.2
893.05	0.035283133	0.2
894.3	0.042960189	0.2
894.79	0.034039551	0.2
895.97	0.037406667	0.2
896.59	0.036682974	0.2
897.6	0.035988212	0.2
898.4	0.03127553	0.2
898.58	0.033170126	0.2
898.68	0.03492939	0.2
902.5	0.037108851	0.2
903.11	0.034053478	0.2
903.65	0.033103545	0.2
904.49	0.032517654	0.2
904.8	0.034958892	0.2
905.95	0.036417097	0.2
906.71	0.035659399	0.2
907.12	0.036300509	0.2
908.38	0.034665208	0.2
908.84	0.039182698	0.2
909.3	0.034005432	0.2
909.55	0.038517289	0.2
909.77	0.036044471	0.2
910.24	0.038029183	0.2
910.57	0.033699275	0.2
910.93	0.040697216	0.2
911.21	0.032739783	0.2
911.74	0.041993249	0.2
912.11	0.038195429	0.2
912.39	0.037915504	0.2
913.97	0.037243809	0.2
915.82	0.038678771	0.2
919.42	0.03361218	0.2
919.64	0.034890082	0.2
921.22	0.037165997	0.2
922.24	0.033864157	0.2
922.5	0.034476655	0.2
924.6	0.042466508	0.2
926.46	0.044798099	0.2
927.24	0.038415766	0.2
927.61	0.041147297	0.2
928.74	0.036406559	0.2
929.87	0.041265727	0.2
932.28	0.041649763	0.2
932.79	0.039973676	0.2
933.9	0.035776065	0.2
934.06	0.03669084	0.2
934.63	0.044295034	0.2
935.31	0.038936815	0.2
936.06	0.042533595	0.2
936.82	0.040177411	0.2
940.35	0.040380434	0.2
944.87	0.040534969	0.2
948.24	0.043269275	0.2
948.71	0.041862916	0.2
952.63	0.042572217	0.2
954.65	0.035621344	0.2
954.88	0.028498328	0.2
956.54	0.037836626	0.2
956.76	0.037918769	0.2
956.97	0.036825132	0.2
957.5	0.03783227	0.2
957.95	0.044306274	0.2
960.71	0.048758824	0.2
961.7	0.040103379	0.2
962.94	0.043741049	0.2
964.19	0.041005346	0.2
966.74	0.03068006	0.2
967.21	0.04257713	0.2
968.57	0.042891928	0.2
968.86	0.033293913	0.2
969.24	0.033034134	0.2
971.65	0.030305908	0.2
972.18	0.041071814	0.2
974.53	0.038378533	0.2
976.26	0.03715006	0.2
976.89	0.048941771	0.2
977.38	0.035886051	0.2
978.84	0.038726732	0.2
979.46	0.046159743	0.2
984.69	0.048156264	0.2
985.07	0.039023659	0.2
985.21	0.036238044	0.2
985.29	0.038387186	0.2
985.85	0.053134976	0.2
987.24	0.055247862	0.2
987.85	0.05314095	0.2
989.17	0.048641122	0.2
989.82	0.053074865	0.2
991.7	0.043988397	0.2
993.19	0.046527613	0.2
996.63	0.04203157	0.2
998.33	0.050318473	0.2
1000.13	0.042572183	0.2
1000.5	0.052149578	0.2
1001.28	0.050949804	0.2
1002.33	0.054984984	0.2
1002.54	0.045484257	0.2
1003.63	0.040702882	0.2
1004.17	0.046608878	0.2
1006.88	0.050315745	0.2
1007.26	0.040933507	0.2
1007.5	0.051301301	0.2
1008.83	0.050278035	0.2
1009.95	0.045890916	0.2
1012.29	0.047482119	0.2
1013.19	0.052029941	0.2
1014.64	0.038794556	0.2
1015.14	0.055005667	0.2
1015.82	0.045188838	0.2
1016.27	0.043722749	0.2
1016.6	0.059985885	0.2
1016.94	0.042686579	0.2
1017.61	0.045327318	0.2
1018.09	0.053801725	0.2
1018.75	0.050587009	0.2
1019.68	0.046258051	0.2
1021.32	0.048145835	0.2
1022.1	0.048049207	0.2
1026.24	0.050605158	0.2
1026.44	0.045103291	0.2
1028.38	0.048493184	0.2
1032.05	0.049605291	0.2
1032.32	0.058910761	0.2
1032.71	0.047820272	0.2
1034.3	0.059722842	0.2
1034.5	0.045752156	0.2
1036.14	0.043142296	0.2
1040.96	0.043785698	0.2
1042.53	0.042881365	0.2
1042.9	0.048373015	0.2
1044.49	0.049833745	0.2
1044.74	0.047731818	0.2
1045.22	0.048525312	0.2
1046.56	0.050191299	0.2
1048.26	0.055371658	0.2
1048.55	0.048373198	0.2
1049.86	0.047806602	0.2
1053.49	0.050261665	0.2
1054.92	0.052089563	0.2
1056.93	0.059523812	0.2
1058.2	0.050626216	0.2
1061.94	0.049832081	0.2
1064.44	0.051051129	0.2
1064.79	0.044608779	0.2
1064.9	0.049536523	0.2
1069.47	0.048327559	0.2
1070.13	0.04101877	0.2
1071.77	0.039878258	0.2
1072.91	0.046251053	0.2
1074.08	0.056649819	0.2
1074.23	0.054972845	0.2
1074.97	0.041675014	0.2
1075.21	0.05561881	0.2
1075.45	0.0458569	0.2
1076.25	0.052087511	0.2
1076.56	0.048541178	0.2
1076.86	0.044055244	0.2
1077.09	0.063766005	0.2
1078.1	0.04245627	0.2
1078.26	0.04544389	0.2
1080.33	0.052694985	0.2
1082.17	0.058082614	0.2
1083.03	0.062833576	0.2
1084.04	0.059374249	0.2
1084.84	0.061520704	0.2
1085.66	0.054552546	0.2
1087.39	0.055015153	0.2
1088.66	0.060533126	0.2
1092.51	0.05657523	0.2
1095.33	0.064932396	0.2
1095.9	0.059971513	0.2
1097.21	0.058602714	0.2
1097.61	0.051767551	0.2
1097.72	0.056345121	0.2
1098.09	0.068249086	0.2
1098.22	0.058376749	0.2
1098.54	0.054869549	0.2
1098.69	0.054303434	0.2
1100.3	0.044670192	0.2
1100.58	0.061211394	0.2
1100.89	0.054603302	0.2
1102.23	0.051121732	0.2
1103.78	0.049738003	0.2
1104.82	0.035286661	0.2
1104.9	0.045150225	0.2
1105.04	0.066285361	0.2
1107.15	0.06201971	0.2
1107.3	0.059397021	0.2
1108.39	0.060468106	0.2
1110.66	0.061068157	0.2
1111.33	0.060309973	0.2
1112.31	0.061588412	0.2
1113.57	0.064143299	0.2
1113.91	0.054657419	0.2
1114.84	0.05545049	0.2
1116.24	0.055164029	0.2
1120.22	0.054465383	0.2
1122.44	0.062568698	0.2
1123.95	0.061076769	0.2
1125.55	0.056945264	0.2
1126.46	0.060283853	0.2
1126.6	0.056822819	0.2
1127.5	0.047351812	0.2
1128.12	0.062095463	0.2
1128.28	0.050172916	0.2
1128.62	0.045507533	0.2
1129.14	0.052159462	0.2
1131.22	0.051433409	0.2
1132.34	0.053043956	0.2
1132.89	0.050698632	0.2
1133.48	0.060791852	0.2
1133.88	0.04841746	0.2
1134.53	0.050124398	0.2
1140.51	0.047473629	0.2
1142.01	0.050073834	0.2
1143.65	0.049938419	0.2
1144.52	0.048087112	0.2
1145.74	0.05279467	0.2
1147.22	0.053964375	0.2
1148.86	0.05261607	0.2
1150.24	0.049603262	0.2
1152.61	0.045476437	0.2
1152.93	0.052112084	0.2
1153.19	0.050897489	0.2
1153.57	0.054355875	0.2
1154.33	0.06025675	0.2
1155.8	0.05710648	0.2
1156.15	0.061565016	0.2
1157.2	0.049561112	0.2
1157.39	0.056960306	0.2
1158.35	0.060200046	0.2
1159.08	0.061454198	0.2
1160.8	0.056521646	0.2
1161.47	0.065533242	0.2
1161.63	0.055252038	0.2
1162.62	0.05321075	0.2
1164.31	0.054961164	0.2
1165.08	0.055344144	0.2
1165.27	0.05334984	0.2
1171.74	0.061945413	0.2
1173.76	0.048861326	0.2
1174.14	0.047363332	0.2
1174.64	0.05432168	0.2
1175.49	0.055554131	0.2
1177.95	0.056229952	0.2
1179.4	0.049010024	0.2
1179.54	0.042358478	0.2
1180.24	0.044660358	0.2
1180.39	0.047210153	0.2
1180.54	0.044188583	0.2
1181.27	0.050715564	0.2
1183.47	0.05062724	0.2
1190.93	0.053584699	0.2
1192.8	0.055086384	0.2
1195.37	0.053290305	0.2
1198.54	0.050076875	0.2
1199.71	0.047360473	0.2
