WDC(m)	GRIP(m)	WD2014 age (yr BP1950)	GICC age (yr BP1950)	difference (yr)	section error (yr)
1475.1012	1225.1112	7176.062121212121	7197.257500000001	-21.195378787879235	1.7747780065456027
1477.8752	1227.296	7196.041558441556	7215.700000000001	-19.658441558444792	1.536937229434443
1483.47	1232.3667	7239.8760330578525	7263.698571428571	-23.822538370718576	-4.164096812273783
1485.4048	1234.0825	7254.346788990825	7279.732142857143	-25.385353866317928	-1.5628154955993523
1489.2062	1237.378	7282.891743119267	7309.18	-26.28825688073357	-0.9029030144156422
1505.6184	1252.1018	7411.786928104575	7434.398461538461	-22.611533433885597	3.676723446847973
1524.5071	1268.2043	7559.44128440367	7572.802307692308	-13.361023288638535	9.250510145247063
1525.9445	1269.4244	7571.0867346938785	7584.93	-13.843265306121793	-0.4822420174832587
1607.919	1340.3931	8227.827272727272	8249.125833333334	-21.298560606061073	-7.45529529993928
1614.9736	1346.81	8286.256818181819	8310.267605633802	-24.01078745198356	-2.712226845922487
1624.0154	1354.6954	8361.374242424245	8390.481395348837	-29.10715292459281	-5.09636547260925
1629.4144	1359.5299	8408.106122448977	8437.83716216216	-29.731039713184146	-0.6238867885913351
1633.229	1362.8712	8439.507042253523	8470.331578947369	-30.824536693846312	-1.0934969806621666
1651.124	1378.8939	8596.022988505747	8631.485897435898	-35.46290893015066	-4.638372236304349
1652.9624	1380.4996	8612.272164948454	8647.863157894739	-35.59099294628504	-0.12808401613438036
1674.9333	1399.8749	8804.645454545454	8847.989814814815	-43.34436026936055	-7.7533673230755085
1679.8826	1404.4261	8850.208450704224	8894.459374999999	-44.250924295774894	-0.906564026414344
1702.9266	1425.531	9063.088333333335	9116.3375	-53.24916666666468	-8.998242370889784
1732.9674	1452.896	9350.795000000002	9411.527777777777	-60.73277777777548	-7.483611111110804
1741.2144	1459.9875	9431.081818181818	9488.375	-57.29318181818235	3.4395959595931345
1775.345	1489.6915	9752.073684210527	9822.58152173913	-70.50783752860298	-13.21465571042063
1779.3671	1492.8092	9788.356074766356	9856.988235294117	-68.63216052776079	1.8756770008421881
1799.1902	1509.2411	9982.74680851064	10055.812068965517	-73.06526045487772	-4.433099927116928
1802.5999	1512.1714	10018.054128440366	10090.906521739129	-72.85239329876276	0.2128671561149531
1808.8666	1517.3218	10079.068253968255	10153.625925925924	-74.5576719576693	-1.7052786589065363
1822.9694	1528.5948	10220.004040404041	10297.068571428574	-77.0645310245327	-2.5068590668633988
1824.2096	1529.4889	10232.945679012346	10308.412857142857	-75.46717813051146	1.5973528940212418
1828.5771	1532.7993	10276.904807692308	10353.103333333333	-76.19852564102439	-0.7313475105129328
1833.0356	1536.4926	10322.92075471698	10400.815	-77.8942452830197	-1.6957196419953107
1835.6399	1538.5718	10348.46338028169	10428.575555555555	-80.11217527386543	-2.2179299908457324
1836.3109	1539.0642	10354.933112582781	10434.052500000002	-79.11938741722042	0.992787856645009
1838.8472	1540.9186	10379.520754716981	10457.265714285713	-77.74495956873216	1.374427848488267
1839.4426	1541.4108	10385.7875	10463.675555555557	-77.888055555557	-0.14309598682484648
1840.9191	1542.5576	10400.907058823532	10478.394285714288	-77.48722689075657	0.40082866480042867
1844.0787	1544.8939	10431.08106060606	10510.17375	-79.09268939393951	-1.6054625031829346
1850.2968	1549.8325	10495.901923076923	10574.892857142859	-78.99093406593602	0.10175532800349174
1884.1968	1574.6589	10834.586666666666	10908.14833333333	-73.56166666666468	5.429267399271339
1885.9464	1575.8278	10851.840384615385	10925.397142857144	-73.55675824175887	0.004908424905806896
1919.0813	1598.9012	11171.825	11255.823999999999	-83.99899999999798	-10.442241758239106
1937.6833	1609.4066	11341.381896551724	11422.61	-81.22810344827667	2.7708965517213073
1948.5011	1615.6246	11437.646363636362	11519.692000000001	-82.04563636363855	-0.8175329153618804
